"Label..Grouping.","State","Estimate","Margin.of.Error","Percent","Percent.Margin.of.Error","Year"
"With related children under 18 years","New York","(X)","(X)","8.50%","±0.2",2013
"With related children under 5 years only","New York","(X)","(X)","7.30%","±0.3",2013
"Families with female householder, no husband present","New York","(X)","(X)","28.00%","±0.3",2013
"With related children under 18 years","New York","(X)","(X)","37.90%","±0.4",2013
"With related children under 5 years only","New York","(X)","(X)","41.90%","±1.2",2013
"All people","New York","(X)","(X)","15.30%","±0.1",2013
"Under 18 years","New York","(X)","(X)","21.70%","±0.2",2013
"Related children under 18 years","New York","(X)","(X)","21.40%","±0.2",2013
"Related children under 5 years","New York","(X)","(X)","24.00%","±0.4",2013
"Related children 5 to 17 years","New York","(X)","(X)","20.40%","±0.2",2013
"18 years and over","New York","(X)","(X)","13.50%","±0.1",2013
"18 to 64 years","New York","(X)","(X)","13.90%","±0.1",2013
"65 years and over","New York","(X)","(X)","11.30%","±0.1",2013
"People in families","New York","(X)","(X)","12.90%","±0.1",2013
"Unrelated individuals 15 years and over","New York","(X)","(X)","24.90%","±0.2",2013
"All families","North Carolina","(X)","(X)","12.90%","±0.1",2013
"With related children under 18 years","North Carolina","(X)","(X)","20.70%","±0.3",2013
"With related children under 5 years only","North Carolina","(X)","(X)","22.10%","±0.7",2013
"Married couple families","North Carolina","(X)","(X)","6.00%","±0.1",2013
"With related children under 18 years","North Carolina","(X)","(X)","9.20%","±0.3",2013
"With related children under 5 years only","North Carolina","(X)","(X)","8.30%","±0.5",2013
"Families with female householder, no husband present","North Carolina","(X)","(X)","34.60%","±0.4",2013
"With related children under 18 years","North Carolina","(X)","(X)","43.70%","±0.5",2013
"With related children under 5 years only","North Carolina","(X)","(X)","52.00%","±1.6",2013
"All people","North Carolina","(X)","(X)","17.50%","±0.2",2013
"Under 18 years","North Carolina","(X)","(X)","24.90%","±0.4",2013
"Related children under 18 years","North Carolina","(X)","(X)","24.60%","±0.4",2013
"Related children under 5 years","North Carolina","(X)","(X)","29.10%","±0.5",2013
"Related children 5 to 17 years","North Carolina","(X)","(X)","22.90%","±0.4",2013
"18 years and over","North Carolina","(X)","(X)","15.20%","±0.1",2013
"18 to 64 years","North Carolina","(X)","(X)","16.30%","±0.2",2013
"65 years and over","North Carolina","(X)","(X)","10.00%","±0.2",2013
"People in families","North Carolina","(X)","(X)","14.90%","±0.2",2013
"Unrelated individuals 15 years and over","North Carolina","(X)","(X)","29.00%","±0.3",2013
"All families","North Dakota","(X)","(X)","7.10%","±0.3",2013
"With related children under 18 years","North Dakota","(X)","(X)","12.20%","±0.7",2013
"With related children under 5 years only","North Dakota","(X)","(X)","15.40%","±1.7",2013
"Married couple families","North Dakota","(X)","(X)","3.20%","±0.3",2013
"With related children under 18 years","North Dakota","(X)","(X)","4.30%","±0.5",2013
"With related children under 5 years only","North Dakota","(X)","(X)","3.90%","±1.0",2013
"Families with female householder, no husband present","North Dakota","(X)","(X)","30.10%","±1.8",2013
"With related children under 18 years","North Dakota","(X)","(X)","38.40%","±2.3",2013
"With related children under 5 years only","North Dakota","(X)","(X)","52.30%","±5.4",2013
"All people","North Dakota","(X)","(X)","11.90%","±0.3",2013
"Under 18 years","North Dakota","(X)","(X)","14.10%","±0.7",2013
"Related children under 18 years","North Dakota","(X)","(X)","13.80%","±0.8",2013
"Related children under 5 years","North Dakota","(X)","(X)","17.30%","±1.3",2013
"Related children 5 to 17 years","North Dakota","(X)","(X)","12.30%","±0.8",2013
"18 years and over","North Dakota","(X)","(X)","11.30%","±0.3",2013
"18 to 64 years","North Dakota","(X)","(X)","11.40%","±0.3",2013
"65 years and over","North Dakota","(X)","(X)","10.80%","±0.6",2013
"People in families","North Dakota","(X)","(X)","8.00%","±0.4",2013
"Unrelated individuals 15 years and over","North Dakota","(X)","(X)","25.10%","±0.7",2013
"All families","Ohio","(X)","(X)","11.60%","±0.1",2013
"With related children under 18 years","Ohio","(X)","(X)","19.50%","±0.3",2013
"With related children under 5 years only","Ohio","(X)","(X)","23.20%","±0.6",2013
"Married couple families","Ohio","(X)","(X)","4.70%","±0.1",2013
"With related children under 18 years","Ohio","(X)","(X)","7.30%","±0.2",2013
"With related children under 5 years only","Ohio","(X)","(X)","6.40%","±0.5",2013
"Families with female householder, no husband present","Ohio","(X)","(X)","34.40%","±0.4",2013
"With related children under 18 years","Ohio","(X)","(X)","45.00%","±0.5",2013
"With related children under 5 years only","Ohio","(X)","(X)","56.10%","±1.3",2013
"All people","Ohio","(X)","(X)","15.80%","±0.2",2013
"Under 18 years","Ohio","(X)","(X)","22.80%","±0.4",2013
"Related children under 18 years","Ohio","(X)","(X)","22.50%","±0.4",2013
"Related children under 5 years","Ohio","(X)","(X)","27.80%","±0.5",2013
"Related children 5 to 17 years","Ohio","(X)","(X)","20.50%","±0.4",2013
"18 years and over","Ohio","(X)","(X)","13.60%","±0.1",2013
"18 to 64 years","Ohio","(X)","(X)","14.90%","±0.1",2013
"65 years and over","Ohio","(X)","(X)","8.00%","±0.1",2013
"People in families","Ohio","(X)","(X)","12.90%","±0.2",2013
"Unrelated individuals 15 years and over","Ohio","(X)","(X)","27.60%","±0.2",2013
"All families","Oklahoma","(X)","(X)","12.60%","±0.2",2013
"With related children under 18 years","Oklahoma","(X)","(X)","20.20%","±0.3",2013
"With related children under 5 years only","Oklahoma","(X)","(X)","22.90%","±0.8",2013
"Married couple families","Oklahoma","(X)","(X)","6.30%","±0.1",2013
"With related children under 18 years","Oklahoma","(X)","(X)","9.50%","±0.3",2013
"With related children under 5 years only","Oklahoma","(X)","(X)","9.20%","±0.8",2013
"Families with female householder, no husband present","Oklahoma","(X)","(X)","35.60%","±0.6",2013
"With related children under 18 years","Oklahoma","(X)","(X)","45.30%","±0.8",2013
"With related children under 5 years only","Oklahoma","(X)","(X)","52.00%","±2.0",2013
"All people","Oklahoma","(X)","(X)","16.90%","±0.2",2013
"Under 18 years","Oklahoma","(X)","(X)","23.70%","±0.4",2013
"Related children under 18 years","Oklahoma","(X)","(X)","23.30%","±0.4",2013
"Related children under 5 years","Oklahoma","(X)","(X)","27.30%","±0.6",2013
"Related children 5 to 17 years","Oklahoma","(X)","(X)","21.80%","±0.4",2013
"18 years and over","Oklahoma","(X)","(X)","14.60%","±0.2",2013
"18 to 64 years","Oklahoma","(X)","(X)","15.70%","±0.2",2013
"65 years and over","Oklahoma","(X)","(X)","9.50%","±0.3",2013
"People in families","Oklahoma","(X)","(X)","14.20%","±0.2",2013
"Unrelated individuals 15 years and over","Oklahoma","(X)","(X)","28.60%","±0.4",2013
"All families","Oregon","(X)","(X)","11.20%","±0.2",2013
"With related children under 18 years","Oregon","(X)","(X)","18.50%","±0.5",2013
"With related children under 5 years only","Oregon","(X)","(X)","20.80%","±1.1",2013
"Married couple families","Oregon","(X)","(X)","5.90%","±0.2",2013
"With related children under 18 years","Oregon","(X)","(X)","9.10%","±0.5",2013
"With related children under 5 years only","Oregon","(X)","(X)","8.70%","±0.9",2013
"Families with female householder, no husband present","Oregon","(X)","(X)","32.30%","±0.8",2013
"With related children under 18 years","Oregon","(X)","(X)","42.30%","±1.1",2013
"With related children under 5 years only","Oregon","(X)","(X)","51.90%","±2.9",2013
"All people","Oregon","(X)","(X)","16.20%","±0.3",2013
"Under 18 years","Oregon","(X)","(X)","21.70%","±0.5",2013
"Related children under 18 years","Oregon","(X)","(X)","21.20%","±0.5",2013
"Related children under 5 years","Oregon","(X)","(X)","25.00%","±1.0",2013
"Related children 5 to 17 years","Oregon","(X)","(X)","19.80%","±0.5",2013
"18 years and over","Oregon","(X)","(X)","14.60%","±0.2",2013
"18 to 64 years","Oregon","(X)","(X)","16.10%","±0.2",2013
"65 years and over","Oregon","(X)","(X)","8.20%","±0.3",2013
"People in families","Oregon","(X)","(X)","12.60%","±0.3",2013
"Unrelated individuals 15 years and over","Oregon","(X)","(X)","28.70%","±0.4",2013
"All families","Pennsylvania","(X)","(X)","9.20%","±0.1",2013
"With related children under 18 years","Pennsylvania","(X)","(X)","15.50%","±0.2",2013
"With related children under 5 years only","Pennsylvania","(X)","(X)","16.80%","±0.5",2013
"Married couple families","Pennsylvania","(X)","(X)","3.80%","±0.1",2013
"With related children under 18 years","Pennsylvania","(X)","(X)","5.50%","±0.2",2013
"With related children under 5 years only","Pennsylvania","(X)","(X)","4.60%","±0.3",2013
"Families with female householder, no husband present","Pennsylvania","(X)","(X)","28.90%","±0.4",2013
"With related children under 18 years","Pennsylvania","(X)","(X)","39.50%","±0.5",2013
"With related children under 5 years only","Pennsylvania","(X)","(X)","46.20%","±1.4",2013
"All people","Pennsylvania","(X)","(X)","13.30%","±0.1",2013
"Under 18 years","Pennsylvania","(X)","(X)","18.80%","±0.3",2013
"Related children under 18 years","Pennsylvania","(X)","(X)","18.40%","±0.3",2013
"Related children under 5 years","Pennsylvania","(X)","(X)","22.10%","±0.5",2013
"Related children 5 to 17 years","Pennsylvania","(X)","(X)","17.10%","±0.3",2013
"18 years and over","Pennsylvania","(X)","(X)","11.80%","±0.1",2013
"18 to 64 years","Pennsylvania","(X)","(X)","12.60%","±0.1",2013
"65 years and over","Pennsylvania","(X)","(X)","8.30%","±0.1",2013
"People in families","Pennsylvania","(X)","(X)","10.30%","±0.1",2013
"Unrelated individuals 15 years and over","Pennsylvania","(X)","(X)","25.50%","±0.2",2013
"All families","Rhode Island","(X)","(X)","9.60%","±0.4",2013
"With related children under 18 years","Rhode Island","(X)","(X)","16.20%","±0.8",2013
"With related children under 5 years only","Rhode Island","(X)","(X)","15.80%","±1.9",2013
"Married couple families","Rhode Island","(X)","(X)","3.90%","±0.3",2013
"With related children under 18 years","Rhode Island","(X)","(X)","5.60%","±0.6",2013
"With related children under 5 years only","Rhode Island","(X)","(X)","3.70%","±1.1",2013
"Families with female householder, no husband present","Rhode Island","(X)","(X)","27.40%","±1.5",2013
"With related children under 18 years","Rhode Island","(X)","(X)","37.70%","±2.1",2013
"With related children under 5 years only","Rhode Island","(X)","(X)","43.70%","±5.4",2013
"All people","Rhode Island","(X)","(X)","13.60%","±0.4",2013
"Under 18 years","Rhode Island","(X)","(X)","19.50%","±0.9",2013
"Related children under 18 years","Rhode Island","(X)","(X)","19.20%","±0.9",2013
"Related children under 5 years","Rhode Island","(X)","(X)","23.00%","±1.5",2013
"Related children 5 to 17 years","Rhode Island","(X)","(X)","17.80%","±1.0",2013
"18 years and over","Rhode Island","(X)","(X)","12.00%","±0.3",2013
"18 to 64 years","Rhode Island","(X)","(X)","12.60%","±0.4",2013
"65 years and over","Rhode Island","(X)","(X)","9.10%","±0.6",2013
"People in families","Rhode Island","(X)","(X)","10.50%","±0.5",2013
"Unrelated individuals 15 years and over","Rhode Island","(X)","(X)","25.00%","±0.7",2013
"All families","South Carolina","(X)","(X)","13.70%","±0.2",2013
"With related children under 18 years","South Carolina","(X)","(X)","22.00%","±0.4",2013
"With related children under 5 years only","South Carolina","(X)","(X)","25.50%","±1.1",2013
"Married couple families","South Carolina","(X)","(X)","6.00%","±0.2",2013
"With related children under 18 years","South Carolina","(X)","(X)","8.80%","±0.4",2013
"With related children under 5 years only","South Carolina","(X)","(X)","8.80%","±0.8",2013
"Families with female householder, no husband present","South Carolina","(X)","(X)","36.20%","±0.6",2013
"With related children under 18 years","South Carolina","(X)","(X)","45.50%","±0.9",2013
"With related children under 5 years only","South Carolina","(X)","(X)","54.90%","±2.2",2013
"All people","South Carolina","(X)","(X)","18.10%","±0.2",2013
"Under 18 years","South Carolina","(X)","(X)","26.40%","±0.5",2013
"Related children under 18 years","South Carolina","(X)","(X)","26.10%","±0.5",2013
"Related children under 5 years","South Carolina","(X)","(X)","32.10%","±0.8",2013
"Related children 5 to 17 years","South Carolina","(X)","(X)","23.80%","±0.5",2013
"18 years and over","South Carolina","(X)","(X)","15.50%","±0.2",2013
"18 to 64 years","South Carolina","(X)","(X)","16.80%","±0.2",2013
"65 years and over","South Carolina","(X)","(X)","10.30%","±0.2",2013
"People in families","South Carolina","(X)","(X)","15.60%","±0.3",2013
"Unrelated individuals 15 years and over","South Carolina","(X)","(X)","29.60%","±0.4",2013
"All families","South Dakota","(X)","(X)","9.10%","±0.3",2013
"With related children under 18 years","South Dakota","(X)","(X)","15.00%","±0.7",2013
"With related children under 5 years only","South Dakota","(X)","(X)","18.10%","±1.8",2013
"Married couple families","South Dakota","(X)","(X)","4.00%","±0.3",2013
"With related children under 18 years","South Dakota","(X)","(X)","5.90%","±0.6",2013
"With related children under 5 years only","South Dakota","(X)","(X)","5.40%","±1.2",2013
"Families with female householder, no husband present","South Dakota","(X)","(X)","31.80%","±1.9",2013
"With related children under 18 years","South Dakota","(X)","(X)","37.90%","±2.1",2013
"With related children under 5 years only","South Dakota","(X)","(X)","47.40%","±4.7",2013
"All people","South Dakota","(X)","(X)","14.10%","±0.3",2013
"Under 18 years","South Dakota","(X)","(X)","18.20%","±0.8",2013
"Related children under 18 years","South Dakota","(X)","(X)","17.70%","±0.8",2013
"Related children under 5 years","South Dakota","(X)","(X)","22.80%","±1.2",2013
"Related children 5 to 17 years","South Dakota","(X)","(X)","15.70%","±0.8",2013
"18 years and over","South Dakota","(X)","(X)","12.70%","±0.3",2013
"18 to 64 years","South Dakota","(X)","(X)","13.10%","±0.3",2013
"65 years and over","South Dakota","(X)","(X)","11.00%","±0.6",2013
"People in families","South Dakota","(X)","(X)","10.80%","±0.4",2013
"Unrelated individuals 15 years and over","South Dakota","(X)","(X)","26.70%","±0.8",2013
"All families","Tennessee","(X)","(X)","13.30%","±0.2",2013
"With related children under 18 years","Tennessee","(X)","(X)","21.40%","±0.4",2013
"With related children under 5 years only","Tennessee","(X)","(X)","24.20%","±0.9",2013
"Married couple families","Tennessee","(X)","(X)","6.70%","±0.2",2013
"With related children under 18 years","Tennessee","(X)","(X)","9.90%","±0.3",2013
"With related children under 5 years only","Tennessee","(X)","(X)","10.00%","±0.8",2013
"Families with female householder, no husband present","Tennessee","(X)","(X)","35.10%","±0.6",2013
"With related children under 18 years","Tennessee","(X)","(X)","45.50%","±0.8",2013
"With related children under 5 years only","Tennessee","(X)","(X)","55.10%","±1.8",2013
"All people","Tennessee","(X)","(X)","17.60%","±0.2",2013
"Under 18 years","Tennessee","(X)","(X)","25.30%","±0.5",2013
"Related children under 18 years","Tennessee","(X)","(X)","25.00%","±0.5",2013
"Related children under 5 years","Tennessee","(X)","(X)","29.90%","±0.8",2013
"Related children 5 to 17 years","Tennessee","(X)","(X)","23.20%","±0.5",2013
"18 years and over","Tennessee","(X)","(X)","15.30%","±0.2",2013
"18 to 64 years","Tennessee","(X)","(X)","16.40%","±0.2",2013
"65 years and over","Tennessee","(X)","(X)","10.20%","±0.2",2013
"People in families","Tennessee","(X)","(X)","15.10%","±0.3",2013
"Unrelated individuals 15 years and over","Tennessee","(X)","(X)","29.50%","±0.3",2013
"All families","Texas","(X)","(X)","13.70%","±0.1",2013
"With related children under 18 years","Texas","(X)","(X)","20.30%","±0.2",2013
"With related children under 5 years only","Texas","(X)","(X)","19.60%","±0.4",2013
"Married couple families","Texas","(X)","(X)","7.80%","±0.1",2013
"With related children under 18 years","Texas","(X)","(X)","11.40%","±0.2",2013
"With related children under 5 years only","Texas","(X)","(X)","9.30%","±0.3",2013
"Families with female householder, no husband present","Texas","(X)","(X)","33.20%","±0.3",2013
"With related children under 18 years","Texas","(X)","(X)","41.70%","±0.4",2013
"With related children under 5 years only","Texas","(X)","(X)","46.10%","±1.0",2013
"All people","Texas","(X)","(X)","17.60%","±0.1",2013
"Under 18 years","Texas","(X)","(X)","25.30%","±0.3",2013
"Related children under 18 years","Texas","(X)","(X)","25.00%","±0.3",2013
"Related children under 5 years","Texas","(X)","(X)","28.30%","±0.4",2013
"Related children 5 to 17 years","Texas","(X)","(X)","23.80%","±0.3",2013
"18 years and over","Texas","(X)","(X)","14.80%","±0.1",2013
"18 to 64 years","Texas","(X)","(X)","15.40%","±0.1",2013
"65 years and over","Texas","(X)","(X)","11.30%","±0.2",2013
"People in families","Texas","(X)","(X)","16.00%","±0.1",2013
"Unrelated individuals 15 years and over","Texas","(X)","(X)","26.80%","±0.2",2013
"All families","Utah","(X)","(X)","9.30%","±0.2",2013
"With related children under 18 years","Utah","(X)","(X)","12.90%","±0.4",2013
"With related children under 5 years only","Utah","(X)","(X)","13.30%","±0.8",2013
"Married couple families","Utah","(X)","(X)","5.90%","±0.2",2013
"With related children under 18 years","Utah","(X)","(X)","7.90%","±0.3",2013
"With related children under 5 years only","Utah","(X)","(X)","8.10%","±0.7",2013
"Families with female householder, no husband present","Utah","(X)","(X)","27.80%","±1.0",2013
"With related children under 18 years","Utah","(X)","(X)","35.70%","±1.3",2013
"With related children under 5 years only","Utah","(X)","(X)","41.70%","±4.0",2013
"All people","Utah","(X)","(X)","12.70%","±0.3",2013
"Under 18 years","Utah","(X)","(X)","14.70%","±0.4",2013
"Related children under 18 years","Utah","(X)","(X)","14.40%","±0.4",2013
"Related children under 5 years","Utah","(X)","(X)","15.90%","±0.6",2013
"Related children 5 to 17 years","Utah","(X)","(X)","13.80%","±0.5",2013
"18 years and over","Utah","(X)","(X)","11.70%","±0.2",2013
"18 to 64 years","Utah","(X)","(X)","12.60%","±0.3",2013
"65 years and over","Utah","(X)","(X)","6.50%","±0.3",2013
"People in families","Utah","(X)","(X)","10.10%","±0.3",2013
"Unrelated individuals 15 years and over","Utah","(X)","(X)","29.50%","±0.6",2013
"All families","Vermont","(X)","(X)","7.60%","±0.4",2013
"With related children under 18 years","Vermont","(X)","(X)","13.40%","±0.7",2013
"With related children under 5 years only","Vermont","(X)","(X)","17.80%","±2.1",2013
"Married couple families","Vermont","(X)","(X)","3.20%","±0.3",2013
"With related children under 18 years","Vermont","(X)","(X)","4.50%","±0.4",2013
"With related children under 5 years only","Vermont","(X)","(X)","4.60%","±1.3",2013
"Families with female householder, no husband present","Vermont","(X)","(X)","28.50%","±1.9",2013
"With related children under 18 years","Vermont","(X)","(X)","37.40%","±2.2",2013
"With related children under 5 years only","Vermont","(X)","(X)","50.50%","±4.3",2013
"All people","Vermont","(X)","(X)","11.80%","±0.4",2013
"Under 18 years","Vermont","(X)","(X)","14.80%","±0.8",2013
"Related children under 18 years","Vermont","(X)","(X)","14.20%","±0.9",2013
"Related children under 5 years","Vermont","(X)","(X)","19.60%","±1.7",2013
"Related children 5 to 17 years","Vermont","(X)","(X)","12.40%","±0.9",2013
"18 years and over","Vermont","(X)","(X)","11.00%","±0.3",2013
"18 to 64 years","Vermont","(X)","(X)","11.80%","±0.4",2013
"65 years and over","Vermont","(X)","(X)","7.50%","±0.4",2013
"People in families","Vermont","(X)","(X)","7.90%","±0.4",2013
"Unrelated individuals 15 years and over","Vermont","(X)","(X)","24.50%","±0.7",2013
"All families","Virginia","(X)","(X)","8.00%","±0.1",2013
"With related children under 18 years","Virginia","(X)","(X)","12.60%","±0.3",2013
"With related children under 5 years only","Virginia","(X)","(X)","13.40%","±0.6",2013
"Married couple families","Virginia","(X)","(X)","3.60%","±0.1",2013
"With related children under 18 years","Virginia","(X)","(X)","4.90%","±0.2",2013
"With related children under 5 years only","Virginia","(X)","(X)","4.30%","±0.4",2013
"Families with female householder, no husband present","Virginia","(X)","(X)","24.80%","±0.6",2013
"With related children under 18 years","Virginia","(X)","(X)","33.20%","±0.8",2013
"With related children under 5 years only","Virginia","(X)","(X)","39.60%","±1.8",2013
"All people","Virginia","(X)","(X)","11.30%","±0.2",2013
"Under 18 years","Virginia","(X)","(X)","14.90%","±0.3",2013
"Related children under 18 years","Virginia","(X)","(X)","14.60%","±0.3",2013
"Related children under 5 years","Virginia","(X)","(X)","17.20%","±0.6",2013
"Related children 5 to 17 years","Virginia","(X)","(X)","13.60%","±0.4",2013
"18 years and over","Virginia","(X)","(X)","10.20%","±0.1",2013
"18 to 64 years","Virginia","(X)","(X)","10.70%","±0.1",2013
"65 years and over","Virginia","(X)","(X)","7.70%","±0.2",2013
"People in families","Virginia","(X)","(X)","8.70%","±0.2",2013
"Unrelated individuals 15 years and over","Virginia","(X)","(X)","22.80%","±0.2",2013
"All families","Washington","(X)","(X)","9.00%","±0.2",2013
"With related children under 18 years","Washington","(X)","(X)","14.60%","±0.3",2013
"With related children under 5 years only","Washington","(X)","(X)","15.60%","±0.6",2013
"Married couple families","Washington","(X)","(X)","4.60%","±0.1",2013
"With related children under 18 years","Washington","(X)","(X)","7.00%","±0.2",2013
"With related children under 5 years only","Washington","(X)","(X)","6.00%","±0.4",2013
"Families with female householder, no husband present","Washington","(X)","(X)","28.20%","±0.7",2013
"With related children under 18 years","Washington","(X)","(X)","36.70%","±0.9",2013
"With related children under 5 years only","Washington","(X)","(X)","46.00%","±1.9",2013
"All people","Washington","(X)","(X)","13.40%","±0.2",2013
"Under 18 years","Washington","(X)","(X)","17.80%","±0.4",2013
"Related children under 18 years","Washington","(X)","(X)","17.30%","±0.4",2013
"Related children under 5 years","Washington","(X)","(X)","20.10%","±0.5",2013
"Related children 5 to 17 years","Washington","(X)","(X)","16.30%","±0.4",2013
"18 years and over","Washington","(X)","(X)","12.00%","±0.1",2013
"18 to 64 years","Washington","(X)","(X)","12.80%","±0.2",2013
"65 years and over","Washington","(X)","(X)","7.80%","±0.2",2013
"People in families","Washington","(X)","(X)","10.30%","±0.2",2013
"Unrelated individuals 15 years and over","Washington","(X)","(X)","24.90%","±0.3",2013
"All families","West Virginia","(X)","(X)","13.00%","±0.3",2013
"With related children under 18 years","West Virginia","(X)","(X)","22.20%","±0.6",2013
"With related children under 5 years only","West Virginia","(X)","(X)","27.30%","±1.6",2013
"Married couple families","West Virginia","(X)","(X)","7.00%","±0.3",2013
"With related children under 18 years","West Virginia","(X)","(X)","10.70%","±0.6",2013
"With related children under 5 years only","West Virginia","(X)","(X)","11.80%","±1.4",2013
"Families with female householder, no husband present","West Virginia","(X)","(X)","36.70%","±1.1",2013
"With related children under 18 years","West Virginia","(X)","(X)","50.20%","±1.5",2013
"With related children under 5 years only","West Virginia","(X)","(X)","63.70%","±3.7",2013
"All people","West Virginia","(X)","(X)","17.90%","±0.3",2013
"Under 18 years","West Virginia","(X)","(X)","25.00%","±0.7",2013
"Related children under 18 years","West Virginia","(X)","(X)","24.60%","±0.7",2013
"Related children under 5 years","West Virginia","(X)","(X)","30.10%","±1.3",2013
"Related children 5 to 17 years","West Virginia","(X)","(X)","22.60%","±0.7",2013
"18 years and over","West Virginia","(X)","(X)","16.00%","±0.2",2013
"18 to 64 years","West Virginia","(X)","(X)","17.60%","±0.3",2013
"65 years and over","West Virginia","(X)","(X)","9.60%","±0.3",2013
"People in families","West Virginia","(X)","(X)","14.20%","±0.3",2013
"Unrelated individuals 15 years and over","West Virginia","(X)","(X)","33.00%","±0.6",2013
"All families","Wisconsin","(X)","(X)","8.80%","±0.2",2013
"With related children under 18 years","Wisconsin","(X)","(X)","15.10%","±0.3",2013
"With related children under 5 years only","Wisconsin","(X)","(X)","17.20%","±0.7",2013
"Married couple families","Wisconsin","(X)","(X)","3.60%","±0.1",2013
"With related children under 18 years","Wisconsin","(X)","(X)","5.50%","±0.2",2013
"With related children under 5 years only","Wisconsin","(X)","(X)","5.00%","±0.5",2013
"Families with female householder, no husband present","Wisconsin","(X)","(X)","31.20%","±0.6",2013
"With related children under 18 years","Wisconsin","(X)","(X)","40.00%","±0.9",2013
"With related children under 5 years only","Wisconsin","(X)","(X)","50.20%","±1.8",2013
"All people","Wisconsin","(X)","(X)","13.00%","±0.2",2013
"Under 18 years","Wisconsin","(X)","(X)","18.10%","±0.4",2013
"Related children under 18 years","Wisconsin","(X)","(X)","17.70%","±0.4",2013
"Related children under 5 years","Wisconsin","(X)","(X)","21.60%","±0.5",2013
"Related children 5 to 17 years","Wisconsin","(X)","(X)","16.30%","±0.4",2013
"18 years and over","Wisconsin","(X)","(X)","11.50%","±0.1",2013
"18 to 64 years","Wisconsin","(X)","(X)","12.30%","±0.1",2013
"65 years and over","Wisconsin","(X)","(X)","7.80%","±0.2",2013
"People in families","Wisconsin","(X)","(X)","10.00%","±0.2",2013
"Unrelated individuals 15 years and over","Wisconsin","(X)","(X)","24.80%","±0.3",2013
"All families","Wyoming","(X)","(X)","7.70%","±0.5",2013
"With related children under 18 years","Wyoming","(X)","(X)","12.90%","±0.8",2013
"With related children under 5 years only","Wyoming","(X)","(X)","14.40%","±1.8",2013
"Married couple families","Wyoming","(X)","(X)","3.70%","±0.3",2013
"With related children under 18 years","Wyoming","(X)","(X)","5.70%","±0.6",2013
"With related children under 5 years only","Wyoming","(X)","(X)","5.50%","±1.4",2013
"Families with female householder, no husband present","Wyoming","(X)","(X)","31.00%","±2.2",2013
"With related children under 18 years","Wyoming","(X)","(X)","38.50%","±2.4",2013
"With related children under 5 years only","Wyoming","(X)","(X)","51.10%","±6.2",2013
"All people","Wyoming","(X)","(X)","11.50%","±0.5",2013
"Under 18 years","Wyoming","(X)","(X)","15.70%","±1.1",2013
"Related children under 18 years","Wyoming","(X)","(X)","15.30%","±1.1",2013
"Related children under 5 years","Wyoming","(X)","(X)","18.90%","±1.8",2013
"Related children 5 to 17 years","Wyoming","(X)","(X)","13.90%","±1.2",2013
"18 years and over","Wyoming","(X)","(X)","10.10%","±0.4",2013
"18 to 64 years","Wyoming","(X)","(X)","10.90%","±0.4",2013
"65 years and over","Wyoming","(X)","(X)","6.40%","±0.6",2013
"People in families","Wyoming","(X)","(X)","8.80%","±0.5",2013
"Unrelated individuals 15 years and over","Wyoming","(X)","(X)","22.40%","±1.0",2013
"All families","Puerto Rico","(X)","(X)","41.20%","±0.3",2013
"With related children under 18 years","Puerto Rico","(X)","(X)","51.30%","±0.5",2013
"With related children under 5 years only","Puerto Rico","(X)","(X)","51.70%","±1.4",2013
"Married couple families","Puerto Rico","(X)","(X)","29.70%","±0.4",2013
"With related children under 18 years","Puerto Rico","(X)","(X)","33.60%","±0.7",2013
"With related children under 5 years only","Puerto Rico","(X)","(X)","32.20%","±1.9",2013
"Families with female householder, no husband present","Puerto Rico","(X)","(X)","58.10%","±0.6",2013
"With related children under 18 years","Puerto Rico","(X)","(X)","68.60%","±0.7",2013
"With related children under 5 years only","Puerto Rico","(X)","(X)","70.50%","±2.2",2013
"All people","Puerto Rico","(X)","(X)","45.10%","±0.3",2013
"Under 18 years","Puerto Rico","(X)","(X)","56.90%","±0.4",2013
"Related children under 18 years","Puerto Rico","(X)","(X)","56.70%","±0.5",2013
"Related children under 5 years","Puerto Rico","(X)","(X)","61.20%","±0.9",2013
"Related children 5 to 17 years","Puerto Rico","(X)","(X)","55.30%","±0.5",2013
"18 years and over","Puerto Rico","(X)","(X)","41.40%","±0.3",2013
"18 to 64 years","Puerto Rico","(X)","(X)","41.90%","±0.3",2013
"65 years and over","Puerto Rico","(X)","(X)","39.70%","±0.5",2013
"People in families","Puerto Rico","(X)","(X)","43.30%","±0.3",2013
"Unrelated individuals 15 years and over","Puerto Rico","(X)","(X)","56.40%","±0.5",2013
"All families","Alabama","(X)","(X)","13.90%","±0.2",2012
"With related children under 18 years","Alabama","(X)","(X)","22.10%","±0.4",2012
"With related children under 5 years only","Alabama","(X)","(X)","24.40%","±0.9",2012
"Married couple families","Alabama","(X)","(X)","6.20%","±0.2",2012
"With related children under 18 years","Alabama","(X)","(X)","9.00%","±0.3",2012
"With related children under 5 years only","Alabama","(X)","(X)","9.30%","±0.8",2012
"Families with female householder, no husband present","Alabama","(X)","(X)","37.30%","±0.6",2012
"With related children under 18 years","Alabama","(X)","(X)","47.60%","±0.9",2012
"With related children under 5 years only","Alabama","(X)","(X)","54.20%","±1.9",2012
"All people","Alabama","(X)","(X)","18.10%","±0.2",2012
"Under 18 years","Alabama","(X)","(X)","26.00%","±0.5",2012
