"Label..Grouping.","State","Estimate","Margin.of.Error","Percent","Percent.Margin.of.Error","Year"
"$100,000 to $149,999","Florida","757,089","±7,960","10.60%","±0.1",2012
"$150,000 to $199,999","Florida","259,478","±3,741","3.60%","±0.1",2012
"$200,000 or more","Florida","265,616","±3,747","3.70%","±0.1",2012
"Median household income (dollars)","Florida","47,309","±189","(X)","(X)",2012
"Mean household income (dollars)","Florida","66,599","±244","(X)","(X)",2012
"With earnings","Florida","5,258,538","±20,505","73.60%","±0.1",2012
"Mean earnings (dollars)","Florida","66,430","±257","(X)","(X)",2012
"With Social Security","Florida","2,454,607","±11,383","34.30%","±0.1",2012
"Mean Social Security income (dollars)","Florida","17,205","±44","(X)","(X)",2012
"With retirement income","Florida","1,373,363","±9,671","19.20%","±0.1",2012
"Mean retirement income (dollars)","Florida","24,602","±198","(X)","(X)",2012
"With Supplemental Security Income","Florida","296,104","±3,529","4.10%","±0.1",2012
"Mean Supplemental Security Income (dollars)","Florida","8,919","±83","(X)","(X)",2012
"With cash public assistance income","Florida","134,425","±2,740","1.90%","±0.1",2012
"Mean cash public assistance income (dollars)","Florida","3,486","±90","(X)","(X)",2012
"With Food Stamp/SNAP benefits in the past 12 months","Florida","836,690","±6,510","11.70%","±0.1",2012
"Families","Florida","4,631,405","±22,598","4,631,405","(X)",2012
"Less than $10,000","Florida","224,984","±3,603","4.90%","±0.1",2012
"$10,000 to $14,999","Florida","162,108","±2,967","3.50%","±0.1",2012
"$15,000 to $24,999","Florida","430,252","±5,104","9.30%","±0.1",2012
"$25,000 to $34,999","Florida","497,086","±4,955","10.70%","±0.1",2012
"$35,000 to $49,999","Florida","697,028","±6,390","15.10%","±0.1",2012
"$50,000 to $74,999","Florida","932,429","±7,830","20.10%","±0.1",2012
"$75,000 to $99,999","Florida","621,429","±7,438","13.40%","±0.1",2012
"$100,000 to $149,999","Florida","621,669","±7,836","13.40%","±0.1",2012
"$150,000 to $199,999","Florida","219,035","±3,794","4.70%","±0.1",2012
"$200,000 or more","Florida","225,385","±3,439","4.90%","±0.1",2012
"Median family income (dollars)","Florida","57,128","±266","(X)","(X)",2012
"Mean family income (dollars)","Florida","77,660","±326","(X)","(X)",2012
"Per capita income (dollars)","Florida","26,451","±122","(X)","(X)",2012
"Nonfamily households","Florida","2,515,608","±10,049","2,515,608","(X)",2012
"Median nonfamily income (dollars)","Florida","30,472","±127","(X)","(X)",2012
"Mean nonfamily income (dollars)","Florida","43,700","±245","(X)","(X)",2012
"Median earnings for workers (dollars)","Florida","27,358","±80","(X)","(X)",2012
"Median earnings for male full-time, year-round workers (dollars)","Florida","42,113","±185","(X)","(X)",2012
"Median earnings for female full-time, year-round workers (dollars)","Florida","34,583","±177","(X)","(X)",2012
"Total households","Georgia","3,508,477","±10,358","3,508,477","(X)",2012
"Less than $10,000","Georgia","300,205","±4,144","8.60%","±0.1",2012
"$10,000 to $14,999","Georgia","203,659","±3,218","5.80%","±0.1",2012
"$15,000 to $24,999","Georgia","393,299","±4,443","11.20%","±0.1",2012
"$25,000 to $34,999","Georgia","379,796","±4,193","10.80%","±0.1",2012
"$35,000 to $49,999","Georgia","488,794","±5,287","13.90%","±0.1",2012
"$50,000 to $74,999","Georgia","642,764","±5,573","18.30%","±0.1",2012
"$75,000 to $99,999","Georgia","407,370","±4,381","11.60%","±0.1",2012
"$100,000 to $149,999","Georgia","408,530","±4,967","11.60%","±0.1",2012
"$150,000 to $199,999","Georgia","146,285","±2,649","4.20%","±0.1",2012
"$200,000 or more","Georgia","137,775","±2,927","3.90%","±0.1",2012
"Median household income (dollars)","Georgia","49,604","±201","(X)","(X)",2012
"Mean household income (dollars)","Georgia","67,659","±303","(X)","(X)",2012
"With earnings","Georgia","2,811,182","±10,199","80.10%","±0.1",2012
"Mean earnings (dollars)","Georgia","69,213","±317","(X)","(X)",2012
"With Social Security","Georgia","898,809","±5,553","25.60%","±0.1",2012
"Mean Social Security income (dollars)","Georgia","16,126","±58","(X)","(X)",2012
"With retirement income","Georgia","552,682","±5,298","15.80%","±0.1",2012
"Mean retirement income (dollars)","Georgia","23,635","±312","(X)","(X)",2012
"With Supplemental Security Income","Georgia","154,796","±2,322","4.40%","±0.1",2012
"Mean Supplemental Security Income (dollars)","Georgia","8,455","±99","(X)","(X)",2012
"With cash public assistance income","Georgia","60,857","±1,714","1.70%","±0.1",2012
"Mean cash public assistance income (dollars)","Georgia","3,464","±126","(X)","(X)",2012
"With Food Stamp/SNAP benefits in the past 12 months","Georgia","455,301","±4,836","13.00%","±0.1",2012
"Families","Georgia","2,397,245","±10,562","2,397,245","(X)",2012
"Less than $10,000","Georgia","139,034","±2,903","5.80%","±0.1",2012
"$10,000 to $14,999","Georgia","90,022","±2,301","3.80%","±0.1",2012
"$15,000 to $24,999","Georgia","223,695","±3,138","9.30%","±0.1",2012
"$25,000 to $34,999","Georgia","236,671","±3,734","9.90%","±0.2",2012
"$35,000 to $49,999","Georgia","323,582","±4,487","13.50%","±0.2",2012
"$50,000 to $74,999","Georgia","463,998","±4,747","19.40%","±0.2",2012
"$75,000 to $99,999","Georgia","323,575","±4,251","13.50%","±0.2",2012
"$100,000 to $149,999","Georgia","346,629","±4,427","14.50%","±0.2",2012
"$150,000 to $199,999","Georgia","128,410","±2,668","5.40%","±0.1",2012
"$200,000 or more","Georgia","121,629","±2,686","5.10%","±0.1",2012
"Median family income (dollars)","Georgia","59,198","±345","(X)","(X)",2012
"Mean family income (dollars)","Georgia","77,926","±397","(X)","(X)",2012
"Per capita income (dollars)","Georgia","25,309","±124","(X)","(X)",2012
"Nonfamily households","Georgia","1,111,232","±5,507","1,111,232","(X)",2012
"Median nonfamily income (dollars)","Georgia","30,559","±245","(X)","(X)",2012
"Mean nonfamily income (dollars)","Georgia","43,072","±389","(X)","(X)",2012
"Median earnings for workers (dollars)","Georgia","29,415","±154","(X)","(X)",2012
"Median earnings for male full-time, year-round workers (dollars)","Georgia","45,301","±310","(X)","(X)",2012
"Median earnings for female full-time, year-round workers (dollars)","Georgia","36,022","±190","(X)","(X)",2012
"Total households","Hawaii","447,453","±1,918","447,453","(X)",2012
"Less than $10,000","Hawaii","25,790","±1,009","5.80%","±0.2",2012
"$10,000 to $14,999","Hawaii","16,111","±788","3.60%","±0.2",2012
"$15,000 to $24,999","Hawaii","32,961","±1,350","7.40%","±0.3",2012
"$25,000 to $34,999","Hawaii","35,208","±995","7.90%","±0.2",2012
"$35,000 to $49,999","Hawaii","53,610","±1,594","12.00%","±0.3",2012
"$50,000 to $74,999","Hawaii","81,730","±1,724","18.30%","±0.4",2012
"$75,000 to $99,999","Hawaii","66,450","±1,458","14.90%","±0.3",2012
"$100,000 to $149,999","Hawaii","79,393","±1,629","17.70%","±0.4",2012
"$150,000 to $199,999","Hawaii","30,852","±1,086","6.90%","±0.2",2012
"$200,000 or more","Hawaii","25,348","±887","5.70%","±0.2",2012
"Median household income (dollars)","Hawaii","67,492","±698","(X)","(X)",2012
"Mean household income (dollars)","Hawaii","84,466","±702","(X)","(X)",2012
"With earnings","Hawaii","366,559","±2,069","81.90%","±0.3",2012
"Mean earnings (dollars)","Hawaii","80,458","±653","(X)","(X)",2012
"With Social Security","Hawaii","141,195","±1,499","31.60%","±0.3",2012
"Mean Social Security income (dollars)","Hawaii","17,200","±174","(X)","(X)",2012
"With retirement income","Hawaii","99,003","±1,547","22.10%","±0.3",2012
"Mean retirement income (dollars)","Hawaii","25,716","±485","(X)","(X)",2012
"With Supplemental Security Income","Hawaii","16,299","±803","3.60%","±0.2",2012
"Mean Supplemental Security Income (dollars)","Hawaii","9,036","±267","(X)","(X)",2012
"With cash public assistance income","Hawaii","16,051","±850","3.60%","±0.2",2012
"Mean cash public assistance income (dollars)","Hawaii","5,263","±298","(X)","(X)",2012
"With Food Stamp/SNAP benefits in the past 12 months","Hawaii","41,893","±1,309","9.40%","±0.3",2012
"Families","Hawaii","310,300","±2,255","310,300","(X)",2012
"Less than $10,000","Hawaii","10,202","±715","3.30%","±0.2",2012
"$10,000 to $14,999","Hawaii","6,830","±620","2.20%","±0.2",2012
"$15,000 to $24,999","Hawaii","16,596","±857","5.30%","±0.3",2012
"$25,000 to $34,999","Hawaii","20,161","±882","6.50%","±0.3",2012
"$35,000 to $49,999","Hawaii","34,094","±1,162","11.00%","±0.4",2012
"$50,000 to $74,999","Hawaii","56,593","±1,458","18.20%","±0.4",2012
"$75,000 to $99,999","Hawaii","52,286","±1,360","16.90%","±0.4",2012
"$100,000 to $149,999","Hawaii","65,680","±1,543","21.20%","±0.5",2012
"$150,000 to $199,999","Hawaii","26,697","±1,099","8.60%","±0.4",2012
"$200,000 or more","Hawaii","21,161","±759","6.80%","±0.2",2012
"Median family income (dollars)","Hawaii","79,595","±809","(X)","(X)",2012
"Mean family income (dollars)","Hawaii","95,407","±881","(X)","(X)",2012
"Per capita income (dollars)","Hawaii","29,227","±209","(X)","(X)",2012
"Nonfamily households","Hawaii","137,153","±1,845","137,153","(X)",2012
"Median nonfamily income (dollars)","Hawaii","40,538","±809","(X)","(X)",2012
"Mean nonfamily income (dollars)","Hawaii","53,241","±933","(X)","(X)",2012
"Median earnings for workers (dollars)","Hawaii","32,185","±184","(X)","(X)",2012
"Median earnings for male full-time, year-round workers (dollars)","Hawaii","47,135","±654","(X)","(X)",2012
"Median earnings for female full-time, year-round workers (dollars)","Hawaii","38,175","±465","(X)","(X)",2012
"Total households","Idaho","577,648","±2,248","577,648","(X)",2012
"Less than $10,000","Idaho","38,574","±1,163","6.70%","±0.2",2012
"$10,000 to $14,999","Idaho","32,979","±1,098","5.70%","±0.2",2012
"$15,000 to $24,999","Idaho","69,113","±1,605","12.00%","±0.3",2012
"$25,000 to $34,999","Idaho","72,728","±1,658","12.60%","±0.3",2012
"$35,000 to $49,999","Idaho","91,615","±2,028","15.90%","±0.4",2012
"$50,000 to $74,999","Idaho","119,401","±2,161","20.70%","±0.4",2012
"$75,000 to $99,999","Idaho","68,867","±1,788","11.90%","±0.3",2012
"$100,000 to $149,999","Idaho","56,532","±1,715","9.80%","±0.3",2012
"$150,000 to $199,999","Idaho","15,539","±724","2.70%","±0.1",2012
"$200,000 or more","Idaho","12,300","±720","2.10%","±0.1",2012
"Median household income (dollars)","Idaho","47,015","±441","(X)","(X)",2012
"Mean household income (dollars)","Idaho","59,974","±473","(X)","(X)",2012
"With earnings","Idaho","459,904","±2,484","79.60%","±0.3",2012
"Mean earnings (dollars)","Idaho","58,720","±590","(X)","(X)",2012
"With Social Security","Idaho","165,688","±1,586","28.70%","±0.3",2012
"Mean Social Security income (dollars)","Idaho","16,928","±141","(X)","(X)",2012
"With retirement income","Idaho","97,941","±1,533","17.00%","±0.3",2012
"Mean retirement income (dollars)","Idaho","21,256","±508","(X)","(X)",2012
"With Supplemental Security Income","Idaho","22,007","±915","3.80%","±0.2",2012
"Mean Supplemental Security Income (dollars)","Idaho","9,051","±214","(X)","(X)",2012
"With cash public assistance income","Idaho","16,410","±839","2.80%","±0.1",2012
"Mean cash public assistance income (dollars)","Idaho","2,692","±228","(X)","(X)",2012
"With Food Stamp/SNAP benefits in the past 12 months","Idaho","64,627","±1,510","11.20%","±0.3",2012
"Families","Idaho","404,091","±2,740","404,091","(X)",2012
"Less than $10,000","Idaho","17,760","±1,027","4.40%","±0.2",2012
"$10,000 to $14,999","Idaho","12,982","±851","3.20%","±0.2",2012
"$15,000 to $24,999","Idaho","35,073","±1,199","8.70%","±0.3",2012
"$25,000 to $34,999","Idaho","45,703","±1,386","11.30%","±0.3",2012
"$35,000 to $49,999","Idaho","65,995","±1,571","16.30%","±0.4",2012
"$50,000 to $74,999","Idaho","93,068","±2,026","23.00%","±0.5",2012
"$75,000 to $99,999","Idaho","59,082","±1,584","14.60%","±0.4",2012
"$100,000 to $149,999","Idaho","49,495","±1,434","12.20%","±0.3",2012
"$150,000 to $199,999","Idaho","14,059","±704","3.50%","±0.2",2012
"$200,000 or more","Idaho","10,874","±659","2.70%","±0.2",2012
"Median family income (dollars)","Idaho","55,636","±493","(X)","(X)",2012
"Mean family income (dollars)","Idaho","68,623","±642","(X)","(X)",2012
"Per capita income (dollars)","Idaho","22,581","±185","(X)","(X)",2012
"Nonfamily households","Idaho","173,557","±2,214","173,557","(X)",2012
"Median nonfamily income (dollars)","Idaho","27,063","±370","(X)","(X)",2012
"Mean nonfamily income (dollars)","Idaho","37,268","±708","(X)","(X)",2012
"Median earnings for workers (dollars)","Idaho","24,612","±330","(X)","(X)",2012
"Median earnings for male full-time, year-round workers (dollars)","Idaho","43,074","±459","(X)","(X)",2012
"Median earnings for female full-time, year-round workers (dollars)","Idaho","31,230","±277","(X)","(X)",2012
"Total households","Illinois","4,774,275","±11,692","4,774,275","(X)",2012
"Less than $10,000","Illinois","329,319","±3,872","6.90%","±0.1",2012
"$10,000 to $14,999","Illinois","223,692","±3,306","4.70%","±0.1",2012
"$15,000 to $24,999","Illinois","481,833","±4,324","10.10%","±0.1",2012
"$25,000 to $34,999","Illinois","460,909","±4,011","9.70%","±0.1",2012
"$35,000 to $49,999","Illinois","622,840","±4,901","13.00%","±0.1",2012
"$50,000 to $74,999","Illinois","870,399","±4,608","18.20%","±0.1",2012
"$75,000 to $99,999","Illinois","622,617","±5,608","13.00%","±0.1",2012
"$100,000 to $149,999","Illinois","665,711","±5,360","13.90%","±0.1",2012
"$150,000 to $199,999","Illinois","250,681","±3,015","5.30%","±0.1",2012
"$200,000 or more","Illinois","246,274","±3,312","5.20%","±0.1",2012
"Median household income (dollars)","Illinois","56,853","±213","(X)","(X)",2012
"Mean household income (dollars)","Illinois","77,163","±277","(X)","(X)",2012
"With earnings","Illinois","3,808,930","±9,960","79.80%","±0.1",2012
"Mean earnings (dollars)","Illinois","78,981","±310","(X)","(X)",2012
"With Social Security","Illinois","1,257,710","±5,530","26.30%","±0.1",2012
"Mean Social Security income (dollars)","Illinois","17,010","±49","(X)","(X)",2012
"With retirement income","Illinois","788,625","±5,383","16.50%","±0.1",2012
"Mean retirement income (dollars)","Illinois","24,637","±202","(X)","(X)",2012
"With Supplemental Security Income","Illinois","179,965","±2,529","3.80%","±0.1",2012
"Mean Supplemental Security Income (dollars)","Illinois","9,361","±69","(X)","(X)",2012
"With cash public assistance income","Illinois","110,736","±2,410","2.30%","±0.1",2012
"Mean cash public assistance income (dollars)","Illinois","3,760","±83","(X)","(X)",2012
"With Food Stamp/SNAP benefits in the past 12 months","Illinois","517,728","±4,628","10.80%","±0.1",2012
"Families","Illinois","3,142,347","±10,503","3,142,347","(X)",2012
"Less than $10,000","Illinois","133,818","±2,430","4.30%","±0.1",2012
"$10,000 to $14,999","Illinois","86,974","±2,080","2.80%","±0.1",2012
"$15,000 to $24,999","Illinois","223,395","±3,361","7.10%","±0.1",2012
"$25,000 to $34,999","Illinois","257,777","±3,038","8.20%","±0.1",2012
"$35,000 to $49,999","Illinois","382,988","±3,949","12.20%","±0.1",2012
"$50,000 to $74,999","Illinois","593,133","±4,516","18.90%","±0.1",2012
"$75,000 to $99,999","Illinois","477,963","±4,969","15.20%","±0.1",2012
"$100,000 to $149,999","Illinois","553,559","±5,460","17.60%","±0.1",2012
"$150,000 to $199,999","Illinois","218,124","±3,160","6.90%","±0.1",2012
"$200,000 or more","Illinois","214,616","±3,368","6.80%","±0.1",2012
"Median family income (dollars)","Illinois","70,144","±342","(X)","(X)",2012
"Mean family income (dollars)","Illinois","90,809","±412","(X)","(X)",2012
"Per capita income (dollars)","Illinois","29,519","±123","(X)","(X)",2012
"Nonfamily households","Illinois","1,631,928","±5,769","1,631,928","(X)",2012
"Median nonfamily income (dollars)","Illinois","33,783","±253","(X)","(X)",2012
"Mean nonfamily income (dollars)","Illinois","48,303","±338","(X)","(X)",2012
"Median earnings for workers (dollars)","Illinois","31,643","±89","(X)","(X)",2012
"Median earnings for male full-time, year-round workers (dollars)","Illinois","52,553","±175","(X)","(X)",2012
"Median earnings for female full-time, year-round workers (dollars)","Illinois","40,220","±148","(X)","(X)",2012
"Total households","Indiana","2,478,846","±6,570","2,478,846","(X)",2012
"Less than $10,000","Indiana","178,310","±2,722","7.20%","±0.1",2012
"$10,000 to $14,999","Indiana","138,896","±2,433","5.60%","±0.1",2012
"$15,000 to $24,999","Indiana","286,266","±3,223","11.50%","±0.1",2012
"$25,000 to $34,999","Indiana","291,706","±3,005","11.80%","±0.1",2012
"$35,000 to $49,999","Indiana","381,183","±3,976","15.40%","±0.2",2012
"$50,000 to $74,999","Indiana","485,089","±4,628","19.60%","±0.2",2012
"$75,000 to $99,999","Indiana","309,462","±3,621","12.50%","±0.1",2012
"$100,000 to $149,999","Indiana","271,431","±3,656","10.90%","±0.1",2012
"$150,000 to $199,999","Indiana","74,470","±1,635","3.00%","±0.1",2012
"$200,000 or more","Indiana","62,033","±1,526","2.50%","±0.1",2012
"Median household income (dollars)","Indiana","48,374","±204","(X)","(X)",2012
"Mean household income (dollars)","Indiana","62,715","±274","(X)","(X)",2012
"With earnings","Indiana","1,949,617","±6,451","78.70%","±0.2",2012
"Mean earnings (dollars)","Indiana","63,791","±320","(X)","(X)",2012
"With Social Security","Indiana","717,971","±3,602","29.00%","±0.1",2012
"Mean Social Security income (dollars)","Indiana","17,401","±61","(X)","(X)",2012
"With retirement income","Indiana","459,112","±3,388","18.50%","±0.1",2012
"Mean retirement income (dollars)","Indiana","17,252","±212","(X)","(X)",2012
"With Supplemental Security Income","Indiana","100,466","±1,732","4.10%","±0.1",2012
"Mean Supplemental Security Income (dollars)","Indiana","9,248","±118","(X)","(X)",2012
"With cash public assistance income","Indiana","60,809","±1,740","2.50%","±0.1",2012
"Mean cash public assistance income (dollars)","Indiana","3,117","±96","(X)","(X)",2012
"With Food Stamp/SNAP benefits in the past 12 months","Indiana","278,954","±3,255","11.30%","±0.1",2012
"Families","Indiana","1,655,534","±6,226","1,655,534","(X)",2012
"Less than $10,000","Indiana","78,549","±2,006","4.70%","±0.1",2012
"$10,000 to $14,999","Indiana","51,068","±1,463","3.10%","±0.1",2012
"$15,000 to $24,999","Indiana","131,134","±2,217","7.90%","±0.1",2012
"$25,000 to $34,999","Indiana","164,176","±2,789","9.90%","±0.2",2012
"$35,000 to $49,999","Indiana","248,014","±2,979","15.00%","±0.2",2012
"$50,000 to $74,999","Indiana","362,773","±3,889","21.90%","±0.2",2012
"$75,000 to $99,999","Indiana","256,928","±3,356","15.50%","±0.2",2012
"$100,000 to $149,999","Indiana","240,225","±3,439","14.50%","±0.2",2012
"$150,000 to $199,999","Indiana","67,053","±1,612","4.10%","±0.1",2012
"$200,000 or more","Indiana","55,614","±1,511","3.40%","±0.1",2012
"Median family income (dollars)","Indiana","60,012","±324","(X)","(X)",2012
"Mean family income (dollars)","Indiana","73,803","±409","(X)","(X)",2012
"Per capita income (dollars)","Indiana","24,558","±122","(X)","(X)",2012
"Nonfamily households","Indiana","823,312","±4,922","823,312","(X)",2012
"Median nonfamily income (dollars)","Indiana","28,300","±259","(X)","(X)",2012
"Mean nonfamily income (dollars)","Indiana","37,952","±301","(X)","(X)",2012
"Median earnings for workers (dollars)","Indiana","28,217","±134","(X)","(X)",2012
"Median earnings for male full-time, year-round workers (dollars)","Indiana","46,551","±291","(X)","(X)",2012
"Median earnings for female full-time, year-round workers (dollars)","Indiana","33,986","±206","(X)","(X)",2012
"Total households","Iowa","1,223,509","±3,819","1,223,509","(X)",2012
"Less than $10,000","Iowa","75,398","±1,885","6.20%","±0.2",2012
"$10,000 to $14,999","Iowa","67,953","±1,301","5.60%","±0.1",2012
"$15,000 to $24,999","Iowa","134,208","±2,064","11.00%","±0.2",2012
"$25,000 to $34,999","Iowa","136,565","±1,914","11.20%","±0.2",2012
"$35,000 to $49,999","Iowa","183,903","±2,305","15.00%","±0.2",2012
"$50,000 to $74,999","Iowa","249,513","±2,684","20.40%","±0.2",2012
"$75,000 to $99,999","Iowa","162,595","±2,320","13.30%","±0.2",2012
"$100,000 to $149,999","Iowa","142,354","±2,077","11.60%","±0.2",2012
"$150,000 to $199,999","Iowa","38,692","±1,043","3.20%","±0.1",2012
"$200,000 or more","Iowa","32,328","±1,146","2.60%","±0.1",2012
"Median household income (dollars)","Iowa","51,129","±273","(X)","(X)",2012
"Mean household income (dollars)","Iowa","64,881","±318","(X)","(X)",2012
"With earnings","Iowa","977,081","±2,988","79.90%","±0.2",2012
"Mean earnings (dollars)","Iowa","64,697","±337","(X)","(X)",2012
"With Social Security","Iowa","358,727","±2,035","29.30%","±0.1",2012
"Mean Social Security income (dollars)","Iowa","17,047","±74","(X)","(X)",2012
"With retirement income","Iowa","196,876","±1,947","16.10%","±0.1",2012
"Mean retirement income (dollars)","Iowa","18,401","±399","(X)","(X)",2012
"With Supplemental Security Income","Iowa","43,274","±1,094","3.50%","±0.1",2012
"Mean Supplemental Security Income (dollars)","Iowa","8,949","±167","(X)","(X)",2012
"With cash public assistance income","Iowa","29,693","±1,131","2.40%","±0.1",2012
"Mean cash public assistance income (dollars)","Iowa","3,270","±129","(X)","(X)",2012
"With Food Stamp/SNAP benefits in the past 12 months","Iowa","129,071","±2,083","10.50%","±0.2",2012
"Families","Iowa","795,898","±3,648","795,898","(X)",2012
"Less than $10,000","Iowa","26,558","±1,149","3.30%","±0.1",2012
"$10,000 to $14,999","Iowa","20,138","±786","2.50%","±0.1",2012
"$15,000 to $24,999","Iowa","55,218","±1,397","6.90%","±0.2",2012
"$25,000 to $34,999","Iowa","70,435","±1,390","8.80%","±0.2",2012
"$35,000 to $49,999","Iowa","114,673","±1,672","14.40%","±0.2",2012
"$50,000 to $74,999","Iowa","182,323","±2,459","22.90%","±0.3",2012
"$75,000 to $99,999","Iowa","136,519","±2,265","17.20%","±0.3",2012
"$100,000 to $149,999","Iowa","125,787","±1,909","15.80%","±0.2",2012
"$150,000 to $199,999","Iowa","35,401","±999","4.40%","±0.1",2012
"$200,000 or more","Iowa","28,846","±1,102","3.60%","±0.1",2012
"Median family income (dollars)","Iowa","64,772","±372","(X)","(X)",2012
"Mean family income (dollars)","Iowa","78,040","±469","(X)","(X)",2012
"Per capita income (dollars)","Iowa","26,545","±136","(X)","(X)",2012
"Nonfamily households","Iowa","427,611","±3,380","427,611","(X)",2012
"Median nonfamily income (dollars)","Iowa","28,868","±314","(X)","(X)",2012
"Mean nonfamily income (dollars)","Iowa","38,120","±398","(X)","(X)",2012
"Median earnings for workers (dollars)","Iowa","28,665","±194","(X)","(X)",2012
"Median earnings for male full-time, year-round workers (dollars)","Iowa","44,788","±221","(X)","(X)",2012
"Median earnings for female full-time, year-round workers (dollars)","Iowa","34,333","±223","(X)","(X)",2012
"Total households","Kansas","1,109,391","±3,369","1,109,391","(X)",2012
"Less than $10,000","Kansas","70,368","±1,353","6.30%","±0.1",2012
"$10,000 to $14,999","Kansas","58,344","±1,283","5.30%","±0.1",2012
"$15,000 to $24,999","Kansas","122,039","±2,136","11.00%","±0.2",2012
"$25,000 to $34,999","Kansas","122,897","±2,073","11.10%","±0.2",2012
"$35,000 to $49,999","Kansas","167,946","±2,172","15.10%","±0.2",2012
"$50,000 to $74,999","Kansas","217,021","±2,423","19.60%","±0.2",2012
"$75,000 to $99,999","Kansas","140,509","±2,317","12.70%","±0.2",2012
"$100,000 to $149,999","Kansas","132,561","±2,129","11.90%","±0.2",2012
"$150,000 to $199,999","Kansas","41,125","±1,135","3.70%","±0.1",2012
"$200,000 or more","Kansas","36,581","±957","3.30%","±0.1",2012
"Median household income (dollars)","Kansas","51,273","±259","(X)","(X)",2012
"Mean household income (dollars)","Kansas","67,564","±372","(X)","(X)",2012
"With earnings","Kansas","901,905","±3,060","81.30%","±0.2",2012
"Mean earnings (dollars)","Kansas","67,257","±379","(X)","(X)",2012
"With Social Security","Kansas","307,969","±1,916","27.80%","±0.2",2012
"Mean Social Security income (dollars)","Kansas","17,347","±89","(X)","(X)",2012
"With retirement income","Kansas","176,365","±2,140","15.90%","±0.2",2012
"Mean retirement income (dollars)","Kansas","19,327","±362","(X)","(X)",2012
"With Supplemental Security Income","Kansas","37,799","±1,047","3.40%","±0.1",2012
"Mean Supplemental Security Income (dollars)","Kansas","8,372","±184","(X)","(X)",2012
"With cash public assistance income","Kansas","25,583","±938","2.30%","±0.1",2012
"Mean cash public assistance income (dollars)","Kansas","3,228","±147","(X)","(X)",2012
"With Food Stamp/SNAP benefits in the past 12 months","Kansas","96,401","±1,868","8.70%","±0.2",2012
"Families","Kansas","730,308","±3,720","730,308","(X)",2012
"Less than $10,000","Kansas","25,408","±958","3.50%","±0.1",2012
"$10,000 to $14,999","Kansas","19,579","±841","2.70%","±0.1",2012
"$15,000 to $24,999","Kansas","53,779","±1,358","7.40%","±0.2",2012
"$25,000 to $34,999","Kansas","66,822","±1,774","9.10%","±0.2",2012
"$35,000 to $49,999","Kansas","103,086","±1,747","14.10%","±0.2",2012
"$50,000 to $74,999","Kansas","157,186","±2,118","21.50%","±0.3",2012
"$75,000 to $99,999","Kansas","117,400","±2,000","16.10%","±0.2",2012
"$100,000 to $149,999","Kansas","116,909","±1,951","16.00%","±0.3",2012
"$150,000 to $199,999","Kansas","37,321","±1,027","5.10%","±0.1",2012
"$200,000 or more","Kansas","32,818","±943","4.50%","±0.1",2012
"Median family income (dollars)","Kansas","64,731","±410","(X)","(X)",2012
"Mean family income (dollars)","Kansas","80,888","±526","(X)","(X)",2012
"Per capita income (dollars)","Kansas","26,845","±157","(X)","(X)",2012
"Nonfamily households","Kansas","379,083","±2,995","379,083","(X)",2012
"Median nonfamily income (dollars)","Kansas","29,546","±350","(X)","(X)",2012
"Mean nonfamily income (dollars)","Kansas","39,612","±478","(X)","(X)",2012
"Median earnings for workers (dollars)","Kansas","28,800","±196","(X)","(X)",2012
"Median earnings for male full-time, year-round workers (dollars)","Kansas","45,485","±344","(X)","(X)",2012
"Median earnings for female full-time, year-round workers (dollars)","Kansas","34,167","±280","(X)","(X)",2012
"Total households","Kentucky","1,691,716","±5,160","1,691,716","(X)",2012
"Less than $10,000","Kentucky","172,401","±2,585","10.20%","±0.2",2012
"$10,000 to $14,999","Kentucky","122,081","±2,509","7.20%","±0.1",2012
"$15,000 to $24,999","Kentucky","219,614","±3,068","13.00%","±0.2",2012
"$25,000 to $34,999","Kentucky","199,018","±2,595","11.80%","±0.2",2012
"$35,000 to $49,999","Kentucky","246,619","±3,366","14.60%","±0.2",2012
"$50,000 to $74,999","Kentucky","300,565","±3,567","17.80%","±0.2",2012
"$75,000 to $99,999","Kentucky","184,514","±2,659","10.90%","±0.2",2012
"$100,000 to $149,999","Kentucky","163,262","±2,976","9.70%","±0.2",2012
"$150,000 to $199,999","Kentucky","44,360","±1,252","2.60%","±0.1",2012
"$200,000 or more","Kentucky","39,282","±1,089","2.30%","±0.1",2012
"Median household income (dollars)","Kentucky","42,610","±238","(X)","(X)",2012
"Mean household income (dollars)","Kentucky","57,876","±284","(X)","(X)",2012
"With earnings","Kentucky","1,245,273","±4,293","73.60%","±0.2",2012
"Mean earnings (dollars)","Kentucky","60,567","±331","(X)","(X)",2012
"With Social Security","Kentucky","549,267","±2,772","32.50%","±0.1",2012
"Mean Social Security income (dollars)","Kentucky","15,575","±57","(X)","(X)",2012
"With retirement income","Kentucky","329,123","±3,026","19.50%","±0.2",2012
"Mean retirement income (dollars)","Kentucky","19,977","±234","(X)","(X)",2012
"With Supplemental Security Income","Kentucky","119,969","±1,918","7.10%","±0.1",2012
"Mean Supplemental Security Income (dollars)","Kentucky","8,118","±83","(X)","(X)",2012
"With cash public assistance income","Kentucky","42,773","±1,469","2.50%","±0.1",2012
"Mean cash public assistance income (dollars)","Kentucky","3,248","±139","(X)","(X)",2012
"With Food Stamp/SNAP benefits in the past 12 months","Kentucky","270,875","±3,005","16.00%","±0.2",2012
