"Label..Grouping.","State","Estimate","Margin.of.Error","Percent","Percent.Margin.of.Error","Year"
"Unemployment Rate","Alabama","(X)","(X)","8.30%","±0.1",2016
"Females 16 years and over","Alabama","2,016,206","±1,160","2,016,206","(X)",2016
"In labor force","Alabama","1,064,636","±4,961","52.80%","±0.2",2016
"Civilian labor force","Alabama","1,063,176","±4,908","52.70%","±0.2",2016
"Employed","Alabama","972,492","±5,116","48.20%","±0.3",2016
"Own children of the householder under 6 years","Alabama","334,610","±1,936","334,610","(X)",2016
"All parents in family in labor force","Alabama","218,846","±2,669","65.40%","±0.7",2016
"Own children of the householder 6 to 17 years","Alabama","698,142","±2,738","698,142","(X)",2016
"All parents in family in labor force","Alabama","478,164","±3,822","68.50%","±0.5",2016
"Population 16 years and over","Alaska","568,732","±603","568,732","(X)",2016
"In labor force","Alaska","400,475","±2,069","70.40%","±0.4",2016
"Civilian labor force","Alaska","384,093","±2,186","67.50%","±0.4",2016
"Employed","Alaska","353,954","±2,158","62.20%","±0.4",2016
"Unemployed","Alaska","30,139","±1,298","5.30%","±0.2",2016
"Armed Forces","Alaska","16,382","±803","2.90%","±0.1",2016
"Not in labor force","Alaska","168,257","±2,113","29.60%","±0.4",2016
"Civilian labor force","Alaska","384,093","±2,186","384,093","(X)",2016
"Unemployment Rate","Alaska","(X)","(X)","7.80%","±0.3",2016
"Females 16 years and over","Alaska","270,077","±497","270,077","(X)",2016
"In labor force","Alaska","176,859","±1,481","65.50%","±0.6",2016
"Civilian labor force","Alaska","174,942","±1,527","64.80%","±0.6",2016
"Employed","Alaska","163,092","±1,413","60.40%","±0.6",2016
"Own children of the householder under 6 years","Alaska","62,920","±753","62,920","(X)",2016
"All parents in family in labor force","Alaska","38,825","±1,091","61.70%","±1.6",2016
"Own children of the householder 6 to 17 years","Alaska","114,690","±897","114,690","(X)",2016
"All parents in family in labor force","Alaska","79,579","±1,534","69.40%","±1.2",2016
"Population 16 years and over","Arizona","5,290,839","±1,502","5,290,839","(X)",2016
"In labor force","Arizona","3,146,717","±7,568","59.50%","±0.1",2016
"Civilian labor force","Arizona","3,129,344","±7,467","59.10%","±0.1",2016
"Employed","Arizona","2,879,372","±8,055","54.40%","±0.2",2016
"Unemployed","Arizona","249,972","±4,373","4.70%","±0.1",2016
"Armed Forces","Arizona","17,373","±865","0.30%","±0.1",2016
"Not in labor force","Arizona","2,144,122","±7,479","40.50%","±0.1",2016
"Civilian labor force","Arizona","3,129,344","±7,467","3,129,344","(X)",2016
"Unemployment Rate","Arizona","(X)","(X)","8.00%","±0.1",2016
"Females 16 years and over","Arizona","2,680,314","±1,252","2,680,314","(X)",2016
"In labor force","Arizona","1,459,311","±5,771","54.40%","±0.2",2016
"Civilian labor force","Arizona","1,456,939","±5,812","54.40%","±0.2",2016
"Employed","Arizona","1,343,209","±5,945","50.10%","±0.2",2016
"Own children of the householder under 6 years","Arizona","500,955","±2,484","500,955","(X)",2016
"All parents in family in labor force","Arizona","301,682","±3,571","60.20%","±0.7",2016
"Own children of the householder 6 to 17 years","Arizona","1,028,318","±2,819","1,028,318","(X)",2016
"All parents in family in labor force","Arizona","680,760","±4,721","66.20%","±0.4",2016
"Population 16 years and over","Arkansas","2,339,307","±1,242","2,339,307","(X)",2016
"In labor force","Arkansas","1,364,187","±5,189","58.30%","±0.2",2016
"Civilian labor force","Arkansas","1,359,742","±5,171","58.10%","±0.2",2016
"Employed","Arkansas","1,266,552","±6,050","54.10%","±0.3",2016
"Unemployed","Arkansas","93,190","±2,398","4.00%","±0.1",2016
"Armed Forces","Arkansas","4,445","±432","0.20%","±0.1",2016
"Not in labor force","Arkansas","975,120","±5,070","41.70%","±0.2",2016
"Civilian labor force","Arkansas","1,359,742","±5,171","1,359,742","(X)",2016
"Unemployment Rate","Arkansas","(X)","(X)","6.90%","±0.2",2016
"Females 16 years and over","Arkansas","1,204,547","±1,069","1,204,547","(X)",2016
"In labor force","Arkansas","640,719","±3,504","53.20%","±0.3",2016
"Civilian labor force","Arkansas","640,142","±3,519","53.10%","±0.3",2016
"Employed","Arkansas","598,049","±4,061","49.60%","±0.3",2016
"Own children of the householder under 6 years","Arkansas","217,683","±1,584","217,683","(X)",2016
"All parents in family in labor force","Arkansas","138,510","±2,535","63.60%","±1.1",2016
"Own children of the householder 6 to 17 years","Arkansas","440,791","±2,132","440,791","(X)",2016
"All parents in family in labor force","Arkansas","302,669","±3,640","68.70%","±0.7",2016
"Population 16 years and over","California","30,565,746","±3,893","30,565,746","(X)",2016
"In labor force","California","19,391,320","±20,568","63.40%","±0.1",2016
"Civilian labor force","California","19,260,868","±20,577","63.00%","±0.1",2016
"Employed","California","17,577,142","±19,377","57.50%","±0.1",2016
"Unemployed","California","1,683,726","±11,744","5.50%","±0.1",2016
"Armed Forces","California","130,452","±2,163","0.40%","±0.1",2016
"Not in labor force","California","11,174,426","±20,900","36.60%","±0.1",2016
"Civilian labor force","California","19,260,868","±20,577","19,260,868","(X)",2016
"Unemployment Rate","California","(X)","(X)","8.70%","±0.1",2016
"Females 16 years and over","California","15,494,178","±2,711","15,494,178","(X)",2016
"In labor force","California","8,858,641","±13,174","57.20%","±0.1",2016
"Civilian labor force","California","8,843,148","±13,146","57.10%","±0.1",2016
"Employed","California","8,062,838","±12,186","52.00%","±0.1",2016
"Own children of the householder under 6 years","California","2,894,630","±5,785","2,894,630","(X)",2016
"All parents in family in labor force","California","1,766,378","±8,648","61.00%","±0.3",2016
"Own children of the householder 6 to 17 years","California","5,826,524","±7,129","5,826,524","(X)",2016
"All parents in family in labor force","California","3,834,485","±12,431","65.80%","±0.2",2016
"Population 16 years and over","Colorado","4,245,559","±1,423","4,245,559","(X)",2016
"In labor force","Colorado","2,897,359","±4,476","68.20%","±0.1",2016
"Civilian labor force","Colorado","2,864,224","±4,391","67.50%","±0.1",2016
"Employed","Colorado","2,692,529","±5,342","63.40%","±0.1",2016
"Unemployed","Colorado","171,695","±2,760","4.00%","±0.1",2016
"Armed Forces","Colorado","33,135","±1,104","0.80%","±0.1",2016
"Not in labor force","Colorado","1,348,200","±4,512","31.80%","±0.1",2016
"Civilian labor force","Colorado","2,864,224","±4,391","2,864,224","(X)",2016
"Unemployment Rate","Colorado","(X)","(X)","6.00%","±0.1",2016
"Females 16 years and over","Colorado","2,125,602","±1,334","2,125,602","(X)",2016
"In labor force","Colorado","1,332,017","±3,814","62.70%","±0.2",2016
"Civilian labor force","Colorado","1,327,541","±3,857","62.50%","±0.2",2016
"Employed","Colorado","1,248,979","±4,367","58.80%","±0.2",2016
"Own children of the householder under 6 years","Colorado","392,734","±1,962","392,734","(X)",2016
"All parents in family in labor force","Colorado","246,495","±3,197","62.80%","±0.8",2016
"Own children of the householder 6 to 17 years","Colorado","801,108","±2,829","801,108","(X)",2016
"All parents in family in labor force","Colorado","570,075","±5,043","71.20%","±0.5",2016
"Population 16 years and over","Connecticut","2,911,925","±1,254","2,911,925","(X)",2016
"In labor force","Connecticut","1,957,060","±4,943","67.20%","±0.2",2016
"Civilian labor force","Connecticut","1,948,693","±4,858","66.90%","±0.2",2016
"Employed","Connecticut","1,793,688","±5,354","61.60%","±0.2",2016
"Unemployed","Connecticut","155,005","±3,002","5.30%","±0.1",2016
"Armed Forces","Connecticut","8,367","±492","0.30%","±0.1",2016
"Not in labor force","Connecticut","954,865","±4,917","32.80%","±0.2",2016
"Civilian labor force","Connecticut","1,948,693","±4,858","1,948,693","(X)",2016
"Unemployment Rate","Connecticut","(X)","(X)","8.00%","±0.2",2016
"Females 16 years and over","Connecticut","1,507,425","±948","1,507,425","(X)",2016
"In labor force","Connecticut","944,266","±3,649","62.60%","±0.2",2016
"Civilian labor force","Connecticut","943,243","±3,650","62.60%","±0.2",2016
"Employed","Connecticut","872,512","±3,635","57.90%","±0.2",2016
"Own children of the householder under 6 years","Connecticut","222,908","±1,497","222,908","(X)",2016
"All parents in family in labor force","Connecticut","157,364","±2,339","70.60%","±0.9",2016
"Own children of the householder 6 to 17 years","Connecticut","521,652","±1,830","521,652","(X)",2016
"All parents in family in labor force","Connecticut","394,198","±2,760","75.60%","±0.5",2016
"Population 16 years and over","Delaware","753,039","±642","753,039","(X)",2016
"In labor force","Delaware","474,821","±2,781","63.10%","±0.4",2016
"Civilian labor force","Delaware","471,961","±2,864","62.70%","±0.4",2016
"Employed","Delaware","438,292","±2,927","58.20%","±0.4",2016
"Unemployed","Delaware","33,669","±1,246","4.50%","±0.2",2016
"Armed Forces","Delaware","2,860","±367","0.40%","±0.1",2016
"Not in labor force","Delaware","278,218","±2,774","36.90%","±0.4",2016
"Civilian labor force","Delaware","471,961","±2,864","471,961","(X)",2016
"Unemployment Rate","Delaware","(X)","(X)","7.10%","±0.3",2016
"Females 16 years and over","Delaware","392,898","±404","392,898","(X)",2016
"In labor force","Delaware","232,902","±1,904","59.30%","±0.5",2016
"Civilian labor force","Delaware","232,447","±1,921","59.20%","±0.5",2016
"Employed","Delaware","217,004","±1,859","55.20%","±0.5",2016
"Own children of the householder under 6 years","Delaware","64,226","±739","64,226","(X)",2016
"All parents in family in labor force","Delaware","44,782","±1,272","69.70%","±1.7",2016
"Own children of the householder 6 to 17 years","Delaware","127,977","±1,225","127,977","(X)",2016
"All parents in family in labor force","Delaware","98,920","±1,980","77.30%","±1.3",2016
"Population 16 years and over","District of Columbia","554,780","±405","554,780","(X)",2016
"In labor force","District of Columbia","385,056","±1,965","69.40%","±0.4",2016
"Civilian labor force","District of Columbia","381,551","±1,991","68.80%","±0.4",2016
"Employed","District of Columbia","348,225","±2,235","62.80%","±0.4",2016
"Unemployed","District of Columbia","33,326","±1,360","6.00%","±0.2",2016
"Armed Forces","District of Columbia","3,505","±253","0.60%","±0.1",2016
"Not in labor force","District of Columbia","169,724","±1,986","30.60%","±0.4",2016
"Civilian labor force","District of Columbia","381,551","±1,991","381,551","(X)",2016
"Unemployment Rate","District of Columbia","(X)","(X)","8.70%","±0.4",2016
"Females 16 years and over","District of Columbia","294,829","±275","294,829","(X)",2016
"In labor force","District of Columbia","197,478","±1,358","67.00%","±0.5",2016
"Civilian labor force","District of Columbia","196,946","±1,373","66.80%","±0.5",2016
"Employed","District of Columbia","180,037","±1,605","61.10%","±0.5",2016
"Own children of the householder under 6 years","District of Columbia","46,751","±587","46,751","(X)",2016
"All parents in family in labor force","District of Columbia","35,133","±1,030","75.10%","±1.9",2016
"Own children of the householder 6 to 17 years","District of Columbia","60,333","±706","60,333","(X)",2016
"All parents in family in labor force","District of Columbia","46,363","±1,068","76.80%","±1.6",2016
"Population 16 years and over","Florida","16,339,299","±3,200","16,339,299","(X)",2016
"In labor force","Florida","9,613,594","±17,565","58.80%","±0.1",2016
"Civilian labor force","Florida","9,557,443","±17,347","58.50%","±0.1",2016
"Employed","Florida","8,755,427","±17,050","53.60%","±0.1",2016
"Unemployed","Florida","802,016","±7,479","4.90%","±0.1",2016
"Armed Forces","Florida","56,151","±1,972","0.30%","±0.1",2016
"Not in labor force","Florida","6,725,705","±17,654","41.20%","±0.1",2016
"Civilian labor force","Florida","9,557,443","±17,347","9,557,443","(X)",2016
"Unemployment Rate","Florida","(X)","(X)","8.40%","±0.1",2016
"Females 16 years and over","Florida","8,435,122","±2,533","8,435,122","(X)",2016
"In labor force","Florida","4,587,837","±11,112","54.40%","±0.1",2016
"Civilian labor force","Florida","4,579,116","±11,104","54.30%","±0.1",2016
"Employed","Florida","4,199,532","±11,211","49.80%","±0.1",2016
"Own children of the householder under 6 years","Florida","1,261,710","±4,885","1,261,710","(X)",2016
"All parents in family in labor force","Florida","843,247","±6,601","66.80%","±0.5",2016
"Own children of the householder 6 to 17 years","Florida","2,589,042","±5,212","2,589,042","(X)",2016
"All parents in family in labor force","Florida","1,864,921","±9,259","72.00%","±0.3",2016
"Population 16 years and over","Georgia","7,882,965","±2,268","7,882,965","(X)",2016
"In labor force","Georgia","4,957,087","±10,013","62.90%","±0.1",2016
"Civilian labor force","Georgia","4,908,225","±9,782","62.30%","±0.1",2016
"Employed","Georgia","4,489,112","±10,286","56.90%","±0.1",2016
"Unemployed","Georgia","419,113","±5,234","5.30%","±0.1",2016
"Armed Forces","Georgia","48,862","±1,403","0.60%","±0.1",2016
"Not in labor force","Georgia","2,925,878","±10,240","37.10%","±0.1",2016
"Civilian labor force","Georgia","4,908,225","±9,782","4,908,225","(X)",2016
"Unemployment Rate","Georgia","(X)","(X)","8.50%","±0.1",2016
"Females 16 years and over","Georgia","4,089,207","±2,227","4,089,207","(X)",2016
"In labor force","Georgia","2,372,810","±7,476","58.00%","±0.2",2016
"Civilian labor force","Georgia","2,367,439","±7,472","57.90%","±0.2",2016
"Employed","Georgia","2,160,331","±7,499","52.80%","±0.2",2016
"Own children of the householder under 6 years","Georgia","766,730","±3,314","766,730","(X)",2016
"All parents in family in labor force","Georgia","501,117","±4,588","65.40%","±0.6",2016
"Own children of the householder 6 to 17 years","Georgia","1,592,486","±4,135","1,592,486","(X)",2016
"All parents in family in labor force","Georgia","1,128,339","±7,188","70.90%","±0.4",2016
"Population 16 years and over","Hawaii","1,137,804","±720","1,137,804","(X)",2016
"In labor force","Hawaii","742,161","±2,883","65.20%","±0.2",2016
"Civilian labor force","Hawaii","703,384","±3,047","61.80%","±0.3",2016
"Employed","Hawaii","664,616","±3,419","58.40%","±0.3",2016
"Unemployed","Hawaii","38,768","±1,465","3.40%","±0.1",2016
"Armed Forces","Hawaii","38,777","±927","3.40%","±0.1",2016
"Not in labor force","Hawaii","395,643","±2,813","34.80%","±0.2",2016
"Civilian labor force","Hawaii","703,384","±3,047","703,384","(X)",2016
"Unemployment Rate","Hawaii","(X)","(X)","5.50%","±0.2",2016
"Females 16 years and over","Hawaii","569,662","±525","569,662","(X)",2016
"In labor force","Hawaii","341,309","±2,059","59.90%","±0.3",2016
"Civilian labor force","Hawaii","336,937","±2,129","59.10%","±0.4",2016
"Employed","Hawaii","319,222","±2,316","56.00%","±0.4",2016
"Own children of the householder under 6 years","Hawaii","104,447","±1,011","104,447","(X)",2016
"All parents in family in labor force","Hawaii","66,311","±1,441","63.50%","±1.2",2016
"Own children of the householder 6 to 17 years","Hawaii","184,529","±1,334","184,529","(X)",2016
"All parents in family in labor force","Hawaii","134,824","±2,124","73.10%","±1.0",2016
"Population 16 years and over","Idaho","1,251,275","±1,073","1,251,275","(X)",2016
"In labor force","Idaho","783,014","±3,697","62.60%","±0.3",2016
"Civilian labor force","Idaho","779,555","±3,685","62.30%","±0.3",2016
"Employed","Idaho","731,170","±3,499","58.40%","±0.3",2016
"Unemployed","Idaho","48,385","±1,726","3.90%","±0.1",2016
"Armed Forces","Idaho","3,459","±447","0.30%","±0.1",2016
"Not in labor force","Idaho","468,261","±3,846","37.40%","±0.3",2016
"Civilian labor force","Idaho","779,555","±3,685","779,555","(X)",2016
"Unemployment Rate","Idaho","(X)","(X)","6.20%","±0.2",2016
"Females 16 years and over","Idaho","628,775","±821","628,775","(X)",2016
"In labor force","Idaho","355,313","±2,578","56.50%","±0.4",2016
"Civilian labor force","Idaho","354,653","±2,580","56.40%","±0.4",2016
"Employed","Idaho","332,599","±2,538","52.90%","±0.4",2016
"Own children of the householder under 6 years","Idaho","134,724","±1,306","134,724","(X)",2016
"All parents in family in labor force","Idaho","76,312","±1,725","56.60%","±1.2",2016
"Own children of the householder 6 to 17 years","Idaho","280,432","±1,684","280,432","(X)",2016
"All parents in family in labor force","Idaho","186,422","±3,277","66.50%","±1.0",2016
"Population 16 years and over","Illinois","10,206,768","±2,178","10,206,768","(X)",2016
"In labor force","Illinois","6,697,000","±9,904","65.60%","±0.1",2016
"Civilian labor force","Illinois","6,679,756","±9,835","65.40%","±0.1",2016
"Employed","Illinois","6,134,121","±10,595","60.10%","±0.1",2016
"Unemployed","Illinois","545,635","±5,313","5.30%","±0.1",2016
"Armed Forces","Illinois","17,244","±1,014","0.20%","±0.1",2016
"Not in labor force","Illinois","3,509,768","±9,972","34.40%","±0.1",2016
"Civilian labor force","Illinois","6,679,756","±9,835","6,679,756","(X)",2016
"Unemployment Rate","Illinois","(X)","(X)","8.20%","±0.1",2016
"Females 16 years and over","Illinois","5,247,226","±1,827","5,247,226","(X)",2016
"In labor force","Illinois","3,185,188","±6,867","60.70%","±0.1",2016
"Civilian labor force","Illinois","3,181,903","±6,735","60.60%","±0.1",2016
"Employed","Illinois","2,929,459","±7,300","55.80%","±0.1",2016
"Own children of the householder under 6 years","Illinois","922,788","±2,609","922,788","(X)",2016
"All parents in family in labor force","Illinois","627,055","±3,984","68.00%","±0.4",2016
"Own children of the householder 6 to 17 years","Illinois","1,944,655","±3,387","1,944,655","(X)",2016
"All parents in family in labor force","Illinois","1,409,664","±7,147","72.50%","±0.3",2016
"Population 16 years and over","Indiana","5,185,793","±1,840","5,185,793","(X)",2016
"In labor force","Indiana","3,316,952","±7,178","64.00%","±0.1",2016
"Civilian labor force","Indiana","3,314,108","±7,206","63.90%","±0.1",2016
"Employed","Indiana","3,085,179","±7,712","59.50%","±0.1",2016
"Unemployed","Indiana","228,929","±3,888","4.40%","±0.1",2016
"Armed Forces","Indiana","2,844","±396","0.10%","±0.1",2016
"Not in labor force","Indiana","1,868,841","±6,857","36.00%","±0.1",2016
"Civilian labor force","Indiana","3,314,108","±7,206","3,314,108","(X)",2016
"Unemployment Rate","Indiana","(X)","(X)","6.90%","±0.1",2016
"Females 16 years and over","Indiana","2,658,305","±1,245","2,658,305","(X)",2016
"In labor force","Indiana","1,571,019","±4,742","59.10%","±0.2",2016
"Civilian labor force","Indiana","1,570,765","±4,758","59.10%","±0.2",2016
"Employed","Indiana","1,465,046","±4,816","55.10%","±0.2",2016
"Own children of the householder under 6 years","Indiana","486,069","±2,404","486,069","(X)",2016
"All parents in family in labor force","Indiana","323,799","±3,590","66.60%","±0.6",2016
"Own children of the householder 6 to 17 years","Indiana","1,011,945","±2,879","1,011,945","(X)",2016
"All parents in family in labor force","Indiana","734,238","±4,740","72.60%","±0.4",2016
"Population 16 years and over","Iowa","2,459,591","±1,254","2,459,591","(X)",2016
"In labor force","Iowa","1,664,170","±3,964","67.70%","±0.2",2016
"Civilian labor force","Iowa","1,662,467","±3,931","67.60%","±0.2",2016
"Employed","Iowa","1,587,178","±4,377","64.50%","±0.2",2016
"Unemployed","Iowa","75,289","±1,717","3.10%","±0.1",2016
"Armed Forces","Iowa","1,703","±310","0.10%","±0.1",2016
"Not in labor force","Iowa","795,421","±3,913","32.30%","±0.2",2016
"Civilian labor force","Iowa","1,662,467","±3,931","1,662,467","(X)",2016
"Unemployment Rate","Iowa","(X)","(X)","4.50%","±0.1",2016
"Females 16 years and over","Iowa","1,247,432","±1,212","1,247,432","(X)",2016
"In labor force","Iowa","789,293","±2,547","63.30%","±0.2",2016
"Civilian labor force","Iowa","789,094","±2,547","63.30%","±0.2",2016
"Employed","Iowa","756,325","±2,754","60.60%","±0.2",2016
"Own children of the householder under 6 years","Iowa","230,968","±1,219","230,968","(X)",2016
"All parents in family in labor force","Iowa","173,476","±2,091","75.10%","±0.8",2016
"Own children of the householder 6 to 17 years","Iowa","465,877","±1,557","465,877","(X)",2016
"All parents in family in labor force","Iowa","371,259","±2,772","79.70%","±0.5",2016
"Population 16 years and over","Kansas","2,255,916","±1,065","2,255,916","(X)",2016
"In labor force","Kansas","1,505,247","±4,333","66.70%","±0.2",2016
"Civilian labor force","Kansas","1,487,918","±4,297","66.00%","±0.2",2016
"Employed","Kansas","1,408,918","±4,603","62.50%","±0.2",2016
"Unemployed","Kansas","79,000","±1,864","3.50%","±0.1",2016
"Armed Forces","Kansas","17,329","±758","0.80%","±0.1",2016
"Not in labor force","Kansas","750,669","±4,168","33.30%","±0.2",2016
"Civilian labor force","Kansas","1,487,918","±4,297","1,487,918","(X)",2016
"Unemployment Rate","Kansas","(X)","(X)","5.30%","±0.1",2016
"Females 16 years and over","Kansas","1,142,682","±801","1,142,682","(X)",2016
"In labor force","Kansas","702,277","±2,784","61.50%","±0.2",2016
"Civilian labor force","Kansas","700,809","±2,748","61.30%","±0.2",2016
"Employed","Kansas","664,951","±2,737","58.20%","±0.2",2016
"Own children of the householder under 6 years","Kansas","232,622","±1,448","232,622","(X)",2016
"All parents in family in labor force","Kansas","154,921","±2,025","66.60%","±0.8",2016
"Own children of the householder 6 to 17 years","Kansas","457,522","±1,816","457,522","(X)",2016
"All parents in family in labor force","Kansas","341,356","±3,099","74.60%","±0.6",2016
"Population 16 years and over","Kentucky","3,511,065","±1,703","3,511,065","(X)",2016
"In labor force","Kentucky","2,085,433","±5,430","59.40%","±0.1",2016
"Civilian labor force","Kentucky","2,070,698","±5,474","59.00%","±0.2",2016
"Employed","Kentucky","1,914,189","±6,529","54.50%","±0.2",2016
"Unemployed","Kentucky","156,509","±2,929","4.50%","±0.1",2016
"Armed Forces","Kentucky","14,735","±659","0.40%","±0.1",2016
"Not in labor force","Kentucky","1,425,632","±5,233","40.60%","±0.1",2016
"Civilian labor force","Kentucky","2,070,698","±5,474","2,070,698","(X)",2016
"Unemployment Rate","Kentucky","(X)","(X)","7.60%","±0.1",2016
"Females 16 years and over","Kentucky","1,799,319","±1,535","1,799,319","(X)",2016
"In labor force","Kentucky","986,425","±4,312","54.80%","±0.2",2016
"Civilian labor force","Kentucky","985,307","±4,380","54.80%","±0.2",2016
"Employed","Kentucky","914,204","±4,417","50.80%","±0.2",2016
"Own children of the householder under 6 years","Kentucky","310,939","±1,841","310,939","(X)",2016
"All parents in family in labor force","Kentucky","201,543","±2,365","64.80%","±0.7",2016
"Own children of the householder 6 to 17 years","Kentucky","627,014","±2,317","627,014","(X)",2016
"All parents in family in labor force","Kentucky","433,075","±3,743","69.10%","±0.5",2016
"Population 16 years and over","Louisiana","3,654,913","±1,625","3,654,913","(X)",2016
"In labor force","Louisiana","2,209,139","±6,316","60.40%","±0.2",2016
"Civilian labor force","Louisiana","2,194,054","±6,223","60.00%","±0.2",2016
"Employed","Louisiana","2,025,728","±6,954","55.40%","±0.2",2016
"Unemployed","Louisiana","168,326","±3,564","4.60%","±0.1",2016
"Armed Forces","Louisiana","15,085","±800","0.40%","±0.1",2016
"Not in labor force","Louisiana","1,445,774","±6,770","39.60%","±0.2",2016
"Civilian labor force","Louisiana","2,194,054","±6,223","2,194,054","(X)",2016
"Unemployment Rate","Louisiana","(X)","(X)","7.70%","±0.2",2016
"Females 16 years and over","Louisiana","1,888,386","±1,386","1,888,386","(X)",2016
"In labor force","Louisiana","1,057,323","±4,094","56.00%","±0.2",2016
"Civilian labor force","Louisiana","1,055,419","±4,115","55.90%","±0.2",2016
"Employed","Louisiana","976,632","±4,248","51.70%","±0.2",2016
"Own children of the householder under 6 years","Louisiana","357,590","±1,946","357,590","(X)",2016
"All parents in family in labor force","Louisiana","242,988","±3,344","68.00%","±0.9",2016
"Own children of the householder 6 to 17 years","Louisiana","687,701","±2,379","687,701","(X)",2016
"All parents in family in labor force","Louisiana","493,792","±4,310","71.80%","±0.5",2016
"Population 16 years and over","Maine","1,101,688","±634","1,101,688","(X)",2016
"In labor force","Maine","696,028","±3,137","63.20%","±0.3",2016
"Civilian labor force","Maine","694,258","±3,130","63.00%","±0.3",2016
"Employed","Maine","652,638","±3,365","59.20%","±0.3",2016
"Unemployed","Maine","41,620","±1,435","3.80%","±0.1",2016
"Armed Forces","Maine","1,770","±287","0.20%","±0.1",2016
"Not in labor force","Maine","405,660","±3,073","36.80%","±0.3",2016
"Civilian labor force","Maine","694,258","±3,130","694,258","(X)",2016
"Unemployment Rate","Maine","(X)","(X)","6.00%","±0.2",2016
"Females 16 years and over","Maine","568,081","±526","568,081","(X)",2016
"In labor force","Maine","338,626","±2,101","59.60%","±0.4",2016
"Civilian labor force","Maine","338,520","±2,102","59.60%","±0.4",2016
"Employed","Maine","320,995","±2,315","56.50%","±0.4",2016
"Own children of the householder under 6 years","Maine","76,082","±954","76,082","(X)",2016
"All parents in family in labor force","Maine","52,626","±1,327","69.20%","±1.4",2016
"Own children of the householder 6 to 17 years","Maine","169,547","±967","169,547","(X)",2016
"All parents in family in labor force","Maine","126,145","±1,819","74.40%","±1.0",2016
"Population 16 years and over","Maryland","4,764,901","±1,666","4,764,901","(X)",2016
"In labor force","Maryland","3,249,911","±5,662","68.20%","±0.1",2016
"Civilian labor force","Maryland","3,221,839","±5,644","67.60%","±0.1",2016
"Employed","Maryland","3,005,753","±6,246","63.10%","±0.1",2016
"Unemployed","Maryland","216,086","±3,171","4.50%","±0.1",2016
"Armed Forces","Maryland","28,072","±929","0.60%","±0.1",2016
"Not in labor force","Maryland","1,514,990","±5,808","31.80%","±0.1",2016
"Civilian labor force","Maryland","3,221,839","±5,644","3,221,839","(X)",2016
"Unemployment Rate","Maryland","(X)","(X)","6.70%","±0.1",2016
"Females 16 years and over","Maryland","2,487,168","±1,139","2,487,168","(X)",2016
"In labor force","Maryland","1,593,409","±3,627","64.10%","±0.1",2016
"Civilian labor force","Maryland","1,587,575","±3,630","63.80%","±0.1",2016
"Employed","Maryland","1,484,990","±4,101","59.70%","±0.2",2016
"Own children of the householder under 6 years","Maryland","426,998","±1,967","426,998","(X)",2016
"All parents in family in labor force","Maryland","306,061","±2,698","71.70%","±0.6",2016
"Own children of the householder 6 to 17 years","Maryland","860,778","±2,334","860,778","(X)",2016
"All parents in family in labor force","Maryland","664,390","±4,465","77.20%","±0.4",2016
"Population 16 years and over","Massachusetts","5,522,235","±1,478","5,522,235","(X)",2016
"In labor force","Massachusetts","3,725,838","±6,993","67.50%","±0.1",2016
"Civilian labor force","Massachusetts","3,721,211","±7,021","67.40%","±0.1",2016
"Employed","Massachusetts","3,468,864","±7,635","62.80%","±0.1",2016
"Unemployed","Massachusetts","252,347","±3,487","4.60%","±0.1",2016
"Armed Forces","Massachusetts","4,627","±608","0.10%","±0.1",2016
"Not in labor force","Massachusetts","1,796,397","±7,020","32.50%","±0.1",2016
"Civilian labor force","Massachusetts","3,721,211","±7,021","3,721,211","(X)",2016
"Unemployment Rate","Massachusetts","(X)","(X)","6.80%","±0.1",2016
"Females 16 years and over","Massachusetts","2,875,013","±1,097","2,875,013","(X)",2016
"In labor force","Massachusetts","1,826,407","±4,903","63.50%","±0.2",2016
"Civilian labor force","Massachusetts","1,825,784","±4,899","63.50%","±0.2",2016
"Employed","Massachusetts","1,712,400","±5,419","59.60%","±0.2",2016
"Own children of the householder under 6 years","Massachusetts","425,278","±2,348","425,278","(X)",2016
"All parents in family in labor force","Massachusetts","302,682","±3,336","71.20%","±0.7",2016
"Own children of the householder 6 to 17 years","Massachusetts","912,120","±2,591","912,120","(X)",2016
"All parents in family in labor force","Massachusetts","691,391","±4,098","75.80%","±0.4",2016
"Population 16 years and over","Michigan","7,953,581","±1,485","7,953,581","(X)",2016
"In labor force","Michigan","4,866,369","±8,039","61.20%","±0.1",2016
"Civilian labor force","Michigan","4,862,651","±8,006","61.10%","±0.1",2016
"Employed","Michigan","4,449,717","±8,816","55.90%","±0.1",2016
"Unemployed","Michigan","412,934","±4,628","5.20%","±0.1",2016
"Armed Forces","Michigan","3,718","±400","0.00%","±0.1",2016
"Not in labor force","Michigan","3,087,212","±8,113","38.80%","±0.1",2016
"Civilian labor force","Michigan","4,862,651","±8,006","4,862,651","(X)",2016
"Unemployment Rate","Michigan","(X)","(X)","8.50%","±0.1",2016
"Females 16 years and over","Michigan","4,085,210","±1,003","4,085,210","(X)",2016
"In labor force","Michigan","2,329,690","±5,264","57.00%","±0.1",2016
"Civilian labor force","Michigan","2,329,012","±5,247","57.00%","±0.1",2016
"Employed","Michigan","2,142,706","±5,473","52.50%","±0.1",2016
"Own children of the householder under 6 years","Michigan","664,915","±2,347","664,915","(X)",2016
"All parents in family in labor force","Michigan","441,202","±3,858","66.40%","±0.5",2016
