"Label..Grouping.","State","Estimate","Margin.of.Error","Percent","Percent.Margin.of.Error","Year"
"Civilian noninstitutionalized population 18 to 64 years","New York","12,289,555","±1,495","12,289,555","(X)",2012
"In labor force:","New York","9,397,799","±12,489","9,397,799","(X)",2012
"Employed:","New York","8,590,153","±13,556","8,590,153","(X)",2012
"With health insurance coverage","New York","7,365,352","±19,494","85.70%","±0.2",2012
"With private health insurance","New York","6,698,880","±19,525","78.00%","±0.2",2012
"With public coverage","New York","843,985","±6,889","9.80%","±0.1",2012
"No health insurance coverage","New York","1,224,801","±13,584","14.30%","±0.2",2012
"Unemployed:","New York","807,646","±7,373","807,646","(X)",2012
"With health insurance coverage","New York","533,479","±6,703","66.10%","±0.5",2012
"With private health insurance","New York","304,329","±4,655","37.70%","±0.4",2012
"With public coverage","New York","255,099","±4,123","31.60%","±0.4",2012
"No health insurance coverage","New York","274,167","±4,209","33.90%","±0.5",2012
"Not in labor force:","New York","2,891,756","±12,287","2,891,756","(X)",2012
"With health insurance coverage","New York","2,452,772","±11,082","84.80%","±0.2",2012
"With private health insurance","New York","1,504,949","±7,848","52.00%","±0.3",2012
"With public coverage","New York","1,151,304","±9,167","39.80%","±0.2",2012
"No health insurance coverage","New York","438,984","±6,378","15.20%","±0.2",2012
"Civilian noninstitutionalized population","North Carolina","9,341,367","±1,809","9,341,367","(X)",2012
"With health insurance coverage","North Carolina","7,829,667","±16,556","83.80%","±0.2",2012
"With private health insurance","North Carolina","6,065,117","±25,024","64.90%","±0.3",2012
"With public coverage","North Carolina","2,828,515","±12,661","30.30%","±0.1",2012
"No health insurance coverage","North Carolina","1,511,700","±16,855","16.20%","±0.2",2012
"Civilian noninstitutionalized population under 18 years","North Carolina","2,271,929","±669","2,271,929","(X)",2012
"No health insurance coverage","North Carolina","182,011","±4,394","8.00%","±0.2",2012
"Civilian noninstitutionalized population 18 to 64 years","North Carolina","5,862,832","±2,168","5,862,832","(X)",2012
"In labor force:","North Carolina","4,482,689","±8,821","4,482,689","(X)",2012
"Employed:","North Carolina","4,020,049","±8,883","4,020,049","(X)",2012
"With health insurance coverage","North Carolina","3,245,169","±13,882","80.70%","±0.2",2012
"With private health insurance","North Carolina","3,118,096","±14,151","77.60%","±0.3",2012
"With public coverage","North Carolina","219,397","±4,271","5.50%","±0.1",2012
"No health insurance coverage","North Carolina","774,880","±9,417","19.30%","±0.2",2012
"Unemployed:","North Carolina","462,640","±5,652","462,640","(X)",2012
"With health insurance coverage","North Carolina","220,362","±3,533","47.60%","±0.7",2012
"With private health insurance","North Carolina","146,289","±3,122","31.60%","±0.7",2012
"With public coverage","North Carolina","84,228","±2,209","18.20%","±0.4",2012
"No health insurance coverage","North Carolina","242,278","±4,825","52.40%","±0.7",2012
"Not in labor force:","North Carolina","1,380,143","±8,596","1,380,143","(X)",2012
"With health insurance coverage","North Carolina","1,074,068","±6,532","77.80%","±0.3",2012
"With private health insurance","North Carolina","705,288","±5,569","51.10%","±0.4",2012
"With public coverage","North Carolina","473,145","±5,015","34.30%","±0.3",2012
"No health insurance coverage","North Carolina","306,075","±5,478","22.20%","±0.3",2012
"Civilian noninstitutionalized population","North Dakota","660,952","±378","660,952","(X)",2012
"With health insurance coverage","North Dakota","595,924","±2,030","90.20%","±0.3",2012
"With private health insurance","North Dakota","526,715","±2,867","79.70%","±0.4",2012
"With public coverage","North Dakota","158,508","±2,075","24.00%","±0.3",2012
"No health insurance coverage","North Dakota","65,028","±1,971","9.80%","±0.3",2012
"Civilian noninstitutionalized population under 18 years","North Dakota","149,890","±201","149,890","(X)",2012
"No health insurance coverage","North Dakota","9,603","±783","6.40%","±0.5",2012
"Civilian noninstitutionalized population 18 to 64 years","North Dakota","419,233","±577","419,233","(X)",2012
"In labor force:","North Dakota","351,285","±1,611","351,285","(X)",2012
"Employed:","North Dakota","339,797","±1,614","339,797","(X)",2012
"With health insurance coverage","North Dakota","300,345","±2,108","88.40%","±0.4",2012
"With private health insurance","North Dakota","290,728","±2,123","85.60%","±0.5",2012
"With public coverage","North Dakota","17,988","±835","5.30%","±0.2",2012
"No health insurance coverage","North Dakota","39,452","±1,456","11.60%","±0.4",2012
"Unemployed:","North Dakota","11,488","±621","11,488","(X)",2012
"With health insurance coverage","North Dakota","6,950","±464","60.50%","±3.1",2012
"With private health insurance","North Dakota","5,211","±422","45.40%","±3.1",2012
"With public coverage","North Dakota","2,093","±298","18.20%","±2.5",2012
"No health insurance coverage","North Dakota","4,538","±465","39.50%","±3.1",2012
"Not in labor force:","North Dakota","67,948","±1,459","67,948","(X)",2012
"With health insurance coverage","North Dakota","56,747","±1,326","83.50%","±0.9",2012
"With private health insurance","North Dakota","44,310","±1,200","65.20%","±1.2",2012
"With public coverage","North Dakota","17,309","±864","25.50%","±1.1",2012
"No health insurance coverage","North Dakota","11,201","±687","16.50%","±0.9",2012
"Civilian noninstitutionalized population","Ohio","11,356,139","±766","11,356,139","(X)",2012
"With health insurance coverage","Ohio","10,037,542","±16,040","88.40%","±0.1",2012
"With private health insurance","Ohio","8,022,270","±28,583","70.60%","±0.3",2012
"With public coverage","Ohio","3,425,095","±15,203","30.20%","±0.1",2012
"No health insurance coverage","Ohio","1,318,597","±16,178","11.60%","±0.1",2012
"Civilian noninstitutionalized population under 18 years","Ohio","2,713,989","±594","2,713,989","(X)",2012
"No health insurance coverage","Ohio","161,474","±4,169","5.90%","±0.2",2012
"Civilian noninstitutionalized population 18 to 64 years","Ohio","7,077,354","±1,247","7,077,354","(X)",2012
"In labor force:","Ohio","5,520,049","±9,009","5,520,049","(X)",2012
"Employed:","Ohio","4,996,117","±10,295","4,996,117","(X)",2012
"With health insurance coverage","Ohio","4,345,201","±15,333","87.00%","±0.2",2012
"With private health insurance","Ohio","4,112,000","±17,045","82.30%","±0.2",2012
"With public coverage","Ohio","334,298","±4,516","6.70%","±0.1",2012
"No health insurance coverage","Ohio","650,916","±8,500","13.00%","±0.2",2012
"Unemployed:","Ohio","523,932","±5,055","523,932","(X)",2012
"With health insurance coverage","Ohio","300,145","±3,383","57.30%","±0.5",2012
"With private health insurance","Ohio","184,735","±2,756","35.30%","±0.5",2012
"With public coverage","Ohio","127,265","±2,322","24.30%","±0.4",2012
"No health insurance coverage","Ohio","223,787","±3,977","42.70%","±0.5",2012
"Not in labor force:","Ohio","1,557,305","±8,832","1,557,305","(X)",2012
"With health insurance coverage","Ohio","1,282,255","±6,377","82.30%","±0.3",2012
"With private health insurance","Ohio","853,839","±5,550","54.80%","±0.4",2012
"With public coverage","Ohio","529,977","±5,500","34.00%","±0.3",2012
"No health insurance coverage","Ohio","275,050","±5,142","17.70%","±0.3",2012
"Civilian noninstitutionalized population","Oklahoma","3,663,645","±929","3,663,645","(X)",2012
"With health insurance coverage","Oklahoma","2,981,811","±6,326","81.40%","±0.2",2012
"With private health insurance","Oklahoma","2,283,986","±9,874","62.30%","±0.3",2012
"With public coverage","Oklahoma","1,138,748","±6,226","31.10%","±0.2",2012
"No health insurance coverage","Oklahoma","681,834","±6,429","18.60%","±0.2",2012
"Civilian noninstitutionalized population under 18 years","Oklahoma","925,028","±368","925,028","(X)",2012
"No health insurance coverage","Oklahoma","102,430","±2,959","11.10%","±0.3",2012
"Civilian noninstitutionalized population 18 to 64 years","Oklahoma","2,247,843","±1,143","2,247,843","(X)",2012
"In labor force:","Oklahoma","1,695,062","±4,392","1,695,062","(X)",2012
"Employed:","Oklahoma","1,582,782","±5,057","1,582,782","(X)",2012
"With health insurance coverage","Oklahoma","1,227,840","±5,335","77.60%","±0.3",2012
"With private health insurance","Oklahoma","1,178,189","±5,571","74.40%","±0.3",2012
"With public coverage","Oklahoma","90,723","±2,107","5.70%","±0.1",2012
"No health insurance coverage","Oklahoma","354,942","±4,225","22.40%","±0.3",2012
"Unemployed:","Oklahoma","112,280","±2,353","112,280","(X)",2012
"With health insurance coverage","Oklahoma","46,552","±1,391","41.50%","±0.9",2012
"With private health insurance","Oklahoma","30,077","±1,200","26.80%","±0.9",2012
"With public coverage","Oklahoma","18,752","±883","16.70%","±0.7",2012
"No health insurance coverage","Oklahoma","65,728","±1,685","58.50%","±0.9",2012
"Not in labor force:","Oklahoma","552,781","±4,055","552,781","(X)",2012
"With health insurance coverage","Oklahoma","396,896","±3,584","71.80%","±0.4",2012
"With private health insurance","Oklahoma","256,412","±2,766","46.40%","±0.4",2012
"With public coverage","Oklahoma","179,748","±2,840","32.50%","±0.4",2012
"No health insurance coverage","Oklahoma","155,885","±2,422","28.20%","±0.4",2012
"Civilian noninstitutionalized population","Oregon","3,796,881","±426","3,796,881","(X)",2012
"With health insurance coverage","Oregon","3,191,034","±8,159","84.00%","±0.2",2012
"With private health insurance","Oregon","2,577,069","±12,933","67.90%","±0.3",2012
"With public coverage","Oregon","1,093,370","±8,333","28.80%","±0.2",2012
"No health insurance coverage","Oregon","605,847","±8,164","16.00%","±0.2",2012
"Civilian noninstitutionalized population under 18 years","Oregon","863,026","±295","863,026","(X)",2012
"No health insurance coverage","Oregon","77,083","±2,627","8.90%","±0.3",2012
"Civilian noninstitutionalized population 18 to 64 years","Oregon","2,403,248","±867","2,403,248","(X)",2012
"In labor force:","Oregon","1,852,777","±4,991","1,852,777","(X)",2012
"Employed:","Oregon","1,656,935","±6,078","1,656,935","(X)",2012
"With health insurance coverage","Oregon","1,347,036","±6,835","81.30%","±0.3",2012
"With private health insurance","Oregon","1,290,845","±7,021","77.90%","±0.3",2012
"With public coverage","Oregon","92,585","±2,273","5.60%","±0.1",2012
"No health insurance coverage","Oregon","309,899","±5,226","18.70%","±0.3",2012
"Unemployed:","Oregon","195,842","±3,715","195,842","(X)",2012
"With health insurance coverage","Oregon","97,444","±2,848","49.80%","±1.0",2012
"With private health insurance","Oregon","66,855","±2,090","34.10%","±0.8",2012
"With public coverage","Oregon","34,190","±1,615","17.50%","±0.7",2012
"No health insurance coverage","Oregon","98,398","±2,453","50.20%","±1.0",2012
"Not in labor force:","Oregon","550,471","±5,128","550,471","(X)",2012
"With health insurance coverage","Oregon","433,310","±4,409","78.70%","±0.5",2012
"With private health insurance","Oregon","301,182","±3,851","54.70%","±0.6",2012
"With public coverage","Oregon","172,076","±3,292","31.30%","±0.5",2012
"No health insurance coverage","Oregon","117,161","±3,097","21.30%","±0.5",2012
"Civilian noninstitutionalized population","Pennsylvania","12,492,799","±625","12,492,799","(X)",2012
"With health insurance coverage","Pennsylvania","11,284,898","±13,253","90.30%","±0.1",2012
"With private health insurance","Pennsylvania","9,221,385","±25,278","73.80%","±0.2",2012
"With public coverage","Pennsylvania","3,858,213","±14,547","30.90%","±0.1",2012
"No health insurance coverage","Pennsylvania","1,207,901","±13,365","9.70%","±0.1",2012
"Civilian noninstitutionalized population under 18 years","Pennsylvania","2,775,436","±509","2,775,436","(X)",2012
"No health insurance coverage","Pennsylvania","147,055","±3,952","5.30%","±0.1",2012
"Civilian noninstitutionalized population 18 to 64 years","Pennsylvania","7,826,146","±1,010","7,826,146","(X)",2012
"In labor force:","Pennsylvania","6,061,207","±8,715","6,061,207","(X)",2012
"Employed:","Pennsylvania","5,561,427","±9,937","5,561,427","(X)",2012
"With health insurance coverage","Pennsylvania","4,937,027","±14,171","88.80%","±0.1",2012
"With private health insurance","Pennsylvania","4,725,634","±14,529","85.00%","±0.2",2012
"With public coverage","Pennsylvania","330,511","±3,584","5.90%","±0.1",2012
"No health insurance coverage","Pennsylvania","624,400","±7,007","11.20%","±0.1",2012
"Unemployed:","Pennsylvania","499,780","±4,693","499,780","(X)",2012
"With health insurance coverage","Pennsylvania","304,425","±3,929","60.90%","±0.6",2012
"With private health insurance","Pennsylvania","205,984","±2,829","41.20%","±0.5",2012
"With public coverage","Pennsylvania","112,891","±2,789","22.60%","±0.5",2012
"No health insurance coverage","Pennsylvania","195,355","±3,533","39.10%","±0.6",2012
"Not in labor force:","Pennsylvania","1,764,939","±8,724","1,764,939","(X)",2012
"With health insurance coverage","Pennsylvania","1,532,877","±7,275","86.90%","±0.2",2012
"With private health insurance","Pennsylvania","1,035,907","±6,235","58.70%","±0.4",2012
"With public coverage","Pennsylvania","648,121","±6,398","36.70%","±0.3",2012
"No health insurance coverage","Pennsylvania","232,062","±4,477","13.10%","±0.2",2012
"Civilian noninstitutionalized population","Rhode Island","1,035,336","±411","1,035,336","(X)",2012
"With health insurance coverage","Rhode Island","920,159","±2,941","88.90%","±0.3",2012
"With private health insurance","Rhode Island","743,402","±5,230","71.80%","±0.5",2012
"With public coverage","Rhode Island","309,121","±4,003","29.90%","±0.4",2012
"No health insurance coverage","Rhode Island","115,177","±2,915","11.10%","±0.3",2012
"Civilian noninstitutionalized population under 18 years","Rhode Island","222,588","±90","222,588","(X)",2012
"No health insurance coverage","Rhode Island","11,564","±1,093","5.20%","±0.5",2012
"Civilian noninstitutionalized population 18 to 64 years","Rhode Island","667,587","±518","667,587","(X)",2012
"In labor force:","Rhode Island","530,055","±2,444","530,055","(X)",2012
"Employed:","Rhode Island","481,138","±2,914","481,138","(X)",2012
"With health insurance coverage","Rhode Island","419,297","±3,113","87.10%","±0.4",2012
"With private health insurance","Rhode Island","395,990","±3,314","82.30%","±0.5",2012
"With public coverage","Rhode Island","34,432","±1,493","7.20%","±0.3",2012
"No health insurance coverage","Rhode Island","61,841","±2,007","12.90%","±0.4",2012
"Unemployed:","Rhode Island","48,917","±1,473","48,917","(X)",2012
"With health insurance coverage","Rhode Island","28,948","±1,095","59.20%","±1.8",2012
"With private health insurance","Rhode Island","20,206","±926","41.30%","±1.8",2012
"With public coverage","Rhode Island","9,943","±718","20.30%","±1.3",2012
"No health insurance coverage","Rhode Island","19,969","±1,182","40.80%","±1.8",2012
"Not in labor force:","Rhode Island","137,532","±2,390","137,532","(X)",2012
"With health insurance coverage","Rhode Island","116,677","±2,242","84.80%","±0.7",2012
"With private health insurance","Rhode Island","76,866","±1,767","55.90%","±1.0",2012
"With public coverage","Rhode Island","51,712","±1,674","37.60%","±0.9",2012
"No health insurance coverage","Rhode Island","20,855","±1,053","15.20%","±0.7",2012
"Civilian noninstitutionalized population","South Carolina","4,527,713","±1,006","4,527,713","(X)",2012
"With health insurance coverage","South Carolina","3,763,097","±10,275","83.10%","±0.2",2012
"With private health insurance","South Carolina","2,886,748","±15,503","63.80%","±0.3",2012
"With public coverage","South Carolina","1,431,609","±9,315","31.60%","±0.2",2012
"No health insurance coverage","South Carolina","764,616","±10,344","16.90%","±0.2",2012
"Civilian noninstitutionalized population under 18 years","South Carolina","1,074,956","±488","1,074,956","(X)",2012
"No health insurance coverage","South Carolina","102,919","±3,391","9.60%","±0.3",2012
"Civilian noninstitutionalized population 18 to 64 years","South Carolina","2,830,117","±1,162","2,830,117","(X)",2012
"In labor force:","South Carolina","2,115,905","±6,545","2,115,905","(X)",2012
"Employed:","South Carolina","1,883,713","±7,371","1,883,713","(X)",2012
"With health insurance coverage","South Carolina","1,519,027","±9,619","80.60%","±0.3",2012
"With private health insurance","South Carolina","1,451,985","±9,475","77.10%","±0.3",2012
"With public coverage","South Carolina","118,085","±2,990","6.30%","±0.2",2012
"No health insurance coverage","South Carolina","364,686","±5,888","19.40%","±0.3",2012
"Unemployed:","South Carolina","232,192","±3,907","232,192","(X)",2012
"With health insurance coverage","South Carolina","103,678","±2,326","44.70%","±0.9",2012
"With private health insurance","South Carolina","67,887","±1,773","29.20%","±0.8",2012
"With public coverage","South Carolina","40,968","±1,601","17.60%","±0.6",2012
"No health insurance coverage","South Carolina","128,514","±3,379","55.30%","±0.9",2012
"Not in labor force:","South Carolina","714,212","±6,579","714,212","(X)",2012
"With health insurance coverage","South Carolina","548,802","±5,290","76.80%","±0.4",2012
"With private health insurance","South Carolina","354,445","±4,298","49.60%","±0.5",2012
"With public coverage","South Carolina","254,467","±4,211","35.60%","±0.5",2012
"No health insurance coverage","South Carolina","165,410","±3,611","23.20%","±0.4",2012
"Civilian noninstitutionalized population","South Dakota","797,646","±428","797,646","(X)",2012
"With health insurance coverage","South Dakota","703,277","±2,430","88.20%","±0.3",2012
"With private health insurance","South Dakota","581,884","±4,040","73.00%","±0.5",2012
"With public coverage","South Dakota","229,060","±2,818","28.70%","±0.4",2012
"No health insurance coverage","South Dakota","94,369","±2,448","11.80%","±0.3",2012
"Civilian noninstitutionalized population under 18 years","South Dakota","200,704","±391","200,704","(X)",2012
"No health insurance coverage","South Dakota","14,028","±981","7.00%","±0.5",2012
"Civilian noninstitutionalized population 18 to 64 years","South Dakota","486,139","±717","486,139","(X)",2012
"In labor force:","South Dakota","404,613","±1,826","404,613","(X)",2012
"Employed:","South Dakota","384,793","±2,085","384,793","(X)",2012
"With health insurance coverage","South Dakota","331,105","±2,693","86.00%","±0.5",2012
"With private health insurance","South Dakota","317,523","±2,726","82.50%","±0.5",2012
"With public coverage","South Dakota","26,195","±988","6.80%","±0.2",2012
"No health insurance coverage","South Dakota","53,688","±1,770","14.00%","±0.5",2012
"Unemployed:","South Dakota","19,820","±925","19,820","(X)",2012
"With health insurance coverage","South Dakota","9,658","±702","48.70%","±2.5",2012
"With private health insurance","South Dakota","5,867","±530","29.60%","±2.3",2012
"With public coverage","South Dakota","4,317","±468","21.80%","±1.9",2012
"No health insurance coverage","South Dakota","10,162","±658","51.30%","±2.5",2012
"Not in labor force:","South Dakota","81,526","±1,782","81,526","(X)",2012
"With health insurance coverage","South Dakota","65,395","±1,627","80.20%","±0.9",2012
"With private health insurance","South Dakota","46,001","±1,257","56.40%","±1.2",2012
"With public coverage","South Dakota","25,648","±1,111","31.50%","±1.1",2012
"No health insurance coverage","South Dakota","16,131","±776","19.80%","±0.9",2012
"Civilian noninstitutionalized population","Tennessee","6,251,368","±996","6,251,368","(X)",2012
"With health insurance coverage","Tennessee","5,383,616","±10,704","86.10%","±0.2",2012
"With private health insurance","Tennessee","4,102,168","±20,584","65.60%","±0.3",2012
"With public coverage","Tennessee","2,018,136","±11,814","32.30%","±0.2",2012
"No health insurance coverage","Tennessee","867,752","±10,903","13.90%","±0.2",2012
"Civilian noninstitutionalized population under 18 years","Tennessee","1,490,684","±594","1,490,684","(X)",2012
"No health insurance coverage","Tennessee","85,523","±3,212","5.70%","±0.2",2012
"Civilian noninstitutionalized population 18 to 64 years","Tennessee","3,927,588","±1,373","3,927,588","(X)",2012
"In labor force:","Tennessee","2,946,676","±6,969","2,946,676","(X)",2012
"Employed:","Tennessee","2,663,755","±7,877","2,663,755","(X)",2012
"With health insurance coverage","Tennessee","2,223,568","±10,465","83.50%","±0.3",2012
"With private health insurance","Tennessee","2,098,499","±11,207","78.80%","±0.3",2012
"With public coverage","Tennessee","190,977","±3,683","7.20%","±0.1",2012
"No health insurance coverage","Tennessee","440,187","±6,487","16.50%","±0.3",2012
"Unemployed:","Tennessee","282,921","±3,634","282,921","(X)",2012
"With health insurance coverage","Tennessee","148,515","±2,308","52.50%","±0.7",2012
"With private health insurance","Tennessee","88,297","±2,102","31.20%","±0.7",2012
"With public coverage","Tennessee","66,865","±1,763","23.60%","±0.6",2012
"No health insurance coverage","Tennessee","134,406","±2,826","47.50%","±0.7",2012
"Not in labor force:","Tennessee","980,912","±7,043","980,912","(X)",2012
"With health insurance coverage","Tennessee","776,913","±5,727","79.20%","±0.3",2012
"With private health insurance","Tennessee","477,060","±4,754","48.60%","±0.5",2012
"With public coverage","Tennessee","377,374","±5,136","38.50%","±0.4",2012
"No health insurance coverage","Tennessee","203,999","±4,010","20.80%","±0.3",2012
"Civilian noninstitutionalized population","Texas","24,723,454","±2,184","24,723,454","(X)",2012
"With health insurance coverage","Texas","19,026,868","±37,080","77.00%","±0.2",2012
"With private health insurance","Texas","14,504,075","±49,690","58.70%","±0.2",2012
"With public coverage","Texas","6,568,811","±20,118","26.60%","±0.1",2012
"No health insurance coverage","Texas","5,696,586","±37,713","23.00%","±0.2",2012
"Civilian noninstitutionalized population under 18 years","Texas","6,838,394","±1,054","6,838,394","(X)",2012
"No health insurance coverage","Texas","999,221","±11,095","14.60%","±0.2",2012
"Civilian noninstitutionalized population 18 to 64 years","Texas","15,332,784","±2,507","15,332,784","(X)",2012
"In labor force:","Texas","11,766,033","±14,426","11,766,033","(X)",2012
"Employed:","Texas","10,876,959","±15,451","10,876,959","(X)",2012
"With health insurance coverage","Texas","7,964,798","±27,854","73.20%","±0.2",2012
"With private health insurance","Texas","7,644,081","±27,570","70.30%","±0.2",2012
"With public coverage","Texas","529,912","±6,604","4.90%","±0.1",2012
"No health insurance coverage","Texas","2,912,161","±21,617","26.80%","±0.2",2012
"Unemployed:","Texas","889,074","±7,154","889,074","(X)",2012
"With health insurance coverage","Texas","366,798","±4,485","41.30%","±0.4",2012
"With private health insurance","Texas","262,466","±3,869","29.50%","±0.4",2012
"With public coverage","Texas","120,234","±2,735","13.50%","±0.3",2012
"No health insurance coverage","Texas","522,276","±5,884","58.70%","±0.4",2012
"Not in labor force:","Texas","3,566,751","±13,999","3,566,751","(X)",2012
"With health insurance coverage","Texas","2,351,831","±11,238","65.90%","±0.3",2012
"With private health insurance","Texas","1,604,895","±10,113","45.00%","±0.3",2012
"With public coverage","Texas","930,073","±7,959","26.10%","±0.2",2012
"No health insurance coverage","Texas","1,214,920","±12,362","34.10%","±0.3",2012
"Civilian noninstitutionalized population","Utah","2,737,627","±588","2,737,627","(X)",2012
"With health insurance coverage","Utah","2,332,706","±7,337","85.20%","±0.3",2012
"With private health insurance","Utah","2,032,708","±9,015","74.30%","±0.3",2012
"With public coverage","Utah","540,010","±5,680","19.70%","±0.2",2012
"No health insurance coverage","Utah","404,921","±7,340","14.80%","±0.3",2012
"Civilian noninstitutionalized population under 18 years","Utah","864,177","±254","864,177","(X)",2012
"No health insurance coverage","Utah","94,469","±3,693","10.90%","±0.4",2012
"Civilian noninstitutionalized population 18 to 64 years","Utah","1,625,829","±776","1,625,829","(X)",2012
"In labor force:","Utah","1,287,726","±3,427","1,287,726","(X)",2012
"Employed:","Utah","1,199,971","±3,632","1,199,971","(X)",2012
"With health insurance coverage","Utah","999,511","±5,263","83.30%","±0.3",2012
"With private health insurance","Utah","968,618","±5,235","80.70%","±0.3",2012
"With public coverage","Utah","53,877","±1,842","4.50%","±0.2",2012
"No health insurance coverage","Utah","200,460","±3,505","16.70%","±0.3",2012
"Unemployed:","Utah","87,755","±2,305","87,755","(X)",2012
"With health insurance coverage","Utah","46,316","±1,561","52.80%","±1.3",2012
"With private health insurance","Utah","35,466","±1,224","40.40%","±1.1",2012
"With public coverage","Utah","12,539","±812","14.30%","±0.8",2012
"No health insurance coverage","Utah","41,439","±1,659","47.20%","±1.3",2012
"Not in labor force:","Utah","338,103","±3,329","338,103","(X)",2012
"With health insurance coverage","Utah","271,218","±3,035","80.20%","±0.5",2012
"With private health insurance","Utah","220,634","±3,000","65.30%","±0.7",2012
"With public coverage","Utah","69,636","±1,728","20.60%","±0.5",2012
"No health insurance coverage","Utah","66,885","±1,905","19.80%","±0.5",2012
"Civilian noninstitutionalized population","Vermont","619,339","±124","619,339","(X)",2012
"With health insurance coverage","Vermont","572,476","±1,714","92.40%","±0.3",2012
"With private health insurance","Vermont","430,680","±3,342","69.50%","±0.5",2012
"With public coverage","Vermont","226,688","±2,861","36.60%","±0.5",2012
"No health insurance coverage","Vermont","46,863","±1,721","7.60%","±0.3",2012
"Civilian noninstitutionalized population under 18 years","Vermont","127,986","±132","127,986","(X)",2012
"No health insurance coverage","Vermont","3,393","±416","2.70%","±0.3",2012
"Civilian noninstitutionalized population 18 to 64 years","Vermont","402,530","±278","402,530","(X)",2012
"In labor force:","Vermont","324,936","±1,391","324,936","(X)",2012
"Employed:","Vermont","303,917","±1,617","303,917","(X)",2012
"With health insurance coverage","Vermont","271,074","±2,026","89.20%","±0.4",2012
"With private health insurance","Vermont","239,418","±2,290","78.80%","±0.6",2012
"With public coverage","Vermont","40,892","±1,301","13.50%","±0.4",2012
"No health insurance coverage","Vermont","32,843","±1,353","10.80%","±0.4",2012
"Unemployed:","Vermont","21,019","±975","21,019","(X)",2012
"With health insurance coverage","Vermont","15,833","±761","75.30%","±1.7",2012
"With private health insurance","Vermont","8,297","±515","39.50%","±2.0",2012
"With public coverage","Vermont","8,431","±582","40.10%","±2.1",2012
"No health insurance coverage","Vermont","5,186","±466","24.70%","±1.7",2012
"Not in labor force:","Vermont","77,594","±1,364","77,594","(X)",2012
"With health insurance coverage","Vermont","72,352","±1,347","93.20%","±0.6",2012
"With private health insurance","Vermont","44,194","±956","57.00%","±1.1",2012
"With public coverage","Vermont","33,923","±1,224","43.70%","±1.2",2012
"No health insurance coverage","Vermont","5,242","±439","6.80%","±0.6",2012
"Civilian noninstitutionalized population","Virginia","7,788,504","±2,267","7,788,504","(X)",2012
"With health insurance coverage","Virginia","6,833,297","±12,937","87.70%","±0.2",2012
"With private health insurance","Virginia","5,883,412","±19,465","75.50%","±0.3",2012
"With public coverage","Virginia","1,833,006","±10,695","23.50%","±0.1",2012
"No health insurance coverage","Virginia","955,207","±13,138","12.30%","±0.2",2012
"Civilian noninstitutionalized population under 18 years","Virginia","1,845,142","±792","1,845,142","(X)",2012
"No health insurance coverage","Virginia","117,053","±3,812","6.30%","±0.2",2012
"Civilian noninstitutionalized population 18 to 64 years","Virginia","4,982,213","±2,762","4,982,213","(X)",2012
"In labor force:","Virginia","3,919,556","±7,178","3,919,556","(X)",2012
"Employed:","Virginia","3,654,360","±8,031","3,654,360","(X)",2012
"With health insurance coverage","Virginia","3,143,801","±12,167","86.00%","±0.2",2012
"With private health insurance","Virginia","3,070,808","±12,574","84.00%","±0.2",2012
"With public coverage","Virginia","151,485","±3,315","4.10%","±0.1",2012
"No health insurance coverage","Virginia","510,559","±8,063","14.00%","±0.2",2012
"Unemployed:","Virginia","265,196","±3,593","265,196","(X)",2012
"With health insurance coverage","Virginia","140,264","±2,722","52.90%","±0.7",2012
"With private health insurance","Virginia","107,228","±2,439","40.40%","±0.7",2012
"With public coverage","Virginia","38,572","±1,528","14.50%","±0.6",2012
"No health insurance coverage","Virginia","124,932","±2,551","47.10%","±0.7",2012
"Not in labor force:","Virginia","1,062,657","±6,909","1,062,657","(X)",2012
"With health insurance coverage","Virginia","868,522","±5,744","81.70%","±0.3",2012
"With private health insurance","Virginia","668,340","±5,664","62.90%","±0.5",2012
"With public coverage","Virginia","273,007","±3,893","25.70%","±0.3",2012
"No health insurance coverage","Virginia","194,135","±4,126","18.30%","±0.3",2012
"Civilian noninstitutionalized population","Washington","6,628,521","±1,311","6,628,521","(X)",2012
"With health insurance coverage","Washington","5,733,240","±11,321","86.50%","±0.2",2012
"With private health insurance","Washington","4,678,149","±17,325","70.60%","±0.3",2012
"With public coverage","Washington","1,842,059","±9,826","27.80%","±0.1",2012
"No health insurance coverage","Washington","895,281","±11,534","13.50%","±0.2",2012
"Civilian noninstitutionalized population under 18 years","Washington","1,574,104","±239","1,574,104","(X)",2012
"No health insurance coverage","Washington","102,094","±3,315","6.50%","±0.2",2012
"Civilian noninstitutionalized population 18 to 64 years","Washington","4,236,714","±1,446","4,236,714","(X)",2012
"In labor force:","Washington","3,290,853","±5,655","3,290,853","(X)",2012
"Employed:","Washington","3,004,326","±7,171","3,004,326","(X)",2012
"With health insurance coverage","Washington","2,539,171","±9,496","84.50%","±0.2",2012
"With private health insurance","Washington","2,440,652","±9,537","81.20%","±0.2",2012
"With public coverage","Washington","176,060","±3,021","5.90%","±0.1",2012
"No health insurance coverage","Washington","465,155","±6,831","15.50%","±0.2",2012
"Unemployed:","Washington","286,527","±3,999","286,527","(X)",2012
"With health insurance coverage","Washington","150,219","±2,848","52.40%","±0.8",2012
"With private health insurance","Washington","111,528","±2,313","38.90%","±0.7",2012
"With public coverage","Washington","45,996","±1,472","16.10%","±0.5",2012
