"Label..Grouping.","State","Estimate","Margin.of.Error","Percent","Percent.Margin.of.Error","Year"
"Workers 16 years and over","Washington","3,109,613","±7,668","3,109,613","(X)",2011
"Car, truck, or van -- drove alone","Washington","2,252,552","±8,789","72.40%","±0.2",2011
"Car, truck, or van -- carpooled","Washington","347,758","±4,697","11.20%","±0.2",2011
"Public transportation (excluding taxicab)","Washington","175,467","±3,377","5.60%","±0.1",2011
"Walked","Washington","107,725","±2,839","3.50%","±0.1",2011
"Other means","Washington","63,478","±1,899","2.00%","±0.1",2011
"Worked at home","Washington","162,633","±2,973","5.20%","±0.1",2011
"Mean travel time to work (minutes)","Washington","25.5","±0.1","(X)","(X)",2011
"Workers 16 years and over","West Virginia","744,031","±3,808","744,031","(X)",2011
"Car, truck, or van -- drove alone","West Virginia","609,103","±3,936","81.90%","±0.4",2011
"Car, truck, or van -- carpooled","West Virginia","78,093","±2,101","10.50%","±0.3",2011
"Public transportation (excluding taxicab)","West Virginia","6,351","±661","0.90%","±0.1",2011
"Walked","West Virginia","20,535","±1,137","2.80%","±0.2",2011
"Other means","West Virginia","7,991","±729","1.10%","±0.1",2011
"Worked at home","West Virginia","21,958","±1,082","3.00%","±0.1",2011
"Mean travel time to work (minutes)","West Virginia","25.5","±0.2","(X)","(X)",2011
"Workers 16 years and over","Wisconsin","2,806,770","±7,288","2,806,770","(X)",2011
"Car, truck, or van -- drove alone","Wisconsin","2,240,558","±7,341","79.80%","±0.2",2011
"Car, truck, or van -- carpooled","Wisconsin","260,218","±3,725","9.30%","±0.1",2011
"Public transportation (excluding taxicab)","Wisconsin","50,504","±1,497","1.80%","±0.1",2011
"Walked","Wisconsin","93,896","±1,899","3.30%","±0.1",2011
"Other means","Wisconsin","47,501","±1,347","1.70%","±0.1",2011
"Worked at home","Wisconsin","114,093","±1,922","4.10%","±0.1",2011
"Mean travel time to work (minutes)","Wisconsin","21.5","±0.1","(X)","(X)",2011
"Workers 16 years and over","Wyoming","283,656","±1,808","283,656","(X)",2011
"Car, truck, or van -- drove alone","Wyoming","215,879","±1,990","76.10%","±0.5",2011
"Car, truck, or van -- carpooled","Wyoming","32,496","±1,271","11.50%","±0.4",2011
"Public transportation (excluding taxicab)","Wyoming","4,269","±546","1.50%","±0.2",2011
"Walked","Wyoming","11,148","±835","3.90%","±0.3",2011
"Other means","Wyoming","6,138","±654","2.20%","±0.2",2011
"Worked at home","Wyoming","13,726","±798","4.80%","±0.3",2011
"Mean travel time to work (minutes)","Wyoming","18.6","±0.3","(X)","(X)",2011
"Workers 16 years and over","Puerto Rico","1,091,925","±5,492","1,091,925","(X)",2011
"Car, truck, or van -- drove alone","Puerto Rico","850,599","±4,934","77.90%","±0.3",2011
"Car, truck, or van -- carpooled","Puerto Rico","115,695","±2,443","10.60%","±0.2",2011
"Public transportation (excluding taxicab)","Puerto Rico","32,351","±1,310","3.00%","±0.1",2011
"Walked","Puerto Rico","41,781","±1,447","3.80%","±0.1",2011
"Other means","Puerto Rico","27,100","±1,171","2.50%","±0.1",2011
"Worked at home","Puerto Rico","24,399","±1,118","2.20%","±0.1",2011
"Mean travel time to work (minutes)","Puerto Rico","29.3","±0.2","(X)","(X)",2011
"Workers 16 years and over","Alabama","1,973,623","±6,442","1,973,623","(X)",2013
"Car, truck, or van -- drove alone","Alabama","1,676,660","±7,016","85.00%","±0.2",2013
"Car, truck, or van -- carpooled","Alabama","193,071","±3,353","9.80%","±0.2",2013
"Public transportation (excluding taxicab)","Alabama","8,935","±772","0.50%","±0.1",2013
"Walked","Alabama","23,233","±1,199","1.20%","±0.1",2013
"Other means","Alabama","19,939","±1,139","1.00%","±0.1",2013
"Worked at home","Alabama","51,785","±1,730","2.60%","±0.1",2013
"Mean travel time to work (minutes)","Alabama","24.2","±0.1","(X)","(X)",2013
"Workers 16 years and over","Alaska","348,457","±2,326","348,457","(X)",2013
"Car, truck, or van -- drove alone","Alaska","234,714","±2,277","67.40%","±0.5",2013
"Car, truck, or van -- carpooled","Alaska","45,046","±1,772","12.90%","±0.5",2013
"Public transportation (excluding taxicab)","Alaska","5,634","±554","1.60%","±0.2",2013
"Walked","Alaska","27,584","±1,213","7.90%","±0.3",2013
"Other means","Alaska","18,218","±998","5.20%","±0.3",2013
"Worked at home","Alaska","17,261","±977","5.00%","±0.3",2013
"Mean travel time to work (minutes)","Alaska","18.8","±0.2","(X)","(X)",2013
"Workers 16 years and over","Arizona","2,684,408","±8,448","2,684,408","(X)",2013
"Car, truck, or van -- drove alone","Arizona","2,045,890","±9,516","76.20%","±0.3",2013
"Car, truck, or van -- carpooled","Arizona","307,672","±5,066","11.50%","±0.2",2013
"Public transportation (excluding taxicab)","Arizona","53,840","±1,849","2.00%","±0.1",2013
"Walked","Arizona","57,430","±1,852","2.10%","±0.1",2013
"Other means","Arizona","71,123","±2,025","2.60%","±0.1",2013
"Worked at home","Arizona","148,453","±3,521","5.50%","±0.1",2013
"Mean travel time to work (minutes)","Arizona","24.6","±0.1","(X)","(X)",2013
"Workers 16 years and over","Arkansas","1,225,869","±5,146","1,225,869","(X)",2013
"Car, truck, or van -- drove alone","Arkansas","1,007,658","±5,354","82.20%","±0.3",2013
"Car, truck, or van -- carpooled","Arkansas","135,541","±2,977","11.10%","±0.2",2013
"Public transportation (excluding taxicab)","Arkansas","5,460","±428","0.40%","±0.1",2013
"Walked","Arkansas","21,537","±1,021","1.80%","±0.1",2013
"Other means","Arkansas","16,614","±933","1.40%","±0.1",2013
"Worked at home","Arkansas","39,059","±1,532","3.20%","±0.1",2013
"Mean travel time to work (minutes)","Arkansas","21.3","±0.1","(X)","(X)",2013
"Workers 16 years and over","California","16,290,887","±21,516","16,290,887","(X)",2013
"Car, truck, or van -- drove alone","California","11,918,232","±20,928","73.20%","±0.1",2013
"Car, truck, or van -- carpooled","California","1,843,160","±12,453","11.30%","±0.1",2013
"Public transportation (excluding taxicab)","California","841,628","±7,276","5.20%","±0.1",2013
"Walked","California","446,899","±4,827","2.70%","±0.1",2013
"Other means","California","388,060","±4,933","2.40%","±0.1",2013
"Worked at home","California","852,908","±7,244","5.20%","±0.1",2013
"Mean travel time to work (minutes)","California","27.2","±0.1","(X)","(X)",2013
"Workers 16 years and over","Colorado","2,494,794","±6,637","2,494,794","(X)",2013
"Car, truck, or van -- drove alone","Colorado","1,864,959","±5,634","74.80%","±0.2",2013
"Car, truck, or van -- carpooled","Colorado","247,307","±3,930","9.90%","±0.2",2013
"Public transportation (excluding taxicab)","Colorado","80,504","±2,238","3.20%","±0.1",2013
"Walked","Colorado","76,958","±1,839","3.10%","±0.1",2013
"Other means","Colorado","61,332","±1,998","2.50%","±0.1",2013
"Worked at home","Colorado","163,734","±3,005","6.60%","±0.1",2013
"Mean travel time to work (minutes)","Colorado","24.5","±0.1","(X)","(X)",2013
"Workers 16 years and over","Connecticut","1,727,286","±4,741","1,727,286","(X)",2013
"Car, truck, or van -- drove alone","Connecticut","1,359,050","±5,547","78.70%","±0.3",2013
"Car, truck, or van -- carpooled","Connecticut","144,497","±3,457","8.40%","±0.2",2013
"Public transportation (excluding taxicab)","Connecticut","80,574","±2,190","4.70%","±0.1",2013
"Walked","Connecticut","52,155","±1,728","3.00%","±0.1",2013
"Other means","Connecticut","19,955","±1,048","1.20%","±0.1",2013
"Worked at home","Connecticut","71,055","±1,726","4.10%","±0.1",2013
"Mean travel time to work (minutes)","Connecticut","24.8","±0.1","(X)","(X)",2013
"Workers 16 years and over","Delaware","416,163","±2,383","416,163","(X)",2013
"Car, truck, or van -- drove alone","Delaware","335,435","±2,507","80.60%","±0.5",2013
"Car, truck, or van -- carpooled","Delaware","37,396","±1,382","9.00%","±0.3",2013
"Public transportation (excluding taxicab)","Delaware","13,288","±934","3.20%","±0.2",2013
"Walked","Delaware","9,449","±680","2.30%","±0.2",2013
"Other means","Delaware","4,846","±482","1.20%","±0.1",2013
"Worked at home","Delaware","15,749","±853","3.80%","±0.2",2013
"Mean travel time to work (minutes)","Delaware","24.8","±0.3","(X)","(X)",2013
"Workers 16 years and over","District of Columbia","312,875","±2,371","312,875","(X)",2013
"Car, truck, or van -- drove alone","District of Columbia","106,343","±1,890","34.00%","±0.6",2013
"Car, truck, or van -- carpooled","District of Columbia","18,603","±1,052","5.90%","±0.3",2013
"Public transportation (excluding taxicab)","District of Columbia","120,076","±2,316","38.40%","±0.7",2013
"Walked","District of Columbia","38,164","±1,513","12.20%","±0.5",2013
"Other means","District of Columbia","14,728","±1,011","4.70%","±0.3",2013
"Worked at home","District of Columbia","14,961","±955","4.80%","±0.3",2013
"Mean travel time to work (minutes)","District of Columbia","29.7","±0.3","(X)","(X)",2013
"Workers 16 years and over","Florida","8,094,220","±16,051","8,094,220","(X)",2013
"Car, truck, or van -- drove alone","Florida","6,436,311","±16,616","79.50%","±0.1",2013
"Car, truck, or van -- carpooled","Florida","799,439","±9,780","9.90%","±0.1",2013
"Public transportation (excluding taxicab)","Florida","166,027","±4,085","2.10%","±0.1",2013
"Walked","Florida","126,018","±3,468","1.60%","±0.1",2013
"Other means","Florida","178,598","±4,452","2.20%","±0.1",2013
"Worked at home","Florida","387,827","±5,260","4.80%","±0.1",2013
"Mean travel time to work (minutes)","Florida","25.9","±0.1","(X)","(X)",2013
"Workers 16 years and over","Georgia","4,210,796","±11,004","4,210,796","(X)",2013
"Car, truck, or van -- drove alone","Georgia","3,342,646","±12,386","79.40%","±0.2",2013
"Car, truck, or van -- carpooled","Georgia","446,243","±6,533","10.60%","±0.2",2013
"Public transportation (excluding taxicab)","Georgia","89,098","±2,387","2.10%","±0.1",2013
"Walked","Georgia","65,338","±2,148","1.60%","±0.1",2013
"Other means","Georgia","68,541","±2,488","1.60%","±0.1",2013
"Worked at home","Georgia","198,930","±4,087","4.70%","±0.1",2013
"Mean travel time to work (minutes)","Georgia","27","±0.1","(X)","(X)",2013
"Workers 16 years and over","Hawaii","663,718","±3,608","663,718","(X)",2013
"Car, truck, or van -- drove alone","Hawaii","441,988","±3,433","66.60%","±0.4",2013
"Car, truck, or van -- carpooled","Hawaii","95,287","±2,132","14.40%","±0.3",2013
"Public transportation (excluding taxicab)","Hawaii","42,251","±1,542","6.40%","±0.2",2013
"Walked","Hawaii","31,081","±1,237","4.70%","±0.2",2013
"Other means","Hawaii","22,919","±1,277","3.50%","±0.2",2013
"Worked at home","Hawaii","30,192","±1,304","4.50%","±0.2",2013
"Mean travel time to work (minutes)","Hawaii","26","±0.2","(X)","(X)",2013
"Workers 16 years and over","Idaho","684,393","±3,330","684,393","(X)",2013
"Car, truck, or van -- drove alone","Idaho","531,414","±4,098","77.60%","±0.5",2013
"Car, truck, or van -- carpooled","Idaho","69,908","±2,267","10.20%","±0.3",2013
"Public transportation (excluding taxicab)","Idaho","5,644","±489","0.80%","±0.1",2013
"Walked","Idaho","20,686","±969","3.00%","±0.1",2013
"Other means","Idaho","17,475","±1,071","2.60%","±0.2",2013
"Worked at home","Idaho","39,266","±1,656","5.70%","±0.2",2013
"Mean travel time to work (minutes)","Idaho","20","±0.2","(X)","(X)",2013
"Workers 16 years and over","Illinois","5,893,225","±11,806","5,893,225","(X)",2013
"Car, truck, or van -- drove alone","Illinois","4,337,369","±11,335","73.60%","±0.1",2013
"Car, truck, or van -- carpooled","Illinois","517,869","±5,093","8.80%","±0.1",2013
"Public transportation (excluding taxicab)","Illinois","514,782","±4,767","8.70%","±0.1",2013
"Walked","Illinois","186,284","±3,433","3.20%","±0.1",2013
"Other means","Illinois","95,146","±2,154","1.60%","±0.1",2013
"Worked at home","Illinois","241,775","±3,856","4.10%","±0.1",2013
"Mean travel time to work (minutes)","Illinois","28","±0.1","(X)","(X)",2013
"Workers 16 years and over","Indiana","2,911,709","±7,480","2,911,709","(X)",2013
"Car, truck, or van -- drove alone","Indiana","2,420,721","±7,436","83.10%","±0.2",2013
"Car, truck, or van -- carpooled","Indiana","262,326","±3,912","9.00%","±0.1",2013
"Public transportation (excluding taxicab)","Indiana","30,833","±1,244","1.10%","±0.1",2013
"Walked","Indiana","61,534","±1,738","2.10%","±0.1",2013
"Other means","Indiana","40,883","±1,613","1.40%","±0.1",2013
"Worked at home","Indiana","95,412","±2,128","3.30%","±0.1",2013
"Mean travel time to work (minutes)","Indiana","23.2","±0.1","(X)","(X)",2013
"Workers 16 years and over","Iowa","1,526,130","±4,262","1,526,130","(X)",2013
"Car, truck, or van -- drove alone","Iowa","1,219,847","±4,602","79.90%","±0.2",2013
"Car, truck, or van -- carpooled","Iowa","140,985","±2,498","9.20%","±0.2",2013
"Public transportation (excluding taxicab)","Iowa","16,483","±882","1.10%","±0.1",2013
"Walked","Iowa","55,636","±1,590","3.60%","±0.1",2013
"Other means","Iowa","22,304","±899","1.50%","±0.1",2013
"Worked at home","Iowa","70,875","±1,687","4.60%","±0.1",2013
"Mean travel time to work (minutes)","Iowa","18.8","±0.1","(X)","(X)",2013
"Workers 16 years and over","Kansas","1,378,025","±4,540","1,378,025","(X)",2013
"Car, truck, or van -- drove alone","Kansas","1,128,881","±5,033","81.90%","±0.2",2013
"Car, truck, or van -- carpooled","Kansas","131,083","±2,920","9.50%","±0.2",2013
"Public transportation (excluding taxicab)","Kansas","6,521","±614","0.50%","±0.1",2013
"Walked","Kansas","33,476","±1,296","2.40%","±0.1",2013
"Other means","Kansas","19,007","±953","1.40%","±0.1",2013
"Worked at home","Kansas","59,057","±1,513","4.30%","±0.1",2013
"Mean travel time to work (minutes)","Kansas","19","±0.1","(X)","(X)",2013
"Workers 16 years and over","Kentucky","1,832,657","±7,120","1,832,657","(X)",2013
"Car, truck, or van -- drove alone","Kentucky","1,512,405","±7,088","82.50%","±0.2",2013
"Car, truck, or van -- carpooled","Kentucky","183,845","±3,641","10.00%","±0.2",2013
"Public transportation (excluding taxicab)","Kentucky","20,249","±1,004","1.10%","±0.1",2013
"Walked","Kentucky","39,557","±1,568","2.20%","±0.1",2013
"Other means","Kentucky","20,421","±1,087","1.10%","±0.1",2013
"Worked at home","Kentucky","56,180","±1,574","3.10%","±0.1",2013
"Mean travel time to work (minutes)","Kentucky","22.8","±0.1","(X)","(X)",2013
"Workers 16 years and over","Louisiana","1,963,928","±7,395","1,963,928","(X)",2013
"Car, truck, or van -- drove alone","Louisiana","1,612,558","±7,723","82.10%","±0.3",2013
"Car, truck, or van -- carpooled","Louisiana","201,276","±4,238","10.20%","±0.2",2013
"Public transportation (excluding taxicab)","Louisiana","25,497","±1,278","1.30%","±0.1",2013
"Walked","Louisiana","38,071","±1,615","1.90%","±0.1",2013
"Other means","Louisiana","40,864","±1,546","2.10%","±0.1",2013
"Worked at home","Louisiana","45,662","±1,711","2.30%","±0.1",2013
"Mean travel time to work (minutes)","Louisiana","24.9","±0.1","(X)","(X)",2013
"Workers 16 years and over","Maine","633,153","±3,008","633,153","(X)",2013
"Car, truck, or van -- drove alone","Maine","496,573","±3,169","78.40%","±0.3",2013
"Car, truck, or van -- carpooled","Maine","63,713","±1,862","10.10%","±0.3",2013
"Public transportation (excluding taxicab)","Maine","3,828","±456","0.60%","±0.1",2013
"Walked","Maine","25,297","±1,053","4.00%","±0.2",2013
"Other means","Maine","10,102","±790","1.60%","±0.1",2013
"Worked at home","Maine","33,640","±1,209","5.30%","±0.2",2013
"Mean travel time to work (minutes)","Maine","23.3","±0.2","(X)","(X)",2013
"Workers 16 years and over","Maryland","2,891,357","±7,397","2,891,357","(X)",2013
"Car, truck, or van -- drove alone","Maryland","2,123,823","±8,268","73.50%","±0.2",2013
"Car, truck, or van -- carpooled","Maryland","289,859","±4,188","10.00%","±0.1",2013
"Public transportation (excluding taxicab)","Maryland","256,052","±3,902","8.90%","±0.1",2013
"Walked","Maryland","68,435","±2,197","2.40%","±0.1",2013
"Other means","Maryland","32,958","±1,449","1.10%","±0.1",2013
"Worked at home","Maryland","120,230","±2,794","4.20%","±0.1",2013
"Mean travel time to work (minutes)","Maryland","32","±0.1","(X)","(X)",2013
"Workers 16 years and over","Massachusetts","3,239,623","±7,298","3,239,623","(X)",2013
"Car, truck, or van -- drove alone","Massachusetts","2,336,009","±7,492","72.10%","±0.2",2013
"Car, truck, or van -- carpooled","Massachusetts","256,291","±4,434","7.90%","±0.1",2013
"Public transportation (excluding taxicab)","Massachusetts","302,359","±3,990","9.30%","±0.1",2013
"Walked","Massachusetts","153,847","±2,994","4.70%","±0.1",2013
"Other means","Massachusetts","50,861","±1,897","1.60%","±0.1",2013
"Worked at home","Massachusetts","140,256","±2,635","4.30%","±0.1",2013
"Mean travel time to work (minutes)","Massachusetts","28","±0.1","(X)","(X)",2013
"Workers 16 years and over","Michigan","4,147,131","±9,743","4,147,131","(X)",2013
"Car, truck, or van -- drove alone","Michigan","3,429,751","±9,531","82.70%","±0.1",2013
"Car, truck, or van -- carpooled","Michigan","369,841","±4,357","8.90%","±0.1",2013
"Public transportation (excluding taxicab)","Michigan","56,340","±1,757","1.40%","±0.1",2013
"Walked","Michigan","90,643","±2,117","2.20%","±0.1",2013
"Other means","Michigan","50,028","±1,613","1.20%","±0.1",2013
"Worked at home","Michigan","150,528","±2,299","3.60%","±0.1",2013
"Mean travel time to work (minutes)","Michigan","24","±0.1","(X)","(X)",2013
"Workers 16 years and over","Minnesota","2,700,121","±5,736","2,700,121","(X)",2013
"Car, truck, or van -- drove alone","Minnesota","2,107,374","±6,441","78.00%","±0.2",2013
"Car, truck, or van -- carpooled","Minnesota","241,348","±3,394","8.90%","±0.1",2013
"Public transportation (excluding taxicab)","Minnesota","92,680","±2,035","3.40%","±0.1",2013
"Walked","Minnesota","77,032","±1,784","2.90%","±0.1",2013
"Other means","Minnesota","42,634","±1,312","1.60%","±0.1",2013
"Worked at home","Minnesota","139,053","±2,436","5.10%","±0.1",2013
"Mean travel time to work (minutes)","Minnesota","22.9","±0.1","(X)","(X)",2013
"Workers 16 years and over","Mississippi","1,179,917","±5,224","1,179,917","(X)",2013
"Car, truck, or van -- drove alone","Mississippi","986,618","±5,094","83.60%","±0.3",2013
"Car, truck, or van -- carpooled","Mississippi","126,402","±2,816","10.70%","±0.2",2013
"Public transportation (excluding taxicab)","Mississippi","5,323","±569","0.50%","±0.1",2013
"Walked","Mississippi","19,258","±1,030","1.60%","±0.1",2013
"Other means","Mississippi","14,956","±1,148","1.30%","±0.1",2013
"Worked at home","Mississippi","27,360","±1,360","2.30%","±0.1",2013
"Mean travel time to work (minutes)","Mississippi","23.9","±0.2","(X)","(X)",2013
"Workers 16 years and over","Missouri","2,738,553","±6,728","2,738,553","(X)",2013
"Car, truck, or van -- drove alone","Missouri","2,231,164","±7,454","81.50%","±0.2",2013
"Car, truck, or van -- carpooled","Missouri","262,599","±4,105","9.60%","±0.1",2013
"Public transportation (excluding taxicab)","Missouri","40,285","±1,520","1.50%","±0.1",2013
"Walked","Missouri","53,663","±1,422","2.00%","±0.1",2013
"Other means","Missouri","34,373","±1,351","1.30%","±0.1",2013
"Worked at home","Missouri","116,469","±2,152","4.30%","±0.1",2013
"Mean travel time to work (minutes)","Missouri","23.1","±0.1","(X)","(X)",2013
"Workers 16 years and over","Montana","469,319","±2,778","469,319","(X)",2013
"Car, truck, or van -- drove alone","Montana","353,943","±2,908","75.40%","±0.4",2013
"Car, truck, or van -- carpooled","Montana","47,270","±1,555","10.10%","±0.3",2013
"Public transportation (excluding taxicab)","Montana","3,840","±378","0.80%","±0.1",2013
"Walked","Montana","23,061","±995","4.90%","±0.2",2013
"Other means","Montana","11,733","±758","2.50%","±0.2",2013
"Worked at home","Montana","29,472","±971","6.30%","±0.2",2013
"Mean travel time to work (minutes)","Montana","18","±0.2","(X)","(X)",2013
"Workers 16 years and over","Nebraska","937,094","±3,081","937,094","(X)",2013
"Car, truck, or van -- drove alone","Nebraska","757,567","±3,674","80.80%","±0.3",2013
"Car, truck, or van -- carpooled","Nebraska","91,936","±1,943","9.80%","±0.2",2013
"Public transportation (excluding taxicab)","Nebraska","6,622","±625","0.70%","±0.1",2013
"Walked","Nebraska","26,866","±1,027","2.90%","±0.1",2013
"Other means","Nebraska","11,749","±647","1.30%","±0.1",2013
"Worked at home","Nebraska","42,354","±1,077","4.50%","±0.1",2013
"Mean travel time to work (minutes)","Nebraska","18.1","±0.1","(X)","(X)",2013
"Workers 16 years and over","Nevada","1,215,590","±4,448","1,215,590","(X)",2013
"Car, truck, or van -- drove alone","Nevada","952,993","±5,112","78.40%","±0.3",2013
"Car, truck, or van -- carpooled","Nevada","132,029","±3,302","10.90%","±0.3",2013
"Public transportation (excluding taxicab)","Nevada","41,070","±1,432","3.40%","±0.1",2013
"Walked","Nevada","25,160","±1,077","2.10%","±0.1",2013
"Other means","Nevada","24,412","±1,372","2.00%","±0.1",2013
"Worked at home","Nevada","39,926","±1,661","3.30%","±0.1",2013
"Mean travel time to work (minutes)","Nevada","23.8","±0.1","(X)","(X)",2013
"Workers 16 years and over","New Hampshire","674,692","±3,320","674,692","(X)",2013
"Car, truck, or van -- drove alone","New Hampshire","549,272","±3,310","81.40%","±0.3",2013
"Car, truck, or van -- carpooled","New Hampshire","53,888","±1,653","8.00%","±0.2",2013
"Public transportation (excluding taxicab)","New Hampshire","5,594","±511","0.80%","±0.1",2013
"Walked","New Hampshire","19,973","±1,053","3.00%","±0.2",2013
"Other means","New Hampshire","7,999","±725","1.20%","±0.1",2013
"Worked at home","New Hampshire","37,966","±1,345","5.60%","±0.2",2013
"Mean travel time to work (minutes)","New Hampshire","26.3","±0.2","(X)","(X)",2013
"Workers 16 years and over","New Jersey","4,107,798","±8,798","4,107,798","(X)",2013
"Car, truck, or van -- drove alone","New Jersey","2,952,475","±8,225","71.90%","±0.2",2013
"Car, truck, or van -- carpooled","New Jersey","346,706","±5,357","8.40%","±0.1",2013
"Public transportation (excluding taxicab)","New Jersey","445,282","±4,455","10.80%","±0.1",2013
"Walked","New Jersey","126,439","±3,432","3.10%","±0.1",2013
"Other means","New Jersey","78,241","±2,581","1.90%","±0.1",2013
"Worked at home","New Jersey","158,655","±2,629","3.90%","±0.1",2013
"Mean travel time to work (minutes)","New Jersey","30.4","±0.1","(X)","(X)",2013
"Workers 16 years and over","New Mexico","868,937","±4,058","868,937","(X)",2013
"Car, truck, or van -- drove alone","New Mexico","685,432","±3,659","78.90%","±0.3",2013
"Car, truck, or van -- carpooled","New Mexico","94,410","±2,461","10.90%","±0.3",2013
"Public transportation (excluding taxicab)","New Mexico","9,579","±728","1.10%","±0.1",2013
"Walked","New Mexico","19,923","±1,167","2.30%","±0.1",2013
"Other means","New Mexico","17,180","±1,174","2.00%","±0.1",2013
"Worked at home","New Mexico","42,413","±1,437","4.90%","±0.2",2013
"Mean travel time to work (minutes)","New Mexico","21.6","±0.2","(X)","(X)",2013
"Workers 16 years and over","New York","8,870,713","±13,446","8,870,713","(X)",2013
"Car, truck, or van -- drove alone","New York","4,773,429","±13,182","53.80%","±0.1",2013
"Car, truck, or van -- carpooled","New York","619,527","±7,423","7.00%","±0.1",2013
"Public transportation (excluding taxicab)","New York","2,398,671","±11,656","27.00%","±0.1",2013
"Walked","New York","567,408","±5,637","6.40%","±0.1",2013
"Other means","New York","165,207","±3,298","1.90%","±0.1",2013
"Worked at home","New York","346,471","±4,706","3.90%","±0.1",2013
"Mean travel time to work (minutes)","New York","31.6","±0.1","(X)","(X)",2013
"Workers 16 years and over","North Carolina","4,227,986","±12,155","4,227,986","(X)",2013
"Car, truck, or van -- drove alone","North Carolina","3,428,471","±12,059","81.10%","±0.2",2013
"Car, truck, or van -- carpooled","North Carolina","439,219","±6,746","10.40%","±0.2",2013
"Public transportation (excluding taxicab)","North Carolina","45,765","±1,753","1.10%","±0.1",2013
"Walked","North Carolina","76,768","±2,211","1.80%","±0.1",2013
"Other means","North Carolina","53,414","±1,828","1.30%","±0.1",2013
"Worked at home","North Carolina","184,349","±2,996","4.40%","±0.1",2013
"Mean travel time to work (minutes)","North Carolina","23.6","±0.1","(X)","(X)",2013
"Workers 16 years and over","North Dakota","369,676","±1,900","369,676","(X)",2013
"Car, truck, or van -- drove alone","North Dakota","292,793","±2,023","79.20%","±0.4",2013
"Car, truck, or van -- carpooled","North Dakota","35,914","±1,320","9.70%","±0.3",2013
"Public transportation (excluding taxicab)","North Dakota","1,735","±272","0.50%","±0.1",2013
"Walked","North Dakota","14,640","±731","4.00%","±0.2",2013
"Other means","North Dakota","5,246","±479","1.40%","±0.1",2013
"Worked at home","North Dakota","19,348","±685","5.20%","±0.2",2013
"Mean travel time to work (minutes)","North Dakota","16.9","±0.2","(X)","(X)",2013
"Workers 16 years and over","Ohio","5,164,077","±10,458","5,164,077","(X)",2013
"Car, truck, or van -- drove alone","Ohio","4,306,686","±11,013","83.40%","±0.1",2013
"Car, truck, or van -- carpooled","Ohio","418,068","±4,967","8.10%","±0.1",2013
"Public transportation (excluding taxicab)","Ohio","85,286","±2,304","1.70%","±0.1",2013
"Walked","Ohio","118,241","±2,100","2.30%","±0.1",2013
"Other means","Ohio","55,458","±1,799","1.10%","±0.1",2013
"Worked at home","Ohio","180,338","±3,093","3.50%","±0.1",2013
"Mean travel time to work (minutes)","Ohio","23","±0.1","(X)","(X)",2013
"Workers 16 years and over","Oklahoma","1,673,026","±5,384","1,673,026","(X)",2013
"Car, truck, or van -- drove alone","Oklahoma","1,373,407","±5,756","82.10%","±0.2",2013
"Car, truck, or van -- carpooled","Oklahoma","178,054","±3,601","10.60%","±0.2",2013
"Public transportation (excluding taxicab)","Oklahoma","8,092","±591","0.50%","±0.1",2013
"Walked","Oklahoma","30,401","±1,077","1.80%","±0.1",2013
"Other means","Oklahoma","23,410","±992","1.40%","±0.1",2013
"Worked at home","Oklahoma","59,662","±1,506","3.60%","±0.1",2013
"Mean travel time to work (minutes)","Oklahoma","21","±0.1","(X)","(X)",2013
"Workers 16 years and over","Oregon","1,700,451","±5,925","1,700,451","(X)",2013
"Car, truck, or van -- drove alone","Oregon","1,219,844","±6,169","71.70%","±0.3",2013
"Car, truck, or van -- carpooled","Oregon","174,631","±3,509","10.30%","±0.2",2013
"Public transportation (excluding taxicab)","Oregon","70,714","±1,828","4.20%","±0.1",2013
"Walked","Oregon","69,285","±2,231","4.10%","±0.1",2013
"Other means","Oregon","56,874","±1,978","3.30%","±0.1",2013
"Worked at home","Oregon","109,103","±2,429","6.40%","±0.1",2013
"Mean travel time to work (minutes)","Oregon","22.5","±0.1","(X)","(X)",2013
"Workers 16 years and over","Pennsylvania","5,794,492","±11,251","5,794,492","(X)",2013
"Car, truck, or van -- drove alone","Pennsylvania","4,446,086","±12,391","76.70%","±0.2",2013
"Car, truck, or van -- carpooled","Pennsylvania","513,714","±6,786","8.90%","±0.1",2013
"Public transportation (excluding taxicab)","Pennsylvania","313,722","±4,758","5.40%","±0.1",2013
"Walked","Pennsylvania","224,425","±3,111","3.90%","±0.1",2013
"Other means","Pennsylvania","76,501","±2,280","1.30%","±0.1",2013
"Worked at home","Pennsylvania","220,044","±3,330","3.80%","±0.1",2013
"Mean travel time to work (minutes)","Pennsylvania","25.9","±0.1","(X)","(X)",2013
"Workers 16 years and over","Rhode Island","499,689","±2,889","499,689","(X)",2013
"Car, truck, or van -- drove alone","Rhode Island","399,364","±3,184","79.90%","±0.5",2013
"Car, truck, or van -- carpooled","Rhode Island","42,258","±1,971","8.50%","±0.4",2013
"Public transportation (excluding taxicab)","Rhode Island","14,388","±882","2.90%","±0.2",2013
"Walked","Rhode Island","18,560","±844","3.70%","±0.2",2013
"Other means","Rhode Island","7,561","±713","1.50%","±0.1",2013
"Worked at home","Rhode Island","17,558","±1,024","3.50%","±0.2",2013
"Mean travel time to work (minutes)","Rhode Island","23.6","±0.2","(X)","(X)",2013
"Workers 16 years and over","South Carolina","1,994,198","±7,309","1,994,198","(X)",2013
