Date,Year,Month,Unit,Animal,Weight,Commercial_Or_Federally_Inspected,Live_Or_Dressed,Type_Of_Meat
Jul-1997,1997,7,Average Weight in Pounds,Cattle,1181.0,Federally Inspected,Live,Red Meat
Jun-1997,1997,6,Average Weight in Pounds,Cattle,1163.0,Federally Inspected,Live,Red Meat
May-1997,1997,5,Average Weight in Pounds,Cattle,1152.0,Federally Inspected,Live,Red Meat
Apr-1997,1997,4,Average Weight in Pounds,Cattle,1155.0,Federally Inspected,Live,Red Meat
Mar-1997,1997,3,Average Weight in Pounds,Cattle,1164.0,Federally Inspected,Live,Red Meat
Feb-1997,1997,2,Average Weight in Pounds,Cattle,1166.0,Federally Inspected,Live,Red Meat
Jan-1997,1997,1,Average Weight in Pounds,Cattle,1164.0,Federally Inspected,Live,Red Meat
Dec-1996,1996,12,Average Weight in Pounds,Cattle,1163.0,Federally Inspected,Live,Red Meat
Nov-1996,1996,11,Average Weight in Pounds,Cattle,1167.0,Federally Inspected,Live,Red Meat
Oct-1996,1996,10,Average Weight in Pounds,Cattle,1178.0,Federally Inspected,Live,Red Meat
Sep-1996,1996,9,Average Weight in Pounds,Cattle,1184.0,Federally Inspected,Live,Red Meat
Aug-1996,1996,8,Average Weight in Pounds,Cattle,1179.0,Federally Inspected,Live,Red Meat
Jul-1996,1996,7,Average Weight in Pounds,Cattle,1167.0,Federally Inspected,Live,Red Meat
Jun-1996,1996,6,Average Weight in Pounds,Cattle,1164.0,Federally Inspected,Live,Red Meat
May-1996,1996,5,Average Weight in Pounds,Cattle,1160.0,Federally Inspected,Live,Red Meat
Apr-1996,1996,4,Average Weight in Pounds,Cattle,1163.0,Federally Inspected,Live,Red Meat
Mar-1996,1996,3,Average Weight in Pounds,Cattle,1179.0,Federally Inspected,Live,Red Meat
Feb-1996,1996,2,Average Weight in Pounds,Cattle,1180.0,Federally Inspected,Live,Red Meat
Jan-1996,1996,1,Average Weight in Pounds,Cattle,1195.0,Federally Inspected,Live,Red Meat
Dec-1995,1995,12,Average Weight in Pounds,Cattle,1197.0,Federally Inspected,Live,Red Meat
Nov-1995,1995,11,Average Weight in Pounds,Cattle,1192.0,Federally Inspected,Live,Red Meat
Oct-1995,1995,10,Average Weight in Pounds,Cattle,1194.0,Federally Inspected,Live,Red Meat
Sep-1995,1995,9,Average Weight in Pounds,Cattle,1196.0,Federally Inspected,Live,Red Meat
Aug-1995,1995,8,Average Weight in Pounds,Cattle,1191.0,Federally Inspected,Live,Red Meat
Jul-1995,1995,7,Average Weight in Pounds,Cattle,1187.0,Federally Inspected,Live,Red Meat
Jun-1995,1995,6,Average Weight in Pounds,Cattle,1179.0,Federally Inspected,Live,Red Meat
May-1995,1995,5,Average Weight in Pounds,Cattle,1173.0,Federally Inspected,Live,Red Meat
Apr-1995,1995,4,Average Weight in Pounds,Cattle,1175.0,Federally Inspected,Live,Red Meat
Mar-1995,1995,3,Average Weight in Pounds,Cattle,1180.0,Federally Inspected,Live,Red Meat
Feb-1995,1995,2,Average Weight in Pounds,Cattle,1187.0,Federally Inspected,Live,Red Meat
Jan-1995,1995,1,Average Weight in Pounds,Cattle,1192.0,Federally Inspected,Live,Red Meat
Dec-1994,1994,12,Average Weight in Pounds,Cattle,1193.0,Federally Inspected,Live,Red Meat
Nov-1994,1994,11,Average Weight in Pounds,Cattle,1195.0,Federally Inspected,Live,Red Meat
Oct-1994,1994,10,Average Weight in Pounds,Cattle,1205.0,Federally Inspected,Live,Red Meat
Sep-1994,1994,9,Average Weight in Pounds,Cattle,1208.0,Federally Inspected,Live,Red Meat
Aug-1994,1994,8,Average Weight in Pounds,Cattle,1208.0,Federally Inspected,Live,Red Meat
Jul-1994,1994,7,Average Weight in Pounds,Cattle,1195.0,Federally Inspected,Live,Red Meat
Jun-1994,1994,6,Average Weight in Pounds,Cattle,1181.0,Federally Inspected,Live,Red Meat
May-1994,1994,5,Average Weight in Pounds,Cattle,1175.0,Federally Inspected,Live,Red Meat
Apr-1994,1994,4,Average Weight in Pounds,Cattle,1178.0,Federally Inspected,Live,Red Meat
Mar-1994,1994,3,Average Weight in Pounds,Cattle,1185.0,Federally Inspected,Live,Red Meat
Feb-1994,1994,2,Average Weight in Pounds,Cattle,1190.0,Federally Inspected,Live,Red Meat
Jan-1994,1994,1,Average Weight in Pounds,Cattle,1196.0,Federally Inspected,Live,Red Meat
Dec-1993,1993,12,Average Weight in Pounds,Cattle,1192.0,Federally Inspected,Live,Red Meat
Nov-1993,1993,11,Average Weight in Pounds,Cattle,1189.0,Federally Inspected,Live,Red Meat
Oct-1993,1993,10,Average Weight in Pounds,Cattle,1192.0,Federally Inspected,Live,Red Meat
Sep-1993,1993,9,Average Weight in Pounds,Cattle,1188.0,Federally Inspected,Live,Red Meat
Aug-1993,1993,8,Average Weight in Pounds,Cattle,1176.0,Federally Inspected,Live,Red Meat
Jul-1993,1993,7,Average Weight in Pounds,Cattle,1162.0,Federally Inspected,Live,Red Meat
Jun-1993,1993,6,Average Weight in Pounds,Cattle,1146.0,Federally Inspected,Live,Red Meat
May-1993,1993,5,Average Weight in Pounds,Cattle,1126.0,Federally Inspected,Live,Red Meat
Apr-1993,1993,4,Average Weight in Pounds,Cattle,1127.0,Federally Inspected,Live,Red Meat
Mar-1993,1993,3,Average Weight in Pounds,Cattle,1143.0,Federally Inspected,Live,Red Meat
Feb-1993,1993,2,Average Weight in Pounds,Cattle,1159.0,Federally Inspected,Live,Red Meat
Jan-1993,1993,1,Average Weight in Pounds,Cattle,1167.0,Federally Inspected,Live,Red Meat
Dec-1992,1992,12,Average Weight in Pounds,Cattle,1176.0,Federally Inspected,Live,Red Meat
Nov-1992,1992,11,Average Weight in Pounds,Cattle,1182.0,Federally Inspected,Live,Red Meat
Oct-1992,1992,10,Average Weight in Pounds,Cattle,1185.0,Federally Inspected,Live,Red Meat
Sep-1992,1992,9,Average Weight in Pounds,Cattle,1187.0,Federally Inspected,Live,Red Meat
Aug-1992,1992,8,Average Weight in Pounds,Cattle,1182.0,Federally Inspected,Live,Red Meat
Jul-1992,1992,7,Average Weight in Pounds,Cattle,1168.0,Federally Inspected,Live,Red Meat
Jun-1992,1992,6,Average Weight in Pounds,Cattle,1162.0,Federally Inspected,Live,Red Meat
May-1992,1992,5,Average Weight in Pounds,Cattle,1153.0,Federally Inspected,Live,Red Meat
Apr-1992,1992,4,Average Weight in Pounds,Cattle,1157.0,Federally Inspected,Live,Red Meat
Mar-1992,1992,3,Average Weight in Pounds,Cattle,1164.0,Federally Inspected,Live,Red Meat
Feb-1992,1992,2,Average Weight in Pounds,Cattle,1178.0,Federally Inspected,Live,Red Meat
Jan-1992,1992,1,Average Weight in Pounds,Cattle,1177.0,Federally Inspected,Live,Red Meat
Dec-1991,1991,12,Average Weight in Pounds,Cattle,1177.0,Federally Inspected,Live,Red Meat
Nov-1991,1991,11,Average Weight in Pounds,Cattle,1184.0,Federally Inspected,Live,Red Meat
Oct-1991,1991,10,Average Weight in Pounds,Cattle,1199.0,Federally Inspected,Live,Red Meat
Sep-1991,1991,9,Average Weight in Pounds,Cattle,1187.0,Federally Inspected,Live,Red Meat
Aug-1991,1991,8,Average Weight in Pounds,Cattle,1179.0,Federally Inspected,Live,Red Meat
Jul-1991,1991,7,Average Weight in Pounds,Cattle,1163.0,Federally Inspected,Live,Red Meat
Jun-1991,1991,6,Average Weight in Pounds,Cattle,1153.0,Federally Inspected,Live,Red Meat
May-1991,1991,5,Average Weight in Pounds,Cattle,1143.0,Federally Inspected,Live,Red Meat
Apr-1991,1991,4,Average Weight in Pounds,Cattle,1148.0,Federally Inspected,Live,Red Meat
Mar-1991,1991,3,Average Weight in Pounds,Cattle,1160.0,Federally Inspected,Live,Red Meat
Feb-1991,1991,2,Average Weight in Pounds,Cattle,1166.0,Federally Inspected,Live,Red Meat
Jan-1991,1991,1,Average Weight in Pounds,Cattle,1147.0,Federally Inspected,Live,Red Meat
Dec-1990,1990,12,Average Weight in Pounds,Cattle,1150.0,Federally Inspected,Live,Red Meat
Nov-1990,1990,11,Average Weight in Pounds,Cattle,1148.0,Federally Inspected,Live,Red Meat
Oct-1990,1990,10,Average Weight in Pounds,Cattle,1154.0,Federally Inspected,Live,Red Meat
Sep-1990,1990,9,Average Weight in Pounds,Cattle,1151.0,Federally Inspected,Live,Red Meat
Aug-1990,1990,8,Average Weight in Pounds,Cattle,1146.0,Federally Inspected,Live,Red Meat
Jul-1990,1990,7,Average Weight in Pounds,Cattle,1128.0,Federally Inspected,Live,Red Meat
Jun-1990,1990,6,Average Weight in Pounds,Cattle,1119.0,Federally Inspected,Live,Red Meat
May-1990,1990,5,Average Weight in Pounds,Cattle,1112.0,Federally Inspected,Live,Red Meat
Apr-1990,1990,4,Average Weight in Pounds,Cattle,1141.0,Federally Inspected,Live,Red Meat
Mar-1990,1990,3,Average Weight in Pounds,Cattle,1137.0,Federally Inspected,Live,Red Meat
Feb-1990,1990,2,Average Weight in Pounds,Cattle,1145.0,Federally Inspected,Live,Red Meat
Jan-1990,1990,1,Average Weight in Pounds,Cattle,1149.0,Federally Inspected,Live,Red Meat
Dec-1989,1989,12,Average Weight in Pounds,Cattle,1156.0,Federally Inspected,Live,Red Meat
Nov-1989,1989,11,Average Weight in Pounds,Cattle,1159.0,Federally Inspected,Live,Red Meat
Oct-1989,1989,10,Average Weight in Pounds,Cattle,1156.0,Federally Inspected,Live,Red Meat
Sep-1989,1989,9,Average Weight in Pounds,Cattle,1154.0,Federally Inspected,Live,Red Meat
Aug-1989,1989,8,Average Weight in Pounds,Cattle,1144.0,Federally Inspected,Live,Red Meat
Jul-1989,1989,7,Average Weight in Pounds,Cattle,1126.0,Federally Inspected,Live,Red Meat
Jun-1989,1989,6,Average Weight in Pounds,Cattle,1118.0,Federally Inspected,Live,Red Meat
May-1989,1989,5,Average Weight in Pounds,Cattle,1107.0,Federally Inspected,Live,Red Meat
Apr-1989,1989,4,Average Weight in Pounds,Cattle,1117.0,Federally Inspected,Live,Red Meat
Mar-1989,1989,3,Average Weight in Pounds,Cattle,1128.0,Federally Inspected,Live,Red Meat
Feb-1989,1989,2,Average Weight in Pounds,Cattle,1136.0,Federally Inspected,Live,Red Meat
Jan-1989,1989,1,Average Weight in Pounds,Cattle,1152.0,Federally Inspected,Live,Red Meat
Dec-1988,1988,12,Average Weight in Pounds,Cattle,1146.0,Federally Inspected,Live,Red Meat
Nov-1988,1988,11,Average Weight in Pounds,Cattle,1139.0,Federally Inspected,Live,Red Meat
Oct-1988,1988,10,Average Weight in Pounds,Cattle,1140.0,Federally Inspected,Live,Red Meat
Sep-1988,1988,9,Average Weight in Pounds,Cattle,1134.0,Federally Inspected,Live,Red Meat
Aug-1988,1988,8,Average Weight in Pounds,Cattle,1126.0,Federally Inspected,Live,Red Meat
Jul-1988,1988,7,Average Weight in Pounds,Cattle,1116.0,Federally Inspected,Live,Red Meat
Jun-1988,1988,6,Average Weight in Pounds,Cattle,1108.0,Federally Inspected,Live,Red Meat
May-1988,1988,5,Average Weight in Pounds,Cattle,1105.0,Federally Inspected,Live,Red Meat
Apr-1988,1988,4,Average Weight in Pounds,Cattle,1109.0,Federally Inspected,Live,Red Meat
Mar-1988,1988,3,Average Weight in Pounds,Cattle,1120.0,Federally Inspected,Live,Red Meat
Feb-1988,1988,2,Average Weight in Pounds,Cattle,1122.0,Federally Inspected,Live,Red Meat
Jan-1988,1988,1,Average Weight in Pounds,Cattle,1123.0,Federally Inspected,Live,Red Meat
Dec-1987,1987,12,Average Weight in Pounds,Cattle,1128.0,Federally Inspected,Live,Red Meat
Nov-1987,1987,11,Average Weight in Pounds,Cattle,1126.0,Federally Inspected,Live,Red Meat
Oct-1987,1987,10,Average Weight in Pounds,Cattle,1123.0,Federally Inspected,Live,Red Meat
Sep-1987,1987,9,Average Weight in Pounds,Cattle,1118.0,Federally Inspected,Live,Red Meat
Aug-1987,1987,8,Average Weight in Pounds,Cattle,1103.0,Federally Inspected,Live,Red Meat
Jul-1987,1987,7,Average Weight in Pounds,Cattle,1096.0,Federally Inspected,Live,Red Meat
Jun-1987,1987,6,Average Weight in Pounds,Cattle,1089.0,Federally Inspected,Live,Red Meat
May-1987,1987,5,Average Weight in Pounds,Cattle,1091.0,Federally Inspected,Live,Red Meat
Apr-1987,1987,4,Average Weight in Pounds,Cattle,1097.0,Federally Inspected,Live,Red Meat
Mar-1987,1987,3,Average Weight in Pounds,Cattle,1111.0,Federally Inspected,Live,Red Meat
Feb-1987,1987,2,Average Weight in Pounds,Cattle,1113.0,Federally Inspected,Live,Red Meat
Jan-1987,1987,1,Average Weight in Pounds,Cattle,1114.0,Federally Inspected,Live,Red Meat
Dec-1986,1986,12,Average Weight in Pounds,Cattle,1105.0,Federally Inspected,Live,Red Meat
Nov-1986,1986,11,Average Weight in Pounds,Cattle,1104.0,Federally Inspected,Live,Red Meat
Oct-1986,1986,10,Average Weight in Pounds,Cattle,1108.0,Federally Inspected,Live,Red Meat
Sep-1986,1986,9,Average Weight in Pounds,Cattle,1107.0,Federally Inspected,Live,Red Meat
Aug-1986,1986,8,Average Weight in Pounds,Cattle,1095.0,Federally Inspected,Live,Red Meat
Jul-1986,1986,7,Average Weight in Pounds,Cattle,1095.0,Federally Inspected,Live,Red Meat
Jun-1986,1986,6,Average Weight in Pounds,Cattle,1098.0,Federally Inspected,Live,Red Meat
May-1986,1986,5,Average Weight in Pounds,Cattle,1107.0,Federally Inspected,Live,Red Meat
Apr-1986,1986,4,Average Weight in Pounds,Cattle,1115.0,Federally Inspected,Live,Red Meat
Mar-1986,1986,3,Average Weight in Pounds,Cattle,1116.0,Federally Inspected,Live,Red Meat
Feb-1986,1986,2,Average Weight in Pounds,Cattle,1113.0,Federally Inspected,Live,Red Meat
Jan-1986,1986,1,Average Weight in Pounds,Cattle,1105.0,Federally Inspected,Live,Red Meat
Dec-1985,1985,12,Average Weight in Pounds,Cattle,1099.0,Federally Inspected,Live,Red Meat
Nov-1985,1985,11,Average Weight in Pounds,Cattle,1110.0,Federally Inspected,Live,Red Meat
Oct-1985,1985,10,Average Weight in Pounds,Cattle,1110.0,Federally Inspected,Live,Red Meat
Sep-1985,1985,9,Average Weight in Pounds,Cattle,1114.0,Federally Inspected,Live,Red Meat
Aug-1985,1985,8,Average Weight in Pounds,Cattle,1107.0,Federally Inspected,Live,Red Meat
Jul-1985,1985,7,Average Weight in Pounds,Cattle,1104.0,Federally Inspected,Live,Red Meat
Jun-1985,1985,6,Average Weight in Pounds,Cattle,1108.0,Federally Inspected,Live,Red Meat
May-1985,1985,5,Average Weight in Pounds,Cattle,1109.0,Federally Inspected,Live,Red Meat
Apr-1985,1985,4,Average Weight in Pounds,Cattle,1103.0,Federally Inspected,Live,Red Meat
Mar-1985,1985,3,Average Weight in Pounds,Cattle,1097.0,Federally Inspected,Live,Red Meat
Feb-1985,1985,2,Average Weight in Pounds,Cattle,1092.0,Federally Inspected,Live,Red Meat
Jan-1985,1985,1,Average Weight in Pounds,Cattle,1086.0,Federally Inspected,Live,Red Meat
Dec-1984,1984,12,Average Weight in Pounds,Cattle,1080.0,Federally Inspected,Live,Red Meat
Nov-1984,1984,11,Average Weight in Pounds,Cattle,1080.0,Federally Inspected,Live,Red Meat
Oct-1984,1984,10,Average Weight in Pounds,Cattle,1079.0,Federally Inspected,Live,Red Meat
Sep-1984,1984,9,Average Weight in Pounds,Cattle,1072.0,Federally Inspected,Live,Red Meat
Aug-1984,1984,8,Average Weight in Pounds,Cattle,1065.0,Federally Inspected,Live,Red Meat
Jul-1984,1984,7,Average Weight in Pounds,Cattle,1059.0,Federally Inspected,Live,Red Meat
Jun-1984,1984,6,Average Weight in Pounds,Cattle,1064.0,Federally Inspected,Live,Red Meat
May-1984,1984,5,Average Weight in Pounds,Cattle,1068.0,Federally Inspected,Live,Red Meat
Apr-1984,1984,4,Average Weight in Pounds,Cattle,1073.0,Federally Inspected,Live,Red Meat
Mar-1984,1984,3,Average Weight in Pounds,Cattle,1078.0,Federally Inspected,Live,Red Meat
Feb-1984,1984,2,Average Weight in Pounds,Cattle,1080.0,Federally Inspected,Live,Red Meat
Jan-1984,1984,1,Average Weight in Pounds,Cattle,1073.0,Federally Inspected,Live,Red Meat
Dec-1983,1983,12,Average Weight in Pounds,Cattle,1077.0,Federally Inspected,Live,Red Meat
Nov-1983,1983,11,Average Weight in Pounds,Cattle,1086.0,Federally Inspected,Live,Red Meat
Oct-1983,1983,10,Average Weight in Pounds,Cattle,1077.0,Federally Inspected,Live,Red Meat
Sep-1983,1983,9,Average Weight in Pounds,Cattle,1073.0,Federally Inspected,Live,Red Meat
Aug-1983,1983,8,Average Weight in Pounds,Cattle,1069.0,Federally Inspected,Live,Red Meat
Jul-1983,1983,7,Average Weight in Pounds,Cattle,1072.0,Federally Inspected,Live,Red Meat
Jun-1983,1983,6,Average Weight in Pounds,Cattle,1066.0,Federally Inspected,Live,Red Meat
May-1983,1983,5,Average Weight in Pounds,Cattle,1071.0,Federally Inspected,Live,Red Meat
Apr-1983,1983,4,Average Weight in Pounds,Cattle,1075.0,Federally Inspected,Live,Red Meat
Mar-1983,1983,3,Average Weight in Pounds,Cattle,1086.0,Federally Inspected,Live,Red Meat
Feb-1983,1983,2,Average Weight in Pounds,Cattle,1091.0,Federally Inspected,Live,Red Meat
Jan-1983,1983,1,Average Weight in Pounds,Cattle,1085.0,Federally Inspected,Live,Red Meat
Dec-2023,2023,12,Average Weight in Pounds,Calves,292.0,Federally Inspected,Live,Red Meat
Nov-2023,2023,11,Average Weight in Pounds,Calves,300.0,Federally Inspected,Live,Red Meat
Oct-2023,2023,10,Average Weight in Pounds,Calves,307.0,Federally Inspected,Live,Red Meat
Sep-2023,2023,9,Average Weight in Pounds,Calves,285.0,Federally Inspected,Live,Red Meat
Aug-2023,2023,8,Average Weight in Pounds,Calves,270.0,Federally Inspected,Live,Red Meat
Jul-2023,2023,7,Average Weight in Pounds,Calves,276.0,Federally Inspected,Live,Red Meat
Jun-2023,2023,6,Average Weight in Pounds,Calves,281.0,Federally Inspected,Live,Red Meat
May-2023,2023,5,Average Weight in Pounds,Calves,291.0,Federally Inspected,Live,Red Meat
Apr-2023,2023,4,Average Weight in Pounds,Calves,277.0,Federally Inspected,Live,Red Meat
Mar-2023,2023,3,Average Weight in Pounds,Calves,274.0,Federally Inspected,Live,Red Meat
Feb-2023,2023,2,Average Weight in Pounds,Calves,253.0,Federally Inspected,Live,Red Meat
Jan-2023,2023,1,Average Weight in Pounds,Calves,246.0,Federally Inspected,Live,Red Meat
Dec-2022,2022,12,Average Weight in Pounds,Calves,236.0,Federally Inspected,Live,Red Meat
Nov-2022,2022,11,Average Weight in Pounds,Calves,250.0,Federally Inspected,Live,Red Meat
Oct-2022,2022,10,Average Weight in Pounds,Calves,256.0,Federally Inspected,Live,Red Meat
Sep-2022,2022,9,Average Weight in Pounds,Calves,236.0,Federally Inspected,Live,Red Meat
Aug-2022,2022,8,Average Weight in Pounds,Calves,240.0,Federally Inspected,Live,Red Meat
Jul-2022,2022,7,Average Weight in Pounds,Calves,240.0,Federally Inspected,Live,Red Meat
Jun-2022,2022,6,Average Weight in Pounds,Calves,268.0,Federally Inspected,Live,Red Meat
May-2022,2022,5,Average Weight in Pounds,Calves,277.0,Federally Inspected,Live,Red Meat
Apr-2022,2022,4,Average Weight in Pounds,Calves,274.0,Federally Inspected,Live,Red Meat
Mar-2022,2022,3,Average Weight in Pounds,Calves,259.0,Federally Inspected,Live,Red Meat
Feb-2022,2022,2,Average Weight in Pounds,Calves,241.0,Federally Inspected,Live,Red Meat
Jan-2022,2022,1,Average Weight in Pounds,Calves,245.0,Federally Inspected,Live,Red Meat
Dec-2021,2021,12,Average Weight in Pounds,Calves,235.0,Federally Inspected,Live,Red Meat
Nov-2021,2021,11,Average Weight in Pounds,Calves,239.0,Federally Inspected,Live,Red Meat
Oct-2021,2021,10,Average Weight in Pounds,Calves,221.0,Federally Inspected,Live,Red Meat
Sep-2021,2021,9,Average Weight in Pounds,Calves,221.0,Federally Inspected,Live,Red Meat
Aug-2021,2021,8,Average Weight in Pounds,Calves,212.0,Federally Inspected,Live,Red Meat
Jul-2021,2021,7,Average Weight in Pounds,Calves,202.0,Federally Inspected,Live,Red Meat
Jun-2021,2021,6,Average Weight in Pounds,Calves,220.0,Federally Inspected,Live,Red Meat
May-2021,2021,5,Average Weight in Pounds,Calves,246.0,Federally Inspected,Live,Red Meat
Apr-2021,2021,4,Average Weight in Pounds,Calves,266.0,Federally Inspected,Live,Red Meat
Mar-2021,2021,3,Average Weight in Pounds,Calves,264.0,Federally Inspected,Live,Red Meat
Feb-2021,2021,2,Average Weight in Pounds,Calves,245.0,Federally Inspected,Live,Red Meat
Jan-2021,2021,1,Average Weight in Pounds,Calves,245.0,Federally Inspected,Live,Red Meat
Dec-2020,2020,12,Average Weight in Pounds,Calves,239.0,Federally Inspected,Live,Red Meat
Nov-2020,2020,11,Average Weight in Pounds,Calves,239.0,Federally Inspected,Live,Red Meat
Oct-2020,2020,10,Average Weight in Pounds,Calves,248.0,Federally Inspected,Live,Red Meat
Sep-2020,2020,9,Average Weight in Pounds,Calves,258.0,Federally Inspected,Live,Red Meat
Aug-2020,2020,8,Average Weight in Pounds,Calves,249.0,Federally Inspected,Live,Red Meat
Jul-2020,2020,7,Average Weight in Pounds,Calves,242.0,Federally Inspected,Live,Red Meat
Jun-2020,2020,6,Average Weight in Pounds,Calves,258.0,Federally Inspected,Live,Red Meat
May-2020,2020,5,Average Weight in Pounds,Calves,272.0,Federally Inspected,Live,Red Meat
Apr-2020,2020,4,Average Weight in Pounds,Calves,249.0,Federally Inspected,Live,Red Meat
Mar-2020,2020,3,Average Weight in Pounds,Calves,230.0,Federally Inspected,Live,Red Meat
Feb-2020,2020,2,Average Weight in Pounds,Calves,222.0,Federally Inspected,Live,Red Meat
Jan-2020,2020,1,Average Weight in Pounds,Calves,222.0,Federally Inspected,Live,Red Meat
Dec-2019,2019,12,Average Weight in Pounds,Calves,226.0,Federally Inspected,Live,Red Meat
Nov-2019,2019,11,Average Weight in Pounds,Calves,225.0,Federally Inspected,Live,Red Meat
Oct-2019,2019,10,Average Weight in Pounds,Calves,220.0,Federally Inspected,Live,Red Meat
Sep-2019,2019,9,Average Weight in Pounds,Calves,213.0,Federally Inspected,Live,Red Meat
Aug-2019,2019,8,Average Weight in Pounds,Calves,203.0,Federally Inspected,Live,Red Meat
Jul-2019,2019,7,Average Weight in Pounds,Calves,204.0,Federally Inspected,Live,Red Meat
Jun-2019,2019,6,Average Weight in Pounds,Calves,221.0,Federally Inspected,Live,Red Meat
May-2019,2019,5,Average Weight in Pounds,Calves,233.0,Federally Inspected,Live,Red Meat
Apr-2019,2019,4,Average Weight in Pounds,Calves,239.0,Federally Inspected,Live,Red Meat
Mar-2019,2019,3,Average Weight in Pounds,Calves,217.0,Federally Inspected,Live,Red Meat
Feb-2019,2019,2,Average Weight in Pounds,Calves,218.0,Federally Inspected,Live,Red Meat
Jan-2019,2019,1,Average Weight in Pounds,Calves,210.0,Federally Inspected,Live,Red Meat
Dec-2018,2018,12,Average Weight in Pounds,Calves,209.0,Federally Inspected,Live,Red Meat
Nov-2018,2018,11,Average Weight in Pounds,Calves,209.0,Federally Inspected,Live,Red Meat
Oct-2018,2018,10,Average Weight in Pounds,Calves,229.0,Federally Inspected,Live,Red Meat
Sep-2018,2018,9,Average Weight in Pounds,Calves,213.0,Federally Inspected,Live,Red Meat
Aug-2018,2018,8,Average Weight in Pounds,Calves,213.0,Federally Inspected,Live,Red Meat
Jul-2018,2018,7,Average Weight in Pounds,Calves,220.0,Federally Inspected,Live,Red Meat
Jun-2018,2018,6,Average Weight in Pounds,Calves,221.0,Federally Inspected,Live,Red Meat
May-2018,2018,5,Average Weight in Pounds,Calves,236.0,Federally Inspected,Live,Red Meat
Apr-2018,2018,4,Average Weight in Pounds,Calves,242.0,Federally Inspected,Live,Red Meat
Mar-2018,2018,3,Average Weight in Pounds,Calves,237.0,Federally Inspected,Live,Red Meat
Feb-2018,2018,2,Average Weight in Pounds,Calves,240.0,Federally Inspected,Live,Red Meat
Jan-2018,2018,1,Average Weight in Pounds,Calves,232.0,Federally Inspected,Live,Red Meat
Dec-2017,2017,12,Average Weight in Pounds,Calves,242.0,Federally Inspected,Live,Red Meat
Nov-2017,2017,11,Average Weight in Pounds,Calves,258.0,Federally Inspected,Live,Red Meat
Oct-2017,2017,10,Average Weight in Pounds,Calves,248.0,Federally Inspected,Live,Red Meat
Sep-2017,2017,9,Average Weight in Pounds,Calves,238.0,Federally Inspected,Live,Red Meat
Aug-2017,2017,8,Average Weight in Pounds,Calves,235.0,Federally Inspected,Live,Red Meat
Jul-2017,2017,7,Average Weight in Pounds,Calves,247.0,Federally Inspected,Live,Red Meat
Jun-2017,2017,6,Average Weight in Pounds,Calves,266.0,Federally Inspected,Live,Red Meat
May-2017,2017,5,Average Weight in Pounds,Calves,273.0,Federally Inspected,Live,Red Meat
Apr-2017,2017,4,Average Weight in Pounds,Calves,255.0,Federally Inspected,Live,Red Meat
Mar-2017,2017,3,Average Weight in Pounds,Calves,244.0,Federally Inspected,Live,Red Meat
Feb-2017,2017,2,Average Weight in Pounds,Calves,239.0,Federally Inspected,Live,Red Meat
Jan-2017,2017,1,Average Weight in Pounds,Calves,233.0,Federally Inspected,Live,Red Meat
Dec-2016,2016,12,Average Weight in Pounds,Calves,238.0,Federally Inspected,Live,Red Meat
Nov-2016,2016,11,Average Weight in Pounds,Calves,241.0,Federally Inspected,Live,Red Meat
Oct-2016,2016,10,Average Weight in Pounds,Calves,235.0,Federally Inspected,Live,Red Meat
Sep-2016,2016,9,Average Weight in Pounds,Calves,248.0,Federally Inspected,Live,Red Meat
Aug-2016,2016,8,Average Weight in Pounds,Calves,253.0,Federally Inspected,Live,Red Meat
Jul-2016,2016,7,Average Weight in Pounds,Calves,254.0,Federally Inspected,Live,Red Meat
Jun-2016,2016,6,Average Weight in Pounds,Calves,290.0,Federally Inspected,Live,Red Meat
May-2016,2016,5,Average Weight in Pounds,Calves,285.0,Federally Inspected,Live,Red Meat
Apr-2016,2016,4,Average Weight in Pounds,Calves,292.0,Federally Inspected,Live,Red Meat
Mar-2016,2016,3,Average Weight in Pounds,Calves,301.0,Federally Inspected,Live,Red Meat
Feb-2016,2016,2,Average Weight in Pounds,Calves,285.0,Federally Inspected,Live,Red Meat
Jan-2016,2016,1,Average Weight in Pounds,Calves,273.0,Federally Inspected,Live,Red Meat
Dec-2015,2015,12,Average Weight in Pounds,Calves,294.0,Federally Inspected,Live,Red Meat
Nov-2015,2015,11,Average Weight in Pounds,Calves,309.0,Federally Inspected,Live,Red Meat
Oct-2015,2015,10,Average Weight in Pounds,Calves,303.0,Federally Inspected,Live,Red Meat
Sep-2015,2015,9,Average Weight in Pounds,Calves,311.0,Federally Inspected,Live,Red Meat
Aug-2015,2015,8,Average Weight in Pounds,Calves,317.0,Federally Inspected,Live,Red Meat
Jul-2015,2015,7,Average Weight in Pounds,Calves,322.0,Federally Inspected,Live,Red Meat
Jun-2015,2015,6,Average Weight in Pounds,Calves,335.0,Federally Inspected,Live,Red Meat
May-2015,2015,5,Average Weight in Pounds,Calves,334.0,Federally Inspected,Live,Red Meat
Apr-2015,2015,4,Average Weight in Pounds,Calves,317.0,Federally Inspected,Live,Red Meat
Mar-2015,2015,3,Average Weight in Pounds,Calves,294.0,Federally Inspected,Live,Red Meat
Feb-2015,2015,2,Average Weight in Pounds,Calves,292.0,Federally Inspected,Live,Red Meat
Jan-2015,2015,1,Average Weight in Pounds,Calves,290.0,Federally Inspected,Live,Red Meat
Dec-2014,2014,12,Average Weight in Pounds,Calves,302.0,Federally Inspected,Live,Red Meat
