Date,Year,Month,Unit,Production,Animal,Commercial or Federally Inspected,Type of Meat
Nov-2021,2021,11,Million Pounds,2408.7,Pork,Commercial,Red Meat
Oct-2021,2021,10,Million Pounds,2372.1,Pork,Commercial,Red Meat
Sep-2021,2021,9,Million Pounds,2266.0,Pork,Commercial,Red Meat
Aug-2021,2021,8,Million Pounds,2214.5,Pork,Commercial,Red Meat
Jul-2021,2021,7,Million Pounds,2049.5,Pork,Commercial,Red Meat
Jun-2021,2021,6,Million Pounds,2254.2,Pork,Commercial,Red Meat
May-2021,2021,5,Million Pounds,2070.0,Pork,Commercial,Red Meat
Apr-2021,2021,4,Million Pounds,2343.9,Pork,Commercial,Red Meat
Mar-2021,2021,3,Million Pounds,2548.6,Pork,Commercial,Red Meat
Feb-2021,2021,2,Million Pounds,2265.5,Pork,Commercial,Red Meat
Jan-2021,2021,1,Million Pounds,2477.6,Pork,Commercial,Red Meat
Dec-2020,2020,12,Million Pounds,2510.4,Pork,Commercial,Red Meat
Nov-2020,2020,11,Million Pounds,2406.2,Pork,Commercial,Red Meat
Oct-2020,2020,10,Million Pounds,2598.6,Pork,Commercial,Red Meat
Sep-2020,2020,9,Million Pounds,2336.0,Pork,Commercial,Red Meat
Aug-2020,2020,8,Million Pounds,2341.0,Pork,Commercial,Red Meat
Jul-2020,2020,7,Million Pounds,2371.4,Pork,Commercial,Red Meat
Jun-2020,2020,6,Million Pounds,2400.9,Pork,Commercial,Red Meat
May-2020,2020,5,Million Pounds,1880.9,Pork,Commercial,Red Meat
Apr-2020,2020,4,Million Pounds,2031.6,Pork,Commercial,Red Meat
Mar-2020,2020,3,Million Pounds,2566.5,Pork,Commercial,Red Meat
Feb-2020,2020,2,Million Pounds,2306.4,Pork,Commercial,Red Meat
Jan-2020,2020,1,Million Pounds,2553.3,Pork,Commercial,Red Meat
Dec-2019,2019,12,Million Pounds,2443.1,Pork,Commercial,Red Meat
Nov-2019,2019,11,Million Pounds,2428.6,Pork,Commercial,Red Meat
Oct-2019,2019,10,Million Pounds,2606.4,Pork,Commercial,Red Meat
Sep-2019,2019,9,Million Pounds,2237.1,Pork,Commercial,Red Meat
Aug-2019,2019,8,Million Pounds,2257.9,Pork,Commercial,Red Meat
Jul-2019,2019,7,Million Pounds,2210.8,Pork,Commercial,Red Meat
Jun-2019,2019,6,Million Pounds,2127.8,Pork,Commercial,Red Meat
May-2019,2019,5,Million Pounds,2218.9,Pork,Commercial,Red Meat
Apr-2019,2019,4,Million Pounds,2268.7,Pork,Commercial,Red Meat
Mar-2019,2019,3,Million Pounds,2297.0,Pork,Commercial,Red Meat
Feb-2019,2019,2,Million Pounds,2167.5,Pork,Commercial,Red Meat
Jan-2019,2019,1,Million Pounds,2373.7,Pork,Commercial,Red Meat
Dec-2018,2018,12,Million Pounds,2231.5,Pork,Commercial,Red Meat
Nov-2018,2018,11,Million Pounds,2348.0,Pork,Commercial,Red Meat
Oct-2018,2018,10,Million Pounds,2450.5,Pork,Commercial,Red Meat
Sep-2018,2018,9,Million Pounds,2012.9,Pork,Commercial,Red Meat
Aug-2018,2018,8,Million Pounds,2316.3,Pork,Commercial,Red Meat
Jul-2018,2018,7,Million Pounds,1985.5,Pork,Commercial,Red Meat
Jun-2018,2018,6,Million Pounds,2008.6,Pork,Commercial,Red Meat
May-2018,2018,5,Million Pounds,2174.4,Pork,Commercial,Red Meat
Apr-2018,2018,4,Million Pounds,2141.9,Pork,Commercial,Red Meat
Mar-2018,2018,3,Million Pounds,2296.8,Pork,Commercial,Red Meat
Feb-2018,2018,2,Million Pounds,2058.1,Pork,Commercial,Red Meat
Jan-2018,2018,1,Million Pounds,2290.1,Pork,Commercial,Red Meat
Dec-2017,2017,12,Million Pounds,2235.0,Pork,Commercial,Red Meat
Nov-2017,2017,11,Million Pounds,2244.8,Pork,Commercial,Red Meat
Oct-2017,2017,10,Million Pounds,2316.5,Pork,Commercial,Red Meat
Sep-2017,2017,9,Million Pounds,2164.9,Pork,Commercial,Red Meat
Aug-2017,2017,8,Million Pounds,2210.5,Pork,Commercial,Red Meat
Jul-2017,2017,7,Million Pounds,1864.9,Pork,Commercial,Red Meat
Jun-2017,2017,6,Million Pounds,2053.2,Pork,Commercial,Red Meat
May-2017,2017,5,Million Pounds,2095.9,Pork,Commercial,Red Meat
Apr-2017,2017,4,Million Pounds,1988.2,Pork,Commercial,Red Meat
Mar-2017,2017,3,Million Pounds,2267.6,Pork,Commercial,Red Meat
Feb-2017,2017,2,Million Pounds,1987.6,Pork,Commercial,Red Meat
Jan-2017,2017,1,Million Pounds,2154.8,Pork,Commercial,Red Meat
Dec-2016,2016,12,Million Pounds,2209.1,Pork,Commercial,Red Meat
Nov-2016,2016,11,Million Pounds,2240.3,Pork,Commercial,Red Meat
Oct-2016,2016,10,Million Pounds,2198.3,Pork,Commercial,Red Meat
Sep-2016,2016,9,Million Pounds,2126.3,Pork,Commercial,Red Meat
Aug-2016,2016,8,Million Pounds,2149.6,Pork,Commercial,Red Meat
Jul-2016,2016,7,Million Pounds,1824.5,Pork,Commercial,Red Meat
Jun-2016,2016,6,Million Pounds,2013.5,Pork,Commercial,Red Meat
May-2016,2016,5,Million Pounds,1949.0,Pork,Commercial,Red Meat
Apr-2016,2016,4,Million Pounds,2000.2,Pork,Commercial,Red Meat
Mar-2016,2016,3,Million Pounds,2145.2,Pork,Commercial,Red Meat
Feb-2016,2016,2,Million Pounds,2000.9,Pork,Commercial,Red Meat
Jan-2016,2016,1,Million Pounds,2084.2,Pork,Commercial,Red Meat
Dec-2015,2015,12,Million Pounds,2207.2,Pork,Commercial,Red Meat
Nov-2015,2015,11,Million Pounds,2080.8,Pork,Commercial,Red Meat
Oct-2015,2015,10,Million Pounds,2169.2,Pork,Commercial,Red Meat
Sep-2015,2015,9,Million Pounds,2035.9,Pork,Commercial,Red Meat
Aug-2015,2015,8,Million Pounds,1949.1,Pork,Commercial,Red Meat
Jul-2015,2015,7,Million Pounds,1972.9,Pork,Commercial,Red Meat
Jun-2015,2015,6,Million Pounds,1995.9,Pork,Commercial,Red Meat
May-2015,2015,5,Million Pounds,1861.9,Pork,Commercial,Red Meat
Apr-2015,2015,4,Million Pounds,2066.9,Pork,Commercial,Red Meat
Mar-2015,2015,3,Million Pounds,2111.8,Pork,Commercial,Red Meat
Feb-2015,2015,2,Million Pounds,1945.2,Pork,Commercial,Red Meat
Jan-2015,2015,1,Million Pounds,2104.5,Pork,Commercial,Red Meat
Dec-2014,2014,12,Million Pounds,2114.3,Pork,Commercial,Red Meat
Nov-2014,2014,11,Million Pounds,1890.2,Pork,Commercial,Red Meat
Oct-2014,2014,10,Million Pounds,2126.4,Pork,Commercial,Red Meat
Sep-2014,2014,9,Million Pounds,1871.9,Pork,Commercial,Red Meat
Aug-2014,2014,8,Million Pounds,1752.2,Pork,Commercial,Red Meat
Jul-2014,2014,7,Million Pounds,1799.8,Pork,Commercial,Red Meat
Jun-2014,2014,6,Million Pounds,1734.0,Pork,Commercial,Red Meat
May-2014,2014,5,Million Pounds,1859.1,Pork,Commercial,Red Meat
Apr-2014,2014,4,Million Pounds,1911.0,Pork,Commercial,Red Meat
Mar-2014,2014,3,Million Pounds,1854.4,Pork,Commercial,Red Meat
Feb-2014,2014,2,Million Pounds,1844.2,Pork,Commercial,Red Meat
Jan-2014,2014,1,Million Pounds,2085.7,Pork,Commercial,Red Meat
Dec-2013,2013,12,Million Pounds,2065.4,Pork,Commercial,Red Meat
Nov-2013,2013,11,Million Pounds,2039.9,Pork,Commercial,Red Meat
Oct-2013,2013,10,Million Pounds,2169.0,Pork,Commercial,Red Meat
Sep-2013,2013,9,Million Pounds,1842.9,Pork,Commercial,Red Meat
Aug-2013,2013,8,Million Pounds,1938.4,Pork,Commercial,Red Meat
Jul-2013,2013,7,Million Pounds,1840.3,Pork,Commercial,Red Meat
Jun-2013,2013,6,Million Pounds,1676.3,Pork,Commercial,Red Meat
May-2013,2013,5,Million Pounds,1898.9,Pork,Commercial,Red Meat
Apr-2013,2013,4,Million Pounds,1940.8,Pork,Commercial,Red Meat
Mar-2013,2013,3,Million Pounds,1932.0,Pork,Commercial,Red Meat
Feb-2013,2013,2,Million Pounds,1778.4,Pork,Commercial,Red Meat
Jan-2013,2013,1,Million Pounds,2064.9,Pork,Commercial,Red Meat
Dec-2012,2012,12,Million Pounds,1954.2,Pork,Commercial,Red Meat
Nov-2012,2012,11,Million Pounds,2079.2,Pork,Commercial,Red Meat
Oct-2012,2012,10,Million Pounds,2210.7,Pork,Commercial,Red Meat
Sep-2012,2012,9,Million Pounds,1911.2,Pork,Commercial,Red Meat
Aug-2012,2012,8,Million Pounds,1998.1,Pork,Commercial,Red Meat
Jul-2012,2012,7,Million Pounds,1721.9,Pork,Commercial,Red Meat
Jun-2012,2012,6,Million Pounds,1750.5,Pork,Commercial,Red Meat
May-2012,2012,5,Million Pounds,1926.8,Pork,Commercial,Red Meat
Apr-2012,2012,4,Million Pounds,1841.9,Pork,Commercial,Red Meat
Mar-2012,2012,3,Million Pounds,1987.7,Pork,Commercial,Red Meat
Feb-2012,2012,2,Million Pounds,1883.0,Pork,Commercial,Red Meat
Jan-2012,2012,1,Million Pounds,1987.3,Pork,Commercial,Red Meat
Dec-2011,2011,12,Million Pounds,2065.6,Pork,Commercial,Red Meat
Nov-2011,2011,11,Million Pounds,2086.7,Pork,Commercial,Red Meat
Oct-2011,2011,10,Million Pounds,2033.2,Pork,Commercial,Red Meat
Sep-2011,2011,9,Million Pounds,1954.4,Pork,Commercial,Red Meat
Aug-2011,2011,8,Million Pounds,1892.1,Pork,Commercial,Red Meat
Jul-2011,2011,7,Million Pounds,1637.1,Pork,Commercial,Red Meat
Jun-2011,2011,6,Million Pounds,1820.0,Pork,Commercial,Red Meat
May-2011,2011,5,Million Pounds,1759.7,Pork,Commercial,Red Meat
Apr-2011,2011,4,Million Pounds,1790.7,Pork,Commercial,Red Meat
Mar-2011,2011,3,Million Pounds,2054.4,Pork,Commercial,Red Meat
Feb-2011,2011,2,Million Pounds,1768.1,Pork,Commercial,Red Meat
Jan-2011,2011,1,Million Pounds,1896.2,Pork,Commercial,Red Meat
Dec-2010,2010,12,Million Pounds,2055.4,Pork,Commercial,Red Meat
Nov-2010,2010,11,Million Pounds,2068.0,Pork,Commercial,Red Meat
Oct-2010,2010,10,Million Pounds,2002.7,Pork,Commercial,Red Meat
Sep-2010,2010,9,Million Pounds,1883.5,Pork,Commercial,Red Meat
Aug-2010,2010,8,Million Pounds,1815.3,Pork,Commercial,Red Meat
Jul-2010,2010,7,Million Pounds,1702.2,Pork,Commercial,Red Meat
Jun-2010,2010,6,Million Pounds,1831.7,Pork,Commercial,Red Meat
May-2010,2010,5,Million Pounds,1621.3,Pork,Commercial,Red Meat
Apr-2010,2010,4,Million Pounds,1849.1,Pork,Commercial,Red Meat
Mar-2010,2010,3,Million Pounds,2040.1,Pork,Commercial,Red Meat
Feb-2010,2010,2,Million Pounds,1757.5,Pork,Commercial,Red Meat
Jan-2010,2010,1,Million Pounds,1809.7,Pork,Commercial,Red Meat
Dec-2009,2009,12,Million Pounds,1985.3,Pork,Commercial,Red Meat
Nov-2009,2009,11,Million Pounds,1921.7,Pork,Commercial,Red Meat
Oct-2009,2009,10,Million Pounds,2089.0,Pork,Commercial,Red Meat
Sep-2009,2009,9,Million Pounds,2002.1,Pork,Commercial,Red Meat
Aug-2009,2009,8,Million Pounds,1868.9,Pork,Commercial,Red Meat
Jul-2009,2009,7,Million Pounds,1828.5,Pork,Commercial,Red Meat
Jun-2009,2009,6,Million Pounds,1847.7,Pork,Commercial,Red Meat
May-2009,2009,5,Million Pounds,1716.8,Pork,Commercial,Red Meat
Apr-2009,2009,4,Million Pounds,1925.0,Pork,Commercial,Red Meat
Mar-2009,2009,3,Million Pounds,1969.7,Pork,Commercial,Red Meat
Feb-2009,2009,2,Million Pounds,1817.3,Pork,Commercial,Red Meat
Jan-2009,2009,1,Million Pounds,2027.0,Pork,Commercial,Red Meat
Dec-2008,2008,12,Million Pounds,2052.1,Pork,Commercial,Red Meat
Nov-2008,2008,11,Million Pounds,1886.1,Pork,Commercial,Red Meat
Oct-2008,2008,10,Million Pounds,2159.9,Pork,Commercial,Red Meat
Sep-2008,2008,9,Million Pounds,1975.8,Pork,Commercial,Red Meat
Aug-2008,2008,8,Million Pounds,1803.9,Pork,Commercial,Red Meat
Jul-2008,2008,7,Million Pounds,1852.5,Pork,Commercial,Red Meat
Jun-2008,2008,6,Million Pounds,1761.8,Pork,Commercial,Red Meat
May-2008,2008,5,Million Pounds,1815.5,Pork,Commercial,Red Meat
Apr-2008,2008,4,Million Pounds,2015.6,Pork,Commercial,Red Meat
Mar-2008,2008,3,Million Pounds,1962.0,Pork,Commercial,Red Meat
Feb-2008,2008,2,Million Pounds,1902.7,Pork,Commercial,Red Meat
Jan-2008,2008,1,Million Pounds,2159.0,Pork,Commercial,Red Meat
Dec-2007,2007,12,Million Pounds,1972.7,Pork,Commercial,Red Meat
Nov-2007,2007,11,Million Pounds,2045.2,Pork,Commercial,Red Meat
Oct-2007,2007,10,Million Pounds,2145.1,Pork,Commercial,Red Meat
Sep-2007,2007,9,Million Pounds,1746.0,Pork,Commercial,Red Meat
Aug-2007,2007,8,Million Pounds,1850.0,Pork,Commercial,Red Meat
Jul-2007,2007,7,Million Pounds,1659.5,Pork,Commercial,Red Meat
Jun-2007,2007,6,Million Pounds,1654.1,Pork,Commercial,Red Meat
May-2007,2007,5,Million Pounds,1762.6,Pork,Commercial,Red Meat
Apr-2007,2007,4,Million Pounds,1711.5,Pork,Commercial,Red Meat
Mar-2007,2007,3,Million Pounds,1861.0,Pork,Commercial,Red Meat
Feb-2007,2007,2,Million Pounds,1636.3,Pork,Commercial,Red Meat
Jan-2007,2007,1,Million Pounds,1898.5,Pork,Commercial,Red Meat
Dec-2006,2006,12,Million Pounds,1796.4,Pork,Commercial,Red Meat
Nov-2006,2006,11,Million Pounds,1896.4,Pork,Commercial,Red Meat
Oct-2006,2006,10,Million Pounds,1932.0,Pork,Commercial,Red Meat
Sep-2006,2006,9,Million Pounds,1753.7,Pork,Commercial,Red Meat
Aug-2006,2006,8,Million Pounds,1780.2,Pork,Commercial,Red Meat
Jul-2006,2006,7,Million Pounds,1552.6,Pork,Commercial,Red Meat
Jun-2006,2006,6,Million Pounds,1663.3,Pork,Commercial,Red Meat
May-2006,2006,5,Million Pounds,1726.0,Pork,Commercial,Red Meat
Apr-2006,2006,4,Million Pounds,1618.3,Pork,Commercial,Red Meat
Mar-2006,2006,3,Million Pounds,1877.5,Pork,Commercial,Red Meat
Feb-2006,2006,2,Million Pounds,1637.0,Pork,Commercial,Red Meat
Jan-2006,2006,1,Million Pounds,1820.5,Pork,Commercial,Red Meat
Dec-2005,2005,12,Million Pounds,1866.3,Pork,Commercial,Red Meat
Nov-2005,2005,11,Million Pounds,1843.2,Pork,Commercial,Red Meat
Oct-2005,2005,10,Million Pounds,1816.2,Pork,Commercial,Red Meat
Sep-2005,2005,9,Million Pounds,1743.0,Pork,Commercial,Red Meat
Aug-2005,2005,8,Million Pounds,1752.3,Pork,Commercial,Red Meat
Jul-2005,2005,7,Million Pounds,1505.0,Pork,Commercial,Red Meat
Jun-2005,2005,6,Million Pounds,1706.5,Pork,Commercial,Red Meat
May-2005,2005,5,Million Pounds,1611.4,Pork,Commercial,Red Meat
Apr-2005,2005,4,Million Pounds,1703.4,Pork,Commercial,Red Meat
Mar-2005,2005,3,Million Pounds,1803.7,Pork,Commercial,Red Meat
Feb-2005,2005,2,Million Pounds,1629.2,Pork,Commercial,Red Meat
Jan-2005,2005,1,Million Pounds,1704.8,Pork,Commercial,Red Meat
Dec-2004,2004,12,Million Pounds,1857.0,Pork,Commercial,Red Meat
Nov-2004,2004,11,Million Pounds,1799.0,Pork,Commercial,Red Meat
Oct-2004,2004,10,Million Pounds,1779.0,Pork,Commercial,Red Meat
Sep-2004,2004,9,Million Pounds,1772.0,Pork,Commercial,Red Meat
Aug-2004,2004,8,Million Pounds,1699.0,Pork,Commercial,Red Meat
Jul-2004,2004,7,Million Pounds,1576.0,Pork,Commercial,Red Meat
Jun-2004,2004,6,Million Pounds,1672.0,Pork,Commercial,Red Meat
May-2004,2004,5,Million Pounds,1500.0,Pork,Commercial,Red Meat
Apr-2004,2004,4,Million Pounds,1725.0,Pork,Commercial,Red Meat
Mar-2004,2004,3,Million Pounds,1801.0,Pork,Commercial,Red Meat
Feb-2004,2004,2,Million Pounds,1571.0,Pork,Commercial,Red Meat
Jan-2004,2004,1,Million Pounds,1758.0,Pork,Commercial,Red Meat
Dec-2003,2003,12,Million Pounds,1869.0,Pork,Commercial,Red Meat
Nov-2003,2003,11,Million Pounds,1718.0,Pork,Commercial,Red Meat
Oct-2003,2003,10,Million Pounds,1912.0,Pork,Commercial,Red Meat
Sep-2003,2003,9,Million Pounds,1668.0,Pork,Commercial,Red Meat
Aug-2003,2003,8,Million Pounds,1559.0,Pork,Commercial,Red Meat
Jul-2003,2003,7,Million Pounds,1580.0,Pork,Commercial,Red Meat
Jun-2003,2003,6,Million Pounds,1531.0,Pork,Commercial,Red Meat
May-2003,2003,5,Million Pounds,1551.0,Pork,Commercial,Red Meat
Apr-2003,2003,4,Million Pounds,1659.0,Pork,Commercial,Red Meat
Mar-2003,2003,3,Million Pounds,1623.0,Pork,Commercial,Red Meat
Feb-2003,2003,2,Million Pounds,1523.0,Pork,Commercial,Red Meat
Jan-2003,2003,1,Million Pounds,1752.0,Pork,Commercial,Red Meat
Dec-2002,2002,12,Million Pounds,1715.0,Pork,Commercial,Red Meat
Nov-2002,2002,11,Million Pounds,1709.0,Pork,Commercial,Red Meat
Oct-2002,2002,10,Million Pounds,1831.0,Pork,Commercial,Red Meat
Sep-2002,2002,9,Million Pounds,1638.0,Pork,Commercial,Red Meat
Aug-2002,2002,8,Million Pounds,1637.0,Pork,Commercial,Red Meat
Jul-2002,2002,7,Million Pounds,1557.0,Pork,Commercial,Red Meat
Jun-2002,2002,6,Million Pounds,1479.0,Pork,Commercial,Red Meat
May-2002,2002,5,Million Pounds,1646.0,Pork,Commercial,Red Meat
Apr-2002,2002,4,Million Pounds,1672.0,Pork,Commercial,Red Meat
Mar-2002,2002,3,Million Pounds,1581.0,Pork,Commercial,Red Meat
Feb-2002,2002,2,Million Pounds,1482.0,Pork,Commercial,Red Meat
Jan-2002,2002,1,Million Pounds,1717.0,Pork,Commercial,Red Meat
Dec-2001,2001,12,Million Pounds,1668.0,Pork,Commercial,Red Meat
Nov-2001,2001,11,Million Pounds,1733.0,Pork,Commercial,Red Meat
Oct-2001,2001,10,Million Pounds,1838.0,Pork,Commercial,Red Meat
Sep-2001,2001,9,Million Pounds,1513.0,Pork,Commercial,Red Meat
Aug-2001,2001,8,Million Pounds,1600.0,Pork,Commercial,Red Meat
Jul-2001,2001,7,Million Pounds,1435.0,Pork,Commercial,Red Meat
Jun-2001,2001,6,Million Pounds,1458.0,Pork,Commercial,Red Meat
May-2001,2001,5,Million Pounds,1555.0,Pork,Commercial,Red Meat
Apr-2001,2001,4,Million Pounds,1533.0,Pork,Commercial,Red Meat
Mar-2001,2001,3,Million Pounds,1626.0,Pork,Commercial,Red Meat
Feb-2001,2001,2,Million Pounds,1486.0,Pork,Commercial,Red Meat
Jan-2001,2001,1,Million Pounds,1693.0,Pork,Commercial,Red Meat
Dec-2000,2000,12,Million Pounds,1579.0,Pork,Commercial,Red Meat
Nov-2000,2000,11,Million Pounds,1714.0,Pork,Commercial,Red Meat
Oct-2000,2000,10,Million Pounds,1717.0,Pork,Commercial,Red Meat
Sep-2000,2000,9,Million Pounds,1554.0,Pork,Commercial,Red Meat
Aug-2000,2000,8,Million Pounds,1643.0,Pork,Commercial,Red Meat
Jul-2000,2000,7,Million Pounds,1409.0,Pork,Commercial,Red Meat
Jun-2000,2000,6,Million Pounds,1538.0,Pork,Commercial,Red Meat
May-2000,2000,5,Million Pounds,1542.0,Pork,Commercial,Red Meat
Apr-2000,2000,4,Million Pounds,1398.0,Pork,Commercial,Red Meat
Mar-2000,2000,3,Million Pounds,1704.0,Pork,Commercial,Red Meat
Feb-2000,2000,2,Million Pounds,1558.0,Pork,Commercial,Red Meat
Jan-2000,2000,1,Million Pounds,1572.0,Pork,Commercial,Red Meat
Dec-1999,1999,12,Million Pounds,1705.0,Pork,Commercial,Red Meat
Nov-1999,1999,11,Million Pounds,1707.0,Pork,Commercial,Red Meat
Oct-1999,1999,10,Million Pounds,1698.0,Pork,Commercial,Red Meat
Sep-1999,1999,9,Million Pounds,1618.0,Pork,Commercial,Red Meat
Aug-1999,1999,8,Million Pounds,1565.0,Pork,Commercial,Red Meat
Jul-1999,1999,7,Million Pounds,1489.0,Pork,Commercial,Red Meat
Jun-1999,1999,6,Million Pounds,1584.0,Pork,Commercial,Red Meat
May-1999,1999,5,Million Pounds,1417.0,Pork,Commercial,Red Meat
Apr-1999,1999,4,Million Pounds,1629.0,Pork,Commercial,Red Meat
Mar-1999,1999,3,Million Pounds,1737.0,Pork,Commercial,Red Meat
Feb-1999,1999,2,Million Pounds,1501.0,Pork,Commercial,Red Meat
Jan-1999,1999,1,Million Pounds,1628.0,Pork,Commercial,Red Meat
Dec-1998,1998,12,Million Pounds,1799.0,Pork,Commercial,Red Meat
Nov-1998,1998,11,Million Pounds,1683.0,Pork,Commercial,Red Meat
Oct-1998,1998,10,Million Pounds,1757.0,Pork,Commercial,Red Meat
Sep-1998,1998,9,Million Pounds,1591.0,Pork,Commercial,Red Meat
Aug-1998,1998,8,Million Pounds,1505.0,Pork,Commercial,Red Meat
Jul-1998,1998,7,Million Pounds,1529.0,Pork,Commercial,Red Meat
Jun-1998,1998,6,Million Pounds,1444.0,Pork,Commercial,Red Meat
May-1998,1998,5,Million Pounds,1419.0,Pork,Commercial,Red Meat
Apr-1998,1998,4,Million Pounds,1566.0,Pork,Commercial,Red Meat
Mar-1998,1998,3,Million Pounds,1596.0,Pork,Commercial,Red Meat
Feb-1998,1998,2,Million Pounds,1457.0,Pork,Commercial,Red Meat
Jan-1998,1998,1,Million Pounds,1634.0,Pork,Commercial,Red Meat
Dec-1997,1997,12,Million Pounds,1641.0,Pork,Commercial,Red Meat
Nov-1997,1997,11,Million Pounds,1473.0,Pork,Commercial,Red Meat
Oct-1997,1997,10,Million Pounds,1652.0,Pork,Commercial,Red Meat
Sep-1997,1997,9,Million Pounds,1490.0,Pork,Commercial,Red Meat
Aug-1997,1997,8,Million Pounds,1352.0,Pork,Commercial,Red Meat
Jul-1997,1997,7,Million Pounds,1354.0,Pork,Commercial,Red Meat
Jun-1997,1997,6,Million Pounds,1312.0,Pork,Commercial,Red Meat
May-1997,1997,5,Million Pounds,1332.0,Pork,Commercial,Red Meat
Apr-1997,1997,4,Million Pounds,1446.0,Pork,Commercial,Red Meat
Mar-1997,1997,3,Million Pounds,1422.0,Pork,Commercial,Red Meat
Feb-1997,1997,2,Million Pounds,1309.0,Pork,Commercial,Red Meat
Jan-1997,1997,1,Million Pounds,1461.0,Pork,Commercial,Red Meat
Dec-1996,1996,12,Million Pounds,1429.0,Pork,Commercial,Red Meat
Nov-1996,1996,11,Million Pounds,1429.0,Pork,Commercial,Red Meat
Oct-1996,1996,10,Million Pounds,1591.0,Pork,Commercial,Red Meat
Sep-1996,1996,9,Million Pounds,1408.0,Pork,Commercial,Red Meat
Aug-1996,1996,8,Million Pounds,1395.0,Pork,Commercial,Red Meat
Jul-1996,1996,7,Million Pounds,1340.0,Pork,Commercial,Red Meat
Jun-1996,1996,6,Million Pounds,1206.0,Pork,Commercial,Red Meat
May-1996,1996,5,Million Pounds,1413.0,Pork,Commercial,Red Meat
Apr-1996,1996,4,Million Pounds,1485.0,Pork,Commercial,Red Meat
Mar-1996,1996,3,Million Pounds,1422.0,Pork,Commercial,Red Meat
Feb-1996,1996,2,Million Pounds,1417.0,Pork,Commercial,Red Meat
Jan-1996,1996,1,Million Pounds,1550.0,Pork,Commercial,Red Meat
Dec-1995,1995,12,Million Pounds,1507.0,Pork,Commercial,Red Meat
Nov-1995,1995,11,Million Pounds,1608.0,Pork,Commercial,Red Meat
Oct-1995,1995,10,Million Pounds,1574.0,Pork,Commercial,Red Meat
Sep-1995,1995,9,Million Pounds,1438.0,Pork,Commercial,Red Meat
Aug-1995,1995,8,Million Pounds,1504.0,Pork,Commercial,Red Meat
Jul-1995,1995,7,Million Pounds,1299.0,Pork,Commercial,Red Meat
Jun-1995,1995,6,Million Pounds,1464.0,Pork,Commercial,Red Meat
May-1995,1995,5,Million Pounds,1525.0,Pork,Commercial,Red Meat
Apr-1995,1995,4,Million Pounds,1404.0,Pork,Commercial,Red Meat
Mar-1995,1995,3,Million Pounds,1634.0,Pork,Commercial,Red Meat
Feb-1995,1995,2,Million Pounds,1354.0,Pork,Commercial,Red Meat
Jan-1995,1995,1,Million Pounds,1500.0,Pork,Commercial,Red Meat
Dec-1994,1994,12,Million Pounds,1642.0,Pork,Commercial,Red Meat
Nov-1994,1994,11,Million Pounds,1639.0,Pork,Commercial,Red Meat
Oct-1994,1994,10,Million Pounds,1631.0,Pork,Commercial,Red Meat
Sep-1994,1994,9,Million Pounds,1539.0,Pork,Commercial,Red Meat
Aug-1994,1994,8,Million Pounds,1493.0,Pork,Commercial,Red Meat
Jul-1994,1994,7,Million Pounds,1294.0,Pork,Commercial,Red Meat
Jun-1994,1994,6,Million Pounds,1411.0,Pork,Commercial,Red Meat
May-1994,1994,5,Million Pounds,1396.0,Pork,Commercial,Red Meat
Apr-1994,1994,4,Million Pounds,1432.0,Pork,Commercial,Red Meat
Mar-1994,1994,3,Million Pounds,1530.0,Pork,Commercial,Red Meat
Feb-1994,1994,2,Million Pounds,1275.0,Pork,Commercial,Red Meat
Jan-1994,1994,1,Million Pounds,1376.0,Pork,Commercial,Red Meat
Dec-1993,1993,12,Million Pounds,1554.0,Pork,Commercial,Red Meat
Nov-1993,1993,11,Million Pounds,1509.0,Pork,Commercial,Red Meat
Oct-1993,1993,10,Million Pounds,1472.0,Pork,Commercial,Red Meat
Sep-1993,1993,9,Million Pounds,1440.0,Pork,Commercial,Red Meat
Aug-1993,1993,8,Million Pounds,1389.0,Pork,Commercial,Red Meat
Jul-1993,1993,7,Million Pounds,1311.0,Pork,Commercial,Red Meat
Jun-1993,1993,6,Million Pounds,1377.0,Pork,Commercial,Red Meat
May-1993,1993,5,Million Pounds,1309.0,Pork,Commercial,Red Meat
Apr-1993,1993,4,Million Pounds,1465.0,Pork,Commercial,Red Meat
Mar-1993,1993,3,Million Pounds,1480.0,Pork,Commercial,Red Meat
Feb-1993,1993,2,Million Pounds,1289.0,Pork,Commercial,Red Meat
Jan-1993,1993,1,Million Pounds,1435.0,Pork,Commercial,Red Meat
Dec-1992,1992,12,Million Pounds,1524.0,Pork,Commercial,Red Meat
Nov-1992,1992,11,Million Pounds,1455.0,Pork,Commercial,Red Meat
Oct-1992,1992,10,Million Pounds,1588.0,Pork,Commercial,Red Meat
Sep-1992,1992,9,Million Pounds,1511.0,Pork,Commercial,Red Meat
Aug-1992,1992,8,Million Pounds,1378.0,Pork,Commercial,Red Meat
Jul-1992,1992,7,Million Pounds,1375.0,Pork,Commercial,Red Meat
Jun-1992,1992,6,Million Pounds,1332.0,Pork,Commercial,Red Meat
May-1992,1992,5,Million Pounds,1287.0,Pork,Commercial,Red Meat
Apr-1992,1992,4,Million Pounds,1414.0,Pork,Commercial,Red Meat
Mar-1992,1992,3,Million Pounds,1467.0,Pork,Commercial,Red Meat
Feb-1992,1992,2,Million Pounds,1329.0,Pork,Commercial,Red Meat
Jan-1992,1992,1,Million Pounds,1525.0,Pork,Commercial,Red Meat
