"","Date","Year","Month","Animal","Weight","Commercial_Or_Federally_Inspected","Live_Or_Dressed","Type_Of_Meat"
"1183","Jun-2007",2007,6,"Hogs","267","Commercial","Live","Red Meat"
"1184","May-2007",2007,5,"Hogs","269","Commercial","Live","Red Meat"
"1185","Apr-2007",2007,4,"Hogs","270","Commercial","Live","Red Meat"
"1186","Mar-2007",2007,3,"Hogs","270","Commercial","Live","Red Meat"
"1187","Feb-2007",2007,2,"Hogs","269","Commercial","Live","Red Meat"
"1188","Jan-2007",2007,1,"Hogs","271","Commercial","Live","Red Meat"
"1189","Dec-2006",2006,12,"Hogs","271","Commercial","Live","Red Meat"
"1190","Nov-2006",2006,11,"Hogs","272","Commercial","Live","Red Meat"
"1191","Oct-2006",2006,10,"Hogs","269","Commercial","Live","Red Meat"
"1192","Sep-2006",2006,9,"Hogs","266","Commercial","Live","Red Meat"
"1193","Aug-2006",2006,8,"Hogs","262","Commercial","Live","Red Meat"
"1194","Jul-2006",2006,7,"Hogs","263","Commercial","Live","Red Meat"
"1195","Jun-2006",2006,6,"Hogs","267","Commercial","Live","Red Meat"
"1196","May-2006",2006,5,"Hogs","270","Commercial","Live","Red Meat"
"1197","Apr-2006",2006,4,"Hogs","272","Commercial","Live","Red Meat"
"1198","Mar-2006",2006,3,"Hogs","271","Commercial","Live","Red Meat"
"1199","Feb-2006",2006,2,"Hogs","271","Commercial","Live","Red Meat"
"1200","Jan-2006",2006,1,"Hogs","273","Commercial","Live","Red Meat"
"1201","Dec-2005",2005,12,"Hogs","272","Commercial","Live","Red Meat"
"1202","Nov-2005",2005,11,"Hogs","272","Commercial","Live","Red Meat"
"1203","Oct-2005",2005,10,"Hogs","269","Commercial","Live","Red Meat"
"1204","Sep-2005",2005,9,"Hogs","265","Commercial","Live","Red Meat"
"1205","Aug-2005",2005,8,"Hogs","262","Commercial","Live","Red Meat"
"1206","Jul-2005",2005,7,"Hogs","264","Commercial","Live","Red Meat"
"1207","Jun-2005",2005,6,"Hogs","268","Commercial","Live","Red Meat"
"1208","May-2005",2005,5,"Hogs","270","Commercial","Live","Red Meat"
"1209","Apr-2005",2005,4,"Hogs","271","Commercial","Live","Red Meat"
"1210","Mar-2005",2005,3,"Hogs","271","Commercial","Live","Red Meat"
"1211","Feb-2005",2005,2,"Hogs","270","Commercial","Live","Red Meat"
"1212","Jan-2005",2005,1,"Hogs","270","Commercial","Live","Red Meat"
"1213","Dec-2004",2004,12,"Hogs","270","Commercial","Live","Red Meat"
"1214","Nov-2004",2004,11,"Hogs","270","Commercial","Live","Red Meat"
"1215","Oct-2004",2004,10,"Hogs","267","Commercial","Live","Red Meat"
"1216","Sep-2004",2004,9,"Hogs","265","Commercial","Live","Red Meat"
"1217","Aug-2004",2004,8,"Hogs","262","Commercial","Live","Red Meat"
"1218","Jul-2004",2004,7,"Hogs","262","Commercial","Live","Red Meat"
"1219","Jun-2004",2004,6,"Hogs","264","Commercial","Live","Red Meat"
"1220","May-2004",2004,5,"Hogs","266","Commercial","Live","Red Meat"
"1221","Apr-2004",2004,4,"Hogs","268","Commercial","Live","Red Meat"
"1222","Mar-2004",2004,3,"Hogs","268","Commercial","Live","Red Meat"
"1223","Feb-2004",2004,2,"Hogs","268","Commercial","Live","Red Meat"
"1224","Jan-2004",2004,1,"Hogs","269","Commercial","Live","Red Meat"
"1225","Dec-2003",2003,12,"Hogs","269","Commercial","Live","Red Meat"
"1226","Nov-2003",2003,11,"Hogs","269","Commercial","Live","Red Meat"
"1227","Oct-2003",2003,10,"Hogs","267","Commercial","Live","Red Meat"
"1228","Sep-2003",2003,9,"Hogs","263","Commercial","Live","Red Meat"
"1229","Aug-2003",2003,8,"Hogs","260","Commercial","Live","Red Meat"
"1230","Jul-2003",2003,7,"Hogs","262","Commercial","Live","Red Meat"
"1231","Jun-2003",2003,6,"Hogs","266","Commercial","Live","Red Meat"
"1232","May-2003",2003,5,"Hogs","267","Commercial","Live","Red Meat"
"1233","Apr-2003",2003,4,"Hogs","268","Commercial","Live","Red Meat"
"1234","Mar-2003",2003,3,"Hogs","268","Commercial","Live","Red Meat"
"1235","Feb-2003",2003,2,"Hogs","267","Commercial","Live","Red Meat"
"1236","Jan-2003",2003,1,"Hogs","268","Commercial","Live","Red Meat"
"1237","Dec-2002",2002,12,"Hogs","268","Commercial","Live","Red Meat"
"1238","Nov-2002",2002,11,"Hogs","268","Commercial","Live","Red Meat"
"1239","Oct-2002",2002,10,"Hogs","264","Commercial","Live","Red Meat"
"1240","Sep-2002",2002,9,"Hogs","260","Commercial","Live","Red Meat"
"1241","Aug-2002",2002,8,"Hogs","259","Commercial","Live","Red Meat"
"1242","Jul-2002",2002,7,"Hogs","260","Commercial","Live","Red Meat"
"1243","Jun-2002",2002,6,"Hogs","265","Commercial","Live","Red Meat"
"1244","May-2002",2002,5,"Hogs","267","Commercial","Live","Red Meat"
"1245","Apr-2002",2002,4,"Hogs","267","Commercial","Live","Red Meat"
"1246","Mar-2002",2002,3,"Hogs","267","Commercial","Live","Red Meat"
"1247","Feb-2002",2002,2,"Hogs","267","Commercial","Live","Red Meat"
"1248","Jan-2002",2002,1,"Hogs","268","Commercial","Live","Red Meat"
"1249","Dec-2001",2001,12,"Hogs","268","Commercial","Live","Red Meat"
"1250","Nov-2001",2001,11,"Hogs","269","Commercial","Live","Red Meat"
"1251","Oct-2001",2001,10,"Hogs","267","Commercial","Live","Red Meat"
"1252","Sep-2001",2001,9,"Hogs","262","Commercial","Live","Red Meat"
"1253","Aug-2001",2001,8,"Hogs","258","Commercial","Live","Red Meat"
"1254","Jul-2001",2001,7,"Hogs","260","Commercial","Live","Red Meat"
"1255","Jun-2001",2001,6,"Hogs","263","Commercial","Live","Red Meat"
"1256","May-2001",2001,5,"Hogs","264","Commercial","Live","Red Meat"
"1257","Apr-2001",2001,4,"Hogs","265","Commercial","Live","Red Meat"
"1258","Mar-2001",2001,3,"Hogs","264","Commercial","Live","Red Meat"
"1259","Feb-2001",2001,2,"Hogs","264","Commercial","Live","Red Meat"
"1260","Jan-2001",2001,1,"Hogs","265","Commercial","Live","Red Meat"
"1261","Dec-2000",2000,12,"Hogs","265","Commercial","Live","Red Meat"
"1262","Nov-2000",2000,11,"Hogs","265","Commercial","Live","Red Meat"
"1263","Oct-2000",2000,10,"Hogs","262","Commercial","Live","Red Meat"
"1264","Sep-2000",2000,9,"Hogs","259","Commercial","Live","Red Meat"
"1265","Aug-2000",2000,8,"Hogs","258","Commercial","Live","Red Meat"
"1266","Jul-2000",2000,7,"Hogs","259","Commercial","Live","Red Meat"
"1267","Jun-2000",2000,6,"Hogs","262","Commercial","Live","Red Meat"
"1268","May-2000",2000,5,"Hogs","263","Commercial","Live","Red Meat"
"1269","Apr-2000",2000,4,"Hogs","263","Commercial","Live","Red Meat"
"1270","Mar-2000",2000,3,"Hogs","262","Commercial","Live","Red Meat"
"1271","Feb-2000",2000,2,"Hogs","262","Commercial","Live","Red Meat"
"1272","Jan-2000",2000,1,"Hogs","262","Commercial","Live","Red Meat"
"1273","Dec-1999",1999,12,"Hogs","261","Commercial","Live","Red Meat"
"1274","Nov-1999",1999,11,"Hogs","262","Commercial","Live","Red Meat"
"1275","Oct-1999",1999,10,"Hogs","259","Commercial","Live","Red Meat"
"1276","Sep-1999",1999,9,"Hogs","255","Commercial","Live","Red Meat"
"1277","Aug-1999",1999,8,"Hogs","254","Commercial","Live","Red Meat"
"1278","Jul-1999",1999,7,"Hogs","256","Commercial","Live","Red Meat"
"1279","Jun-1999",1999,6,"Hogs","259","Commercial","Live","Red Meat"
"1280","May-1999",1999,5,"Hogs","259","Commercial","Live","Red Meat"
"1281","Apr-1999",1999,4,"Hogs","260","Commercial","Live","Red Meat"
"1282","Mar-1999",1999,3,"Hogs","259","Commercial","Live","Red Meat"
"1283","Feb-1999",1999,2,"Hogs","259","Commercial","Live","Red Meat"
"1284","Jan-1999",1999,1,"Hogs","259","Commercial","Live","Red Meat"
"1285","Dec-1998",1998,12,"Hogs","260","Commercial","Live","Red Meat"
"1286","Nov-1998",1998,11,"Hogs","261","Commercial","Live","Red Meat"
"1287","Oct-1998",1998,10,"Hogs","257","Commercial","Live","Red Meat"
"1288","Sep-1998",1998,9,"Hogs","253","Commercial","Live","Red Meat"
"1289","Aug-1998",1998,8,"Hogs","252","Commercial","Live","Red Meat"
"1290","Jul-1998",1998,7,"Hogs","252","Commercial","Live","Red Meat"
"1291","Jun-1998",1998,6,"Hogs","255","Commercial","Live","Red Meat"
"1292","May-1998",1998,5,"Hogs","256","Commercial","Live","Red Meat"
"1293","Apr-1998",1998,4,"Hogs","257","Commercial","Live","Red Meat"
"1294","Mar-1998",1998,3,"Hogs","257","Commercial","Live","Red Meat"
"1295","Feb-1998",1998,2,"Hogs","258","Commercial","Live","Red Meat"
"1296","Jan-1998",1998,1,"Hogs","259","Commercial","Live","Red Meat"
"1297","Dec-1997",1997,12,"Hogs","260","Commercial","Live","Red Meat"
"1298","Nov-1997",1997,11,"Hogs","260","Commercial","Live","Red Meat"
"1299","Oct-1997",1997,10,"Hogs","257","Commercial","Live","Red Meat"
"1300","Sep-1997",1997,9,"Hogs","254","Commercial","Live","Red Meat"
"1301","Aug-1997",1997,8,"Hogs","251","Commercial","Live","Red Meat"
"1302","Jul-1997",1997,7,"Hogs","253","Commercial","Live","Red Meat"
"1303","Jun-1997",1997,6,"Hogs","256","Commercial","Live","Red Meat"
"1304","May-1997",1997,5,"Hogs","256","Commercial","Live","Red Meat"
"1305","Apr-1997",1997,4,"Hogs","256","Commercial","Live","Red Meat"
"1306","Mar-1997",1997,3,"Hogs","256","Commercial","Live","Red Meat"
"1307","Feb-1997",1997,2,"Hogs","256","Commercial","Live","Red Meat"
"1308","Jan-1997",1997,1,"Hogs","257","Commercial","Live","Red Meat"
"1309","Dec-1996",1996,12,"Hogs","257","Commercial","Live","Red Meat"
"1310","Nov-1996",1996,11,"Hogs","257","Commercial","Live","Red Meat"
"1311","Oct-1996",1996,10,"Hogs","255","Commercial","Live","Red Meat"
"1312","Sep-1996",1996,9,"Hogs","250","Commercial","Live","Red Meat"
"1313","Aug-1996",1996,8,"Hogs","250","Commercial","Live","Red Meat"
"1314","Jul-1996",1996,7,"Hogs","251","Commercial","Live","Red Meat"
"1315","Jun-1996",1996,6,"Hogs","254","Commercial","Live","Red Meat"
"1316","May-1996",1996,5,"Hogs","254","Commercial","Live","Red Meat"
"1317","Apr-1996",1996,4,"Hogs","254","Commercial","Live","Red Meat"
"1318","Mar-1996",1996,3,"Hogs","253","Commercial","Live","Red Meat"
"1319","Feb-1996",1996,2,"Hogs","254","Commercial","Live","Red Meat"
"1320","Jan-1996",1996,1,"Hogs","256","Commercial","Live","Red Meat"
"1321","Dec-1995",1995,12,"Hogs","257","Commercial","Live","Red Meat"
"1322","Nov-1995",1995,11,"Hogs","258","Commercial","Live","Red Meat"
"1323","Oct-1995",1995,10,"Hogs","255","Commercial","Live","Red Meat"
"1324","Sep-1995",1995,9,"Hogs","251","Commercial","Live","Red Meat"
"1325","Aug-1995",1995,8,"Hogs","252","Commercial","Live","Red Meat"
"1326","Jul-1995",1995,7,"Hogs","255","Commercial","Live","Red Meat"
"1327","Jun-1995",1995,6,"Hogs","257","Commercial","Live","Red Meat"
"1328","May-1995",1995,5,"Hogs","258","Commercial","Live","Red Meat"
"1329","Apr-1995",1995,4,"Hogs","258","Commercial","Live","Red Meat"
"1330","Mar-1995",1995,3,"Hogs","256","Commercial","Live","Red Meat"
"1331","Feb-1995",1995,2,"Hogs","255","Commercial","Live","Red Meat"
"1332","Jan-1995",1995,1,"Hogs","257","Commercial","Live","Red Meat"
"1333","Dec-1994",1994,12,"Hogs","260","Commercial","Live","Red Meat"
"1334","Nov-1994",1994,11,"Hogs","261","Commercial","Live","Red Meat"
"1335","Oct-1994",1994,10,"Hogs","258","Commercial","Live","Red Meat"
"1336","Sep-1994",1994,9,"Hogs","254","Commercial","Live","Red Meat"
"1337","Aug-1994",1994,8,"Hogs","252","Commercial","Live","Red Meat"
"1338","Jul-1994",1994,7,"Hogs","252","Commercial","Live","Red Meat"
"1339","Jun-1994",1994,6,"Hogs","256","Commercial","Live","Red Meat"
"1340","May-1994",1994,5,"Hogs","255","Commercial","Live","Red Meat"
"1341","Apr-1994",1994,4,"Hogs","255","Commercial","Live","Red Meat"
"1342","Mar-1994",1994,3,"Hogs","254","Commercial","Live","Red Meat"
"1343","Feb-1994",1994,2,"Hogs","253","Commercial","Live","Red Meat"
"1344","Jan-1994",1994,1,"Hogs","254","Commercial","Live","Red Meat"
"1345","Dec-1993",1993,12,"Hogs","257","Commercial","Live","Red Meat"
"1346","Nov-1993",1993,11,"Hogs","256","Commercial","Live","Red Meat"
"1347","Oct-1993",1993,10,"Hogs","254","Commercial","Live","Red Meat"
"1348","Sep-1993",1993,9,"Hogs","252","Commercial","Live","Red Meat"
"1349","Aug-1993",1993,8,"Hogs","251","Commercial","Live","Red Meat"
"1350","Jul-1993",1993,7,"Hogs","253","Commercial","Live","Red Meat"
"1351","Jun-1993",1993,6,"Hogs","255","Commercial","Live","Red Meat"
"1352","May-1993",1993,5,"Hogs","254","Commercial","Live","Red Meat"
"1353","Apr-1993",1993,4,"Hogs","254","Commercial","Live","Red Meat"
"1354","Mar-1993",1993,3,"Hogs","252","Commercial","Live","Red Meat"
"1355","Feb-1993",1993,2,"Hogs","252","Commercial","Live","Red Meat"
"1356","Jan-1993",1993,1,"Hogs","254","Commercial","Live","Red Meat"
"1357","Dec-1992",1992,12,"Hogs","254","Commercial","Live","Red Meat"
"1358","Nov-1992",1992,11,"Hogs","254","Commercial","Live","Red Meat"
"1359","Oct-1992",1992,10,"Hogs","251","Commercial","Live","Red Meat"
"1360","Sep-1992",1992,9,"Hogs","251","Commercial","Live","Red Meat"
"1361","Aug-1992",1992,8,"Hogs","249","Commercial","Live","Red Meat"
"1362","Jul-1992",1992,7,"Hogs","251","Commercial","Live","Red Meat"
"1363","Jun-1992",1992,6,"Hogs","254","Commercial","Live","Red Meat"
"1364","May-1992",1992,5,"Hogs","254","Commercial","Live","Red Meat"
"1365","Apr-1992",1992,4,"Hogs","252","Commercial","Live","Red Meat"
"1366","Mar-1992",1992,3,"Hogs","251","Commercial","Live","Red Meat"
"1367","Feb-1992",1992,2,"Hogs","252","Commercial","Live","Red Meat"
"1368","Jan-1992",1992,1,"Hogs","255","Commercial","Live","Red Meat"
"1369","Dec-1991",1991,12,"Hogs","254","Commercial","Live","Red Meat"
"1370","Nov-1991",1991,11,"Hogs","255","Commercial","Live","Red Meat"
"1371","Oct-1991",1991,10,"Hogs","252","Commercial","Live","Red Meat"
"1372","Sep-1991",1991,9,"Hogs","251","Commercial","Live","Red Meat"
"1373","Aug-1991",1991,8,"Hogs","250","Commercial","Live","Red Meat"
"1374","Jul-1991",1991,7,"Hogs","250","Commercial","Live","Red Meat"
"1375","Jun-1991",1991,6,"Hogs","253","Commercial","Live","Red Meat"
"1376","May-1991",1991,5,"Hogs","253","Commercial","Live","Red Meat"
"1377","Apr-1991",1991,4,"Hogs","252","Commercial","Live","Red Meat"
"1378","Mar-1991",1991,3,"Hogs","250","Commercial","Live","Red Meat"
"1379","Feb-1991",1991,2,"Hogs","250","Commercial","Live","Red Meat"
"1380","Jan-1991",1991,1,"Hogs","251","Commercial","Live","Red Meat"
"1381","Dec-1990",1990,12,"Hogs","252","Commercial","Live","Red Meat"
"1382","Nov-1990",1990,11,"Hogs","253","Commercial","Live","Red Meat"
"1383","Oct-1990",1990,10,"Hogs","249","Commercial","Live","Red Meat"
"1384","Sep-1990",1990,9,"Hogs","247","Commercial","Live","Red Meat"
"1385","Aug-1990",1990,8,"Hogs","248","Commercial","Live","Red Meat"
"1386","Jul-1990",1990,7,"Hogs","248","Commercial","Live","Red Meat"
"1387","Jun-1990",1990,6,"Hogs","251","Commercial","Live","Red Meat"
"1388","May-1990",1990,5,"Hogs","250","Commercial","Live","Red Meat"
"1389","Apr-1990",1990,4,"Hogs","249","Commercial","Live","Red Meat"
"1390","Mar-1990",1990,3,"Hogs","248","Commercial","Live","Red Meat"
"1391","Feb-1990",1990,2,"Hogs","248","Commercial","Live","Red Meat"
"1392","Jan-1990",1990,1,"Hogs","249","Commercial","Live","Red Meat"
"1393","Dec-1989",1989,12,"Hogs","249","Commercial","Live","Red Meat"
"1394","Nov-1989",1989,11,"Hogs","251","Commercial","Live","Red Meat"
"1395","Oct-1989",1989,10,"Hogs","248","Commercial","Live","Red Meat"
"1396","Sep-1989",1989,9,"Hogs","246","Commercial","Live","Red Meat"
"1397","Aug-1989",1989,8,"Hogs","246","Commercial","Live","Red Meat"
"1398","Jul-1989",1989,7,"Hogs","246","Commercial","Live","Red Meat"
"1399","Jun-1989",1989,6,"Hogs","250","Commercial","Live","Red Meat"
"1400","May-1989",1989,5,"Hogs","251","Commercial","Live","Red Meat"
"1401","Apr-1989",1989,4,"Hogs","250","Commercial","Live","Red Meat"
"1402","Mar-1989",1989,3,"Hogs","247","Commercial","Live","Red Meat"
"1403","Feb-1989",1989,2,"Hogs","247","Commercial","Live","Red Meat"
"1404","Jan-1989",1989,1,"Hogs","249","Commercial","Live","Red Meat"
"1405","Dec-1988",1988,12,"Hogs","251","Commercial","Live","Red Meat"
"1406","Nov-1988",1988,11,"Hogs","252","Commercial","Live","Red Meat"
"1407","Oct-1988",1988,10,"Hogs","250","Commercial","Live","Red Meat"
"1408","Sep-1988",1988,9,"Hogs","247","Commercial","Live","Red Meat"
"1409","Aug-1988",1988,8,"Hogs","246","Commercial","Live","Red Meat"
"1410","Jul-1988",1988,7,"Hogs","249","Commercial","Live","Red Meat"
"1411","Jun-1988",1988,6,"Hogs","250","Commercial","Live","Red Meat"
"1412","May-1988",1988,5,"Hogs","250","Commercial","Live","Red Meat"
"1413","Apr-1988",1988,4,"Hogs","249","Commercial","Live","Red Meat"
"1414","Mar-1988",1988,3,"Hogs","247","Commercial","Live","Red Meat"
"1415","Feb-1988",1988,2,"Hogs","247","Commercial","Live","Red Meat"
"1416","Jan-1988",1988,1,"Hogs","248","Commercial","Live","Red Meat"
"1417","Dec-1987",1987,12,"Hogs","249","Commercial","Live","Red Meat"
"1418","Nov-1987",1987,11,"Hogs","251","Commercial","Live","Red Meat"
"1419","Oct-1987",1987,10,"Hogs","248","Commercial","Live","Red Meat"
"1420","Sep-1987",1987,9,"Hogs","246","Commercial","Live","Red Meat"
"1421","Aug-1987",1987,8,"Hogs","244","Commercial","Live","Red Meat"
"1422","Jul-1987",1987,7,"Hogs","245","Commercial","Live","Red Meat"
"1423","Jun-1987",1987,6,"Hogs","248","Commercial","Live","Red Meat"
"1424","May-1987",1987,5,"Hogs","247","Commercial","Live","Red Meat"
"1425","Apr-1987",1987,4,"Hogs","246","Commercial","Live","Red Meat"
"1426","Mar-1987",1987,3,"Hogs","246","Commercial","Live","Red Meat"
"1427","Feb-1987",1987,2,"Hogs","248","Commercial","Live","Red Meat"
"1428","Jan-1987",1987,1,"Hogs","251","Commercial","Live","Red Meat"
"1429","Dec-1986",1986,12,"Hogs","251","Commercial","Live","Red Meat"
"1430","Nov-1986",1986,11,"Hogs","250","Commercial","Live","Red Meat"
"1431","Oct-1986",1986,10,"Hogs","248","Commercial","Live","Red Meat"
"1432","Sep-1986",1986,9,"Hogs","245","Commercial","Live","Red Meat"
"1433","Aug-1986",1986,8,"Hogs","243","Commercial","Live","Red Meat"
"1434","Jul-1986",1986,7,"Hogs","245","Commercial","Live","Red Meat"
"1435","Jun-1986",1986,6,"Hogs","245","Commercial","Live","Red Meat"
"1436","May-1986",1986,5,"Hogs","245","Commercial","Live","Red Meat"
"1437","Apr-1986",1986,4,"Hogs","245","Commercial","Live","Red Meat"
"1438","Mar-1986",1986,3,"Hogs","244","Commercial","Live","Red Meat"
"1439","Feb-1986",1986,2,"Hogs","243","Commercial","Live","Red Meat"
"1440","Jan-1986",1986,1,"Hogs","246","Commercial","Live","Red Meat"
"1441","Dec-1985",1985,12,"Hogs","246","Commercial","Live","Red Meat"
"1442","Nov-1985",1985,11,"Hogs","248","Commercial","Live","Red Meat"
"1443","Oct-1985",1985,10,"Hogs","246","Commercial","Live","Red Meat"
"1444","Sep-1985",1985,9,"Hogs","242","Commercial","Live","Red Meat"
"1445","Aug-1985",1985,8,"Hogs","242","Commercial","Live","Red Meat"
"1446","Jul-1985",1985,7,"Hogs","244","Commercial","Live","Red Meat"
"1447","Jun-1985",1985,6,"Hogs","247","Commercial","Live","Red Meat"
"1448","May-1985",1985,5,"Hogs","247","Commercial","Live","Red Meat"
"1449","Apr-1985",1985,4,"Hogs","245","Commercial","Live","Red Meat"
"1450","Mar-1985",1985,3,"Hogs","242","Commercial","Live","Red Meat"
"1451","Feb-1985",1985,2,"Hogs","242","Commercial","Live","Red Meat"
"1452","Jan-1985",1985,1,"Hogs","245","Commercial","Live","Red Meat"
"1453","Dec-1984",1984,12,"Hogs","245","Commercial","Live","Red Meat"
"1454","Nov-1984",1984,11,"Hogs","246","Commercial","Live","Red Meat"
"1455","Oct-1984",1984,10,"Hogs","244","Commercial","Live","Red Meat"
"1456","Sep-1984",1984,9,"Hogs","242","Commercial","Live","Red Meat"
"1457","Aug-1984",1984,8,"Hogs","242","Commercial","Live","Red Meat"
"1458","Jul-1984",1984,7,"Hogs","244","Commercial","Live","Red Meat"
"1459","Jun-1984",1984,6,"Hogs","247","Commercial","Live","Red Meat"
"1460","May-1984",1984,5,"Hogs","245","Commercial","Live","Red Meat"
"1461","Apr-1984",1984,4,"Hogs","242","Commercial","Live","Red Meat"
"1462","Mar-1984",1984,3,"Hogs","241","Commercial","Live","Red Meat"
"1463","Feb-1984",1984,2,"Hogs","241","Commercial","Live","Red Meat"
"1464","Jan-1984",1984,1,"Hogs","242","Commercial","Live","Red Meat"
"1465","Dec-1983",1983,12,"Hogs","243","Commercial","Live","Red Meat"
"1466","Nov-1983",1983,11,"Hogs","246","Commercial","Live","Red Meat"
"1467","Oct-1983",1983,10,"Hogs","243","Commercial","Live","Red Meat"
"1468","Sep-1983",1983,9,"Hogs","240","Commercial","Live","Red Meat"
"1469","Aug-1983",1983,8,"Hogs","241","Commercial","Live","Red Meat"
"1470","Jul-1983",1983,7,"Hogs","244","Commercial","Live","Red Meat"
"1471","Jun-1983",1983,6,"Hogs","246","Commercial","Live","Red Meat"
"1472","May-1983",1983,5,"Hogs","245","Commercial","Live","Red Meat"
"1473","Apr-1983",1983,4,"Hogs","242","Commercial","Live","Red Meat"
"1474","Mar-1983",1983,3,"Hogs","241","Commercial","Live","Red Meat"
"1475","Feb-1983",1983,2,"Hogs","240","Commercial","Live","Red Meat"
"1476","Jan-1983",1983,1,"Hogs","244","Commercial","Live","Red Meat"
"1477","Dec-2023",2023,12,"Sheep and Lambs","115","Commercial","Live","Red Meat"
"1478","Nov-2023",2023,11,"Sheep and Lambs","116","Commercial","Live","Red Meat"
"1479","Oct-2023",2023,10,"Sheep and Lambs","115","Commercial","Live","Red Meat"
"1480","Sep-2023",2023,9,"Sheep and Lambs","116","Commercial","Live","Red Meat"
"1481","Aug-2023",2023,8,"Sheep and Lambs","113","Commercial","Live","Red Meat"
"1482","Jul-2023",2023,7,"Sheep and Lambs","118","Commercial","Live","Red Meat"
"1483","Jun-2023",2023,6,"Sheep and Lambs","122","Commercial","Live","Red Meat"
"1484","May-2023",2023,5,"Sheep and Lambs","121","Commercial","Live","Red Meat"
"1485","Apr-2023",2023,4,"Sheep and Lambs","117","Commercial","Live","Red Meat"
"1486","Mar-2023",2023,3,"Sheep and Lambs","126","Commercial","Live","Red Meat"
"1487","Feb-2023",2023,2,"Sheep and Lambs","129","Commercial","Live","Red Meat"
"1488","Jan-2023",2023,1,"Sheep and Lambs","123","Commercial","Live","Red Meat"
"1489","Dec-2022",2022,12,"Sheep and Lambs","122","Commercial","Live","Red Meat"
"1490","Nov-2022",2022,11,"Sheep and Lambs","121","Commercial","Live","Red Meat"
"1491","Oct-2022",2022,10,"Sheep and Lambs","122","Commercial","Live","Red Meat"
"1492","Sep-2022",2022,9,"Sheep and Lambs","125","Commercial","Live","Red Meat"
"1493","Aug-2022",2022,8,"Sheep and Lambs","127","Commercial","Live","Red Meat"
"1494","Jul-2022",2022,7,"Sheep and Lambs","126","Commercial","Live","Red Meat"
"1495","Jun-2022",2022,6,"Sheep and Lambs","131","Commercial","Live","Red Meat"
"1496","May-2022",2022,5,"Sheep and Lambs","130","Commercial","Live","Red Meat"
"1497","Apr-2022",2022,4,"Sheep and Lambs","123","Commercial","Live","Red Meat"
"1498","Mar-2022",2022,3,"Sheep and Lambs","130","Commercial","Live","Red Meat"
"1499","Feb-2022",2022,2,"Sheep and Lambs","128","Commercial","Live","Red Meat"
"1500","Jan-2022",2022,1,"Sheep and Lambs","127","Commercial","Live","Red Meat"
"1501","Dec-2021",2021,12,"Sheep and Lambs","123","Commercial","Live","Red Meat"
"1502","Nov-2021",2021,11,"Sheep and Lambs","122","Commercial","Live","Red Meat"
"1503","Oct-2021",2021,10,"Sheep and Lambs","121","Commercial","Live","Red Meat"
"1504","Sep-2021",2021,9,"Sheep and Lambs","116","Commercial","Live","Red Meat"
"1505","Aug-2021",2021,8,"Sheep and Lambs","116","Commercial","Live","Red Meat"
"1506","Jul-2021",2021,7,"Sheep and Lambs","115","Commercial","Live","Red Meat"
"1507","Jun-2021",2021,6,"Sheep and Lambs","120","Commercial","Live","Red Meat"
"1508","May-2021",2021,5,"Sheep and Lambs","121","Commercial","Live","Red Meat"
"1509","Apr-2021",2021,4,"Sheep and Lambs","122","Commercial","Live","Red Meat"
"1510","Mar-2021",2021,3,"Sheep and Lambs","130","Commercial","Live","Red Meat"
"1511","Feb-2021",2021,2,"Sheep and Lambs","131","Commercial","Live","Red Meat"
"1512","Jan-2021",2021,1,"Sheep and Lambs","129","Commercial","Live","Red Meat"
"1513","Dec-2020",2020,12,"Sheep and Lambs","122","Commercial","Live","Red Meat"
"1514","Nov-2020",2020,11,"Sheep and Lambs","118","Commercial","Live","Red Meat"
"1515","Oct-2020",2020,10,"Sheep and Lambs","116","Commercial","Live","Red Meat"
"1516","Sep-2020",2020,9,"Sheep and Lambs","118","Commercial","Live","Red Meat"
"1517","Aug-2020",2020,8,"Sheep and Lambs","123","Commercial","Live","Red Meat"
"1518","Jul-2020",2020,7,"Sheep and Lambs","125","Commercial","Live","Red Meat"
"1519","Jun-2020",2020,6,"Sheep and Lambs","129","Commercial","Live","Red Meat"
"1520","May-2020",2020,5,"Sheep and Lambs","129","Commercial","Live","Red Meat"
"1521","Apr-2020",2020,4,"Sheep and Lambs","123","Commercial","Live","Red Meat"
"1522","Mar-2020",2020,3,"Sheep and Lambs","131","Commercial","Live","Red Meat"
"1523","Feb-2020",2020,2,"Sheep and Lambs","131","Commercial","Live","Red Meat"
"1524","Jan-2020",2020,1,"Sheep and Lambs","130","Commercial","Live","Red Meat"
"1525","Dec-2019",2019,12,"Sheep and Lambs","123","Commercial","Live","Red Meat"
"1526","Nov-2019",2019,11,"Sheep and Lambs","125","Commercial","Live","Red Meat"
"1527","Oct-2019",2019,10,"Sheep and Lambs","124","Commercial","Live","Red Meat"
"1528","Sep-2019",2019,9,"Sheep and Lambs","122","Commercial","Live","Red Meat"
"1529","Aug-2019",2019,8,"Sheep and Lambs","126","Commercial","Live","Red Meat"
"1530","Jul-2019",2019,7,"Sheep and Lambs","127","Commercial","Live","Red Meat"
"1531","Jun-2019",2019,6,"Sheep and Lambs","130","Commercial","Live","Red Meat"
"1532","May-2019",2019,5,"Sheep and Lambs","128","Commercial","Live","Red Meat"
"1533","Apr-2019",2019,4,"Sheep and Lambs","129","Commercial","Live","Red Meat"
