"","Date","Year","Month","Animal","Weight","Type_Of_Meat"
"962","Nov-1984",1984,11,"Veal",11.24,"Red Meat"
"963","Oct-1984",1984,10,"Veal",8.38,"Red Meat"
"964","Sep-1984",1984,9,"Veal",7.99,"Red Meat"
"965","Aug-1984",1984,8,"Veal",8.26,"Red Meat"
"966","Jul-1984",1984,7,"Veal",8.24,"Red Meat"
"967","Jun-1984",1984,6,"Veal",8.4,"Red Meat"
"968","May-1984",1984,5,"Veal",9.68,"Red Meat"
"969","Apr-1984",1984,4,"Veal",10.2,"Red Meat"
"970","Mar-1984",1984,3,"Veal",10.73,"Red Meat"
"971","Feb-1984",1984,2,"Veal",11.32,"Red Meat"
"972","Jan-1984",1984,1,"Veal",9.06,"Red Meat"
"973","Dec-1983",1983,12,"Veal",8.69,"Red Meat"
"974","Nov-1983",1983,11,"Veal",9.34,"Red Meat"
"975","Oct-1983",1983,10,"Veal",8.56,"Red Meat"
"976","Sep-1983",1983,9,"Veal",7.26,"Red Meat"
"977","Aug-1983",1983,8,"Veal",7.1,"Red Meat"
"978","Jul-1983",1983,7,"Veal",6.9,"Red Meat"
"979","Jun-1983",1983,6,"Veal",6.78,"Red Meat"
"980","May-1983",1983,5,"Veal",7.25,"Red Meat"
"981","Apr-1983",1983,4,"Veal",6.77,"Red Meat"
"982","Mar-1983",1983,3,"Veal",7.57,"Red Meat"
"983","Feb-1983",1983,2,"Veal",7.26,"Red Meat"
"984","Jan-1983",1983,1,"Veal",7.36,"Red Meat"
"985","Dec-2023",2023,12,"Pork",415.66,"Red Meat"
"986","Nov-2023",2023,11,"Pork",437.9,"Red Meat"
"987","Oct-2023",2023,10,"Pork",461.66,"Red Meat"
"988","Sep-2023",2023,9,"Pork",469.24,"Red Meat"
"989","Aug-2023",2023,8,"Pork",470.76,"Red Meat"
"990","Jul-2023",2023,7,"Pork",486.81,"Red Meat"
"991","Jun-2023",2023,6,"Pork",531.76,"Red Meat"
"992","May-2023",2023,5,"Pork",567.43,"Red Meat"
"993","Apr-2023",2023,4,"Pork",533.89,"Red Meat"
"994","Mar-2023",2023,3,"Pork",521.61,"Red Meat"
"995","Feb-2023",2023,2,"Pork",518.93,"Red Meat"
"996","Jan-2023",2023,1,"Pork",456.38,"Red Meat"
"997","Dec-2022",2022,12,"Pork",451.6,"Red Meat"
"998","Nov-2022",2022,11,"Pork",509.69,"Red Meat"
"999","Oct-2022",2022,10,"Pork",537.04,"Red Meat"
"1000","Sep-2022",2022,9,"Pork",542.6,"Red Meat"
"1001","Aug-2022",2022,8,"Pork",526.5,"Red Meat"
"1002","Jul-2022",2022,7,"Pork",539.1,"Red Meat"
"1003","Jun-2022",2022,6,"Pork",546.07,"Red Meat"
"1004","May-2022",2022,5,"Pork",533.4,"Red Meat"
"1005","Apr-2022",2022,4,"Pork",486,"Red Meat"
"1006","Mar-2022",2022,3,"Pork",478.32,"Red Meat"
"1007","Feb-2022",2022,2,"Pork",434.42,"Red Meat"
"1008","Jan-2022",2022,1,"Pork",396.46,"Red Meat"
"1009","Dec-2021",2021,12,"Pork",402.19,"Red Meat"
"1010","Nov-2021",2021,11,"Pork",442.37,"Red Meat"
"1011","Oct-2021",2021,10,"Pork",469.92,"Red Meat"
"1012","Sep-2021",2021,9,"Pork",454.2,"Red Meat"
"1013","Aug-2021",2021,8,"Pork",441.66,"Red Meat"
"1014","Jul-2021",2021,7,"Pork",441.92,"Red Meat"
"1015","Jun-2021",2021,6,"Pork",462.45,"Red Meat"
"1016","May-2021",2021,5,"Pork",456.92,"Red Meat"
"1017","Apr-2021",2021,4,"Pork",451.04,"Red Meat"
"1018","Mar-2021",2021,3,"Pork",483.37,"Red Meat"
"1019","Feb-2021",2021,2,"Pork",457.51,"Red Meat"
"1020","Jan-2021",2021,1,"Pork",415.94,"Red Meat"
"1021","Dec-2020",2020,12,"Pork",419.77,"Red Meat"
"1022","Nov-2020",2020,11,"Pork",447.12,"Red Meat"
"1023","Oct-2020",2020,10,"Pork",465.62,"Red Meat"
"1024","Sep-2020",2020,9,"Pork",464.92,"Red Meat"
"1025","Aug-2020",2020,8,"Pork",460.64,"Red Meat"
"1026","Jul-2020",2020,7,"Pork",460.17,"Red Meat"
"1027","Jun-2020",2020,6,"Pork",467.93,"Red Meat"
"1028","May-2020",2020,5,"Pork",611.22,"Red Meat"
"1029","Apr-2020",2020,4,"Pork",616.95,"Red Meat"
"1030","Mar-2020",2020,3,"Pork",648.98,"Red Meat"
"1031","Feb-2020",2020,2,"Pork",625.59,"Red Meat"
"1032","Jan-2020",2020,1,"Pork",580.46,"Red Meat"
"1033","Dec-2019",2019,12,"Pork",574.84,"Red Meat"
"1034","Nov-2019",2019,11,"Pork",611.92,"Red Meat"
"1035","Oct-2019",2019,10,"Pork",598.75,"Red Meat"
"1036","Sep-2019",2019,9,"Pork",606.78,"Red Meat"
"1037","Aug-2019",2019,8,"Pork",611.69,"Red Meat"
"1038","Jul-2019",2019,7,"Pork",619.45,"Red Meat"
"1039","Jun-2019",2019,6,"Pork",628.96,"Red Meat"
"1040","May-2019",2019,5,"Pork",621.46,"Red Meat"
"1041","Apr-2019",2019,4,"Pork",608.38,"Red Meat"
"1042","Mar-2019",2019,3,"Pork",615.67,"Red Meat"
"1043","Feb-2019",2019,2,"Pork",562.73,"Red Meat"
"1044","Jan-2019",2019,1,"Pork",505.29,"Red Meat"
"1045","Dec-2018",2018,12,"Pork",507.67,"Red Meat"
"1046","Nov-2018",2018,11,"Pork",570.92,"Red Meat"
"1047","Oct-2018",2018,10,"Pork",589.4,"Red Meat"
"1048","Sep-2018",2018,9,"Pork",581.51,"Red Meat"
"1049","Aug-2018",2018,8,"Pork",552.03,"Red Meat"
"1050","Jul-2018",2018,7,"Pork",561.88,"Red Meat"
"1051","Jun-2018",2018,6,"Pork",623.73,"Red Meat"
"1052","May-2018",2018,5,"Pork",634.72,"Red Meat"
"1053","Apr-2018",2018,4,"Pork",611.01,"Red Meat"
"1054","Mar-2018",2018,3,"Pork",609.81,"Red Meat"
"1055","Feb-2018",2018,2,"Pork",580.71,"Red Meat"
"1056","Jan-2018",2018,1,"Pork",490.05,"Red Meat"
"1057","Dec-2017",2017,12,"Pork",502.32,"Red Meat"
"1058","Nov-2017",2017,11,"Pork",598.37,"Red Meat"
"1059","Oct-2017",2017,10,"Pork",618.56,"Red Meat"
"1060","Sep-2017",2017,9,"Pork",575.7,"Red Meat"
"1061","Aug-2017",2017,8,"Pork",554.85,"Red Meat"
"1062","Jul-2017",2017,7,"Pork",559.01,"Red Meat"
"1063","Jun-2017",2017,6,"Pork",588.22,"Red Meat"
"1064","May-2017",2017,5,"Pork",590.32,"Red Meat"
"1065","Apr-2017",2017,4,"Pork",545.46,"Red Meat"
"1066","Mar-2017",2017,3,"Pork",567.86,"Red Meat"
"1067","Feb-2017",2017,2,"Pork",524.22,"Red Meat"
"1068","Jan-2017",2017,1,"Pork",475.39,"Red Meat"
"1069","Dec-2016",2016,12,"Pork",518.81,"Red Meat"
"1070","Nov-2016",2016,11,"Pork",599.01,"Red Meat"
"1071","Oct-2016",2016,10,"Pork",642.3,"Red Meat"
"1072","Sep-2016",2016,9,"Pork",608.96,"Red Meat"
"1073","Aug-2016",2016,8,"Pork",598.59,"Red Meat"
"1074","Jul-2016",2016,7,"Pork",586.48,"Red Meat"
"1075","Jun-2016",2016,6,"Pork",616.12,"Red Meat"
"1076","May-2016",2016,5,"Pork",637.32,"Red Meat"
"1077","Apr-2016",2016,4,"Pork",613.8,"Red Meat"
"1078","Mar-2016",2016,3,"Pork",628.95,"Red Meat"
"1079","Feb-2016",2016,2,"Pork",625.25,"Red Meat"
"1080","Jan-2016",2016,1,"Pork",545.7,"Red Meat"
"1081","Dec-2015",2015,12,"Pork",560.92,"Red Meat"
"1082","Nov-2015",2015,11,"Pork",603.45,"Red Meat"
"1083","Oct-2015",2015,10,"Pork",655.93,"Red Meat"
"1084","Sep-2015",2015,9,"Pork",653.76,"Red Meat"
"1085","Aug-2015",2015,8,"Pork",633.21,"Red Meat"
"1086","Jul-2015",2015,7,"Pork",634.53,"Red Meat"
"1087","Jun-2015",2015,6,"Pork",655.3,"Red Meat"
"1088","May-2015",2015,5,"Pork",701.08,"Red Meat"
"1089","Apr-2015",2015,4,"Pork",672.43,"Red Meat"
"1090","Mar-2015",2015,3,"Pork",686.06,"Red Meat"
"1091","Feb-2015",2015,2,"Pork",595.67,"Red Meat"
"1092","Jan-2015",2015,1,"Pork",503.79,"Red Meat"
"1093","Dec-2014",2014,12,"Pork",492.75,"Red Meat"
"1094","Nov-2014",2014,11,"Pork",533.08,"Red Meat"
"1095","Oct-2014",2014,10,"Pork",550.62,"Red Meat"
"1096","Sep-2014",2014,9,"Pork",543.67,"Red Meat"
"1097","Aug-2014",2014,8,"Pork",533.26,"Red Meat"
"1098","Jul-2014",2014,7,"Pork",537.45,"Red Meat"
"1099","Jun-2014",2014,6,"Pork",575.82,"Red Meat"
"1100","May-2014",2014,5,"Pork",583.89,"Red Meat"
"1101","Apr-2014",2014,4,"Pork",575.54,"Red Meat"
"1102","Mar-2014",2014,3,"Pork",654.71,"Red Meat"
"1103","Feb-2014",2014,2,"Pork",618.75,"Red Meat"
"1104","Jan-2014",2014,1,"Pork",554.33,"Red Meat"
"1105","Dec-2013",2013,12,"Pork",546.24,"Red Meat"
"1106","Nov-2013",2013,11,"Pork",565.02,"Red Meat"
"1107","Oct-2013",2013,10,"Pork",567.83,"Red Meat"
"1108","Sep-2013",2013,9,"Pork",548.98,"Red Meat"
"1109","Aug-2013",2013,8,"Pork",543.67,"Red Meat"
"1110","Jul-2013",2013,7,"Pork",565.06,"Red Meat"
"1111","Jun-2013",2013,6,"Pork",658.95,"Red Meat"
"1112","May-2013",2013,5,"Pork",700.98,"Red Meat"
"1113","Apr-2013",2013,4,"Pork",647.78,"Red Meat"
"1114","Mar-2013",2013,3,"Pork",633.4,"Red Meat"
"1115","Feb-2013",2013,2,"Pork",606.43,"Red Meat"
"1116","Jan-2013",2013,1,"Pork",551.51,"Red Meat"
"1117","Dec-2012",2012,12,"Pork",558.69,"Red Meat"
"1118","Nov-2012",2012,11,"Pork",603.5,"Red Meat"
"1119","Oct-2012",2012,10,"Pork",630.45,"Red Meat"
"1120","Sep-2012",2012,9,"Pork",585.8,"Red Meat"
"1121","Aug-2012",2012,8,"Pork",549.62,"Red Meat"
"1122","Jul-2012",2012,7,"Pork",592.88,"Red Meat"
"1123","Jun-2012",2012,6,"Pork",636.02,"Red Meat"
"1124","May-2012",2012,5,"Pork",659.73,"Red Meat"
"1125","Apr-2012",2012,4,"Pork",610.32,"Red Meat"
"1126","Mar-2012",2012,3,"Pork",622.67,"Red Meat"
"1127","Feb-2012",2012,2,"Pork",585.31,"Red Meat"
"1128","Jan-2012",2012,1,"Pork",484.5,"Red Meat"
"1129","Dec-2011",2011,12,"Pork",495.12,"Red Meat"
"1130","Nov-2011",2011,11,"Pork",488.72,"Red Meat"
"1131","Oct-2011",2011,10,"Pork",491.91,"Red Meat"
"1132","Sep-2011",2011,9,"Pork",442.9,"Red Meat"
"1133","Aug-2011",2011,8,"Pork",454.34,"Red Meat"
"1134","Jul-2011",2011,7,"Pork",495.06,"Red Meat"
"1135","Jun-2011",2011,6,"Pork",548.32,"Red Meat"
"1136","May-2011",2011,5,"Pork",549.28,"Red Meat"
"1137","Apr-2011",2011,4,"Pork",574.4,"Red Meat"
"1138","Mar-2011",2011,3,"Pork",574.24,"Red Meat"
"1139","Feb-2011",2011,2,"Pork",538.75,"Red Meat"
"1140","Jan-2011",2011,1,"Pork",475.83,"Red Meat"
"1141","Dec-2010",2010,12,"Pork",467.95,"Red Meat"
"1142","Nov-2010",2010,11,"Pork",481.65,"Red Meat"
"1143","Oct-2010",2010,10,"Pork",424.32,"Red Meat"
"1144","Sep-2010",2010,9,"Pork",388.29,"Red Meat"
"1145","Aug-2010",2010,8,"Pork",391.19,"Red Meat"
"1146","Jul-2010",2010,7,"Pork",412.98,"Red Meat"
"1147","Jun-2010",2010,6,"Pork",446.05,"Red Meat"
"1148","May-2010",2010,5,"Pork",483.71,"Red Meat"
"1149","Apr-2010",2010,4,"Pork",513.07,"Red Meat"
"1150","Mar-2010",2010,3,"Pork",515.91,"Red Meat"
"1151","Feb-2010",2010,2,"Pork",492.29,"Red Meat"
"1152","Jan-2010",2010,1,"Pork",471.13,"Red Meat"
"1153","Dec-2009",2009,12,"Pork",482.82,"Red Meat"
"1154","Nov-2009",2009,11,"Pork",516.3,"Red Meat"
"1155","Oct-2009",2009,10,"Pork",528.68,"Red Meat"
"1156","Sep-2009",2009,9,"Pork",530.15,"Red Meat"
"1157","Aug-2009",2009,8,"Pork",539.7,"Red Meat"
"1158","Jul-2009",2009,7,"Pork",577.91,"Red Meat"
"1159","Jun-2009",2009,6,"Pork",584.54,"Red Meat"
"1160","May-2009",2009,5,"Pork",612.29,"Red Meat"
"1161","Apr-2009",2009,4,"Pork",594.13,"Red Meat"
"1162","Mar-2009",2009,3,"Pork",624.48,"Red Meat"
"1163","Feb-2009",2009,2,"Pork",606.94,"Red Meat"
"1164","Jan-2009",2009,1,"Pork",555.64,"Red Meat"
"1165","Dec-2008",2008,12,"Pork",526.68,"Red Meat"
"1166","Nov-2008",2008,11,"Pork",528.03,"Red Meat"
"1167","Oct-2008",2008,10,"Pork",526.17,"Red Meat"
"1168","Sep-2008",2008,9,"Pork",502.67,"Red Meat"
"1169","Aug-2008",2008,8,"Pork",505.27,"Red Meat"
"1170","Jul-2008",2008,7,"Pork",530.12,"Red Meat"
"1171","Jun-2008",2008,6,"Pork",579.4,"Red Meat"
"1172","May-2008",2008,5,"Pork",663.44,"Red Meat"
"1173","Apr-2008",2008,4,"Pork",657.34,"Red Meat"
"1174","Mar-2008",2008,3,"Pork",611.83,"Red Meat"
"1175","Feb-2008",2008,2,"Pork",574.93,"Red Meat"
"1176","Jan-2008",2008,1,"Pork",458.67,"Red Meat"
"1177","Dec-2007",2007,12,"Pork",474.57,"Red Meat"
"1178","Nov-2007",2007,11,"Pork",494.75,"Red Meat"
"1179","Oct-2007",2007,10,"Pork",484.93,"Red Meat"
"1180","Sep-2007",2007,9,"Pork",458.25,"Red Meat"
"1181","Aug-2007",2007,8,"Pork",455.85,"Red Meat"
"1182","Jul-2007",2007,7,"Pork",467.95,"Red Meat"
"1183","Jun-2007",2007,6,"Pork",491.95,"Red Meat"
"1184","May-2007",2007,5,"Pork",528.53,"Red Meat"
"1185","Apr-2007",2007,4,"Pork",494.76,"Red Meat"
"1186","Mar-2007",2007,3,"Pork",483.2,"Red Meat"
"1187","Feb-2007",2007,2,"Pork",484.3,"Red Meat"
"1188","Jan-2007",2007,1,"Pork",442.5,"Red Meat"
"1189","Dec-2006",2006,12,"Pork",468.48,"Red Meat"
"1190","Nov-2006",2006,11,"Pork",488.41,"Red Meat"
"1191","Oct-2006",2006,10,"Pork",458.36,"Red Meat"
"1192","Sep-2006",2006,9,"Pork",415.56,"Red Meat"
"1193","Aug-2006",2006,8,"Pork",417.77,"Red Meat"
"1194","Jul-2006",2006,7,"Pork",412.62,"Red Meat"
"1195","Jun-2006",2006,6,"Pork",477.01,"Red Meat"
"1196","May-2006",2006,5,"Pork",520.02,"Red Meat"
"1197","Apr-2006",2006,4,"Pork",504.98,"Red Meat"
"1198","Mar-2006",2006,3,"Pork",528.25,"Red Meat"
"1199","Feb-2006",2006,2,"Pork",527.68,"Red Meat"
"1200","Jan-2006",2006,1,"Pork",421.31,"Red Meat"
"1201","Dec-2005",2005,12,"Pork",431.28,"Red Meat"
"1202","Nov-2005",2005,11,"Pork",440.69,"Red Meat"
"1203","Oct-2005",2005,10,"Pork",425.55,"Red Meat"
"1204","Sep-2005",2005,9,"Pork",408.49,"Red Meat"
"1205","Aug-2005",2005,8,"Pork",442.92,"Red Meat"
"1206","Jul-2005",2005,7,"Pork",488.61,"Red Meat"
"1207","Jun-2005",2005,6,"Pork",511.23,"Red Meat"
"1208","May-2005",2005,5,"Pork",562.81,"Red Meat"
"1209","Apr-2005",2005,4,"Pork",540.23,"Red Meat"
"1210","Mar-2005",2005,3,"Pork",538.22,"Red Meat"
"1211","Feb-2005",2005,2,"Pork",496.79,"Red Meat"
"1212","Jan-2005",2005,1,"Pork",482.85,"Red Meat"
"1213","Dec-2004",2004,12,"Pork",436.33,"Red Meat"
"1214","Nov-2004",2004,11,"Pork",423.06,"Red Meat"
"1215","Oct-2004",2004,10,"Pork",413.82,"Red Meat"
"1216","Sep-2004",2004,9,"Pork",382.11,"Red Meat"
"1217","Aug-2004",2004,8,"Pork",366.81,"Red Meat"
"1218","Jul-2004",2004,7,"Pork",373.01,"Red Meat"
"1219","Jun-2004",2004,6,"Pork",412.84,"Red Meat"
"1220","May-2004",2004,5,"Pork",448.55,"Red Meat"
"1221","Apr-2004",2004,4,"Pork",447.35,"Red Meat"
"1222","Mar-2004",2004,3,"Pork",477.12,"Red Meat"
"1223","Feb-2004",2004,2,"Pork",504.11,"Red Meat"
"1224","Jan-2004",2004,1,"Pork",470.66,"Red Meat"
"1225","Dec-2003",2003,12,"Pork",438.94,"Red Meat"
"1226","Nov-2003",2003,11,"Pork",446.84,"Red Meat"
"1227","Oct-2003",2003,10,"Pork",435.15,"Red Meat"
"1228","Sep-2003",2003,9,"Pork",430.24,"Red Meat"
"1229","Aug-2003",2003,8,"Pork",440.65,"Red Meat"
"1230","Jul-2003",2003,7,"Pork",460.01,"Red Meat"
"1231","Jun-2003",2003,6,"Pork",499.72,"Red Meat"
"1232","May-2003",2003,5,"Pork",519.99,"Red Meat"
"1233","Apr-2003",2003,4,"Pork",530.5,"Red Meat"
"1234","Mar-2003",2003,3,"Pork",519.71,"Red Meat"
"1235","Feb-2003",2003,2,"Pork",512.66,"Red Meat"
"1236","Jan-2003",2003,1,"Pork",468.5,"Red Meat"
"1237","Dec-2002",2002,12,"Pork",463.94,"Red Meat"
"1238","Nov-2002",2002,11,"Pork",489.8,"Red Meat"
"1239","Oct-2002",2002,10,"Pork",480.23,"Red Meat"
"1240","Sep-2002",2002,9,"Pork",464.38,"Red Meat"
"1241","Aug-2002",2002,8,"Pork",472.18,"Red Meat"
"1242","Jul-2002",2002,7,"Pork",497.82,"Red Meat"
"1243","Jun-2002",2002,6,"Pork",548,"Red Meat"
"1244","May-2002",2002,5,"Pork",567.72,"Red Meat"
"1245","Apr-2002",2002,4,"Pork",531.45,"Red Meat"
"1246","Mar-2002",2002,3,"Pork",510.93,"Red Meat"
"1247","Feb-2002",2002,2,"Pork",503.88,"Red Meat"
"1248","Jan-2002",2002,1,"Pork",464.96,"Red Meat"
"1249","Dec-2001",2001,12,"Pork",432.73,"Red Meat"
"1250","Nov-2001",2001,11,"Pork",430.56,"Red Meat"
"1251","Oct-2001",2001,10,"Pork",366.95,"Red Meat"
"1252","Sep-2001",2001,9,"Pork",332.57,"Red Meat"
"1253","Aug-2001",2001,8,"Pork",339.55,"Red Meat"
"1254","Jul-2001",2001,7,"Pork",374.11,"Red Meat"
"1255","Jun-2001",2001,6,"Pork",421.47,"Red Meat"
"1256","May-2001",2001,5,"Pork",432.6,"Red Meat"
"1257","Apr-2001",2001,4,"Pork",432.3,"Red Meat"
"1258","Mar-2001",2001,3,"Pork",468.29,"Red Meat"
"1259","Feb-2001",2001,2,"Pork",471.38,"Red Meat"
"1260","Jan-2001",2001,1,"Pork",411.48,"Red Meat"
"1261","Dec-2000",2000,12,"Pork",445.61,"Red Meat"
"1262","Nov-2000",2000,11,"Pork",438.56,"Red Meat"
"1263","Oct-2000",2000,10,"Pork",439.52,"Red Meat"
"1264","Sep-2000",2000,9,"Pork",455.59,"Red Meat"
"1265","Aug-2000",2000,8,"Pork",478.47,"Red Meat"
"1266","Jul-2000",2000,7,"Pork",495.46,"Red Meat"
"1267","Jun-2000",2000,6,"Pork",537.86,"Red Meat"
"1268","May-2000",2000,5,"Pork",532.06,"Red Meat"
"1269","Apr-2000",2000,4,"Pork",534.67,"Red Meat"
"1270","Mar-2000",2000,3,"Pork",523.47,"Red Meat"
"1271","Feb-2000",2000,2,"Pork",481.39,"Red Meat"
"1272","Jan-2000",2000,1,"Pork",415.38,"Red Meat"
"1273","Dec-1999",1999,12,"Pork",422.54,"Red Meat"
"1274","Nov-1999",1999,11,"Pork",438.06,"Red Meat"
"1275","Oct-1999",1999,10,"Pork",430.59,"Red Meat"
"1276","Sep-1999",1999,9,"Pork",432.61,"Red Meat"
"1277","Aug-1999",1999,8,"Pork",494.62,"Red Meat"
"1278","Jul-1999",1999,7,"Pork",528.55,"Red Meat"
"1279","Jun-1999",1999,6,"Pork",572.7,"Red Meat"
"1280","May-1999",1999,5,"Pork",596.93,"Red Meat"
"1281","Apr-1999",1999,4,"Pork",552.84,"Red Meat"
"1282","Mar-1999",1999,3,"Pork",540.85,"Red Meat"
"1283","Feb-1999",1999,2,"Pork",510.32,"Red Meat"
"1284","Jan-1999",1999,1,"Pork",503.51,"Red Meat"
"1285","Dec-1998",1998,12,"Pork",443.44,"Red Meat"
"1286","Nov-1998",1998,11,"Pork",411.89,"Red Meat"
"1287","Oct-1998",1998,10,"Pork",388.85,"Red Meat"
"1288","Sep-1998",1998,9,"Pork",392.56,"Red Meat"
"1289","Aug-1998",1998,8,"Pork",414.62,"Red Meat"
"1290","Jul-1998",1998,7,"Pork",426.81,"Red Meat"
"1291","Jun-1998",1998,6,"Pork",477.36,"Red Meat"
"1292","May-1998",1998,5,"Pork",487.04,"Red Meat"
"1293","Apr-1998",1998,4,"Pork",458.81,"Red Meat"
"1294","Mar-1998",1998,3,"Pork",464.45,"Red Meat"
"1295","Feb-1998",1998,2,"Pork",446.13,"Red Meat"
"1296","Jan-1998",1998,1,"Pork",346.39,"Red Meat"
"1297","Dec-1997",1997,12,"Pork",334.1,"Red Meat"
"1298","Nov-1997",1997,11,"Pork",354.24,"Red Meat"
"1299","Oct-1997",1997,10,"Pork",346.64,"Red Meat"
"1300","Sep-1997",1997,9,"Pork",371.75,"Red Meat"
"1301","Aug-1997",1997,8,"Pork",388.67,"Red Meat"
"1302","Jul-1997",1997,7,"Pork",406.2,"Red Meat"
"1303","Jun-1997",1997,6,"Pork",413.35,"Red Meat"
"1304","May-1997",1997,5,"Pork",440.25,"Red Meat"
"1305","Apr-1997",1997,4,"Pork",404.72,"Red Meat"
"1306","Mar-1997",1997,3,"Pork",383.88,"Red Meat"
"1307","Feb-1997",1997,2,"Pork",342.17,"Red Meat"
"1308","Jan-1997",1997,1,"Pork",313.82,"Red Meat"
"1309","Dec-1996",1996,12,"Pork",316.39,"Red Meat"
"1310","Nov-1996",1996,11,"Pork",333.35,"Red Meat"
"1311","Oct-1996",1996,10,"Pork",340.27,"Red Meat"
"1312","Sep-1996",1996,9,"Pork",322.87,"Red Meat"
"1313","Aug-1996",1996,8,"Pork",322.66,"Red Meat"
"1314","Jul-1996",1996,7,"Pork",351.84,"Red Meat"
"1315","Jun-1996",1996,6,"Pork",381.33,"Red Meat"
"1316","May-1996",1996,5,"Pork",385.49,"Red Meat"
"1317","Apr-1996",1996,4,"Pork",352.86,"Red Meat"
"1318","Mar-1996",1996,3,"Pork",385.53,"Red Meat"
"1319","Feb-1996",1996,2,"Pork",382.22,"Red Meat"
"1320","Jan-1996",1996,1,"Pork",334.78,"Red Meat"
"1321","Dec-1995",1995,12,"Pork",347.14,"Red Meat"
"1322","Nov-1995",1995,11,"Pork",321.63,"Red Meat"
"1323","Oct-1995",1995,10,"Pork",332.63,"Red Meat"
"1324","Sep-1995",1995,9,"Pork",354,"Red Meat"
"1325","Aug-1995",1995,8,"Pork",408.31,"Red Meat"
"1326","Jul-1995",1995,7,"Pork",431.14,"Red Meat"
"1327","Jun-1995",1995,6,"Pork",434.91,"Red Meat"
"1328","May-1995",1995,5,"Pork",422.31,"Red Meat"
"1329","Apr-1995",1995,4,"Pork",414.7,"Red Meat"
"1330","Mar-1995",1995,3,"Pork",395.05,"Red Meat"
"1331","Feb-1995",1995,2,"Pork",389.47,"Red Meat"
"1332","Jan-1995",1995,1,"Pork",365.32,"Red Meat"
"1333","Dec-1994",1994,12,"Pork",383.19,"Red Meat"
"1334","Nov-1994",1994,11,"Pork",385.41,"Red Meat"
"1335","Oct-1994",1994,10,"Pork",352.69,"Red Meat"
"1336","Sep-1994",1994,9,"Pork",364.01,"Red Meat"
"1337","Aug-1994",1994,8,"Pork",393.7,"Red Meat"
"1338","Jul-1994",1994,7,"Pork",410.83,"Red Meat"
"1339","Jun-1994",1994,6,"Pork",437.55,"Red Meat"
"1340","May-1994",1994,5,"Pork",429.69,"Red Meat"
"1341","Apr-1994",1994,4,"Pork",393.07,"Red Meat"
"1342","Mar-1994",1994,3,"Pork",356.93,"Red Meat"
"1343","Feb-1994",1994,2,"Pork",348.81,"Red Meat"
"1344","Jan-1994",1994,1,"Pork",299.21,"Red Meat"
"1345","Dec-1993",1993,12,"Pork",313.01,"Red Meat"
"1346","Nov-1993",1993,11,"Pork",324.83,"Red Meat"
"1347","Oct-1993",1993,10,"Pork",311.24,"Red Meat"
"1348","Sep-1993",1993,9,"Pork",308.91,"Red Meat"
"1349","Aug-1993",1993,8,"Pork",342.48,"Red Meat"
"1350","Jul-1993",1993,7,"Pork",351.34,"Red Meat"
"1351","Jun-1993",1993,6,"Pork",371.63,"Red Meat"
"1352","May-1993",1993,5,"Pork",378.5,"Red Meat"
"1353","Apr-1993",1993,4,"Pork",330.44,"Red Meat"
"1354","Mar-1993",1993,3,"Pork",344.4,"Red Meat"
"1355","Feb-1993",1993,2,"Pork",329.49,"Red Meat"
"1356","Jan-1993",1993,1,"Pork",314.53,"Red Meat"
"1357","Dec-1992",1992,12,"Pork",316.67,"Red Meat"
"1358","Nov-1992",1992,11,"Pork",306.82,"Red Meat"
"1359","Oct-1992",1992,10,"Pork",297.27,"Red Meat"
"1360","Sep-1992",1992,9,"Pork",266.68,"Red Meat"
"1361","Aug-1992",1992,8,"Pork",307.04,"Red Meat"
"1362","Jul-1992",1992,7,"Pork",319.04,"Red Meat"
"1363","Jun-1992",1992,6,"Pork",344.88,"Red Meat"
"1364","May-1992",1992,5,"Pork",362.6,"Red Meat"
"1365","Apr-1992",1992,4,"Pork",372.24,"Red Meat"
"1366","Mar-1992",1992,3,"Pork",352.99,"Red Meat"
"1367","Feb-1992",1992,2,"Pork",341.17,"Red Meat"
"1368","Jan-1992",1992,1,"Pork",311.14,"Red Meat"
"1369","Dec-1991",1991,12,"Pork",308.01,"Red Meat"
"1370","Nov-1991",1991,11,"Pork",299.66,"Red Meat"
"1371","Oct-1991",1991,10,"Pork",280.55,"Red Meat"
"1372","Sep-1991",1991,9,"Pork",282.35,"Red Meat"
"1373","Aug-1991",1991,8,"Pork",277.93,"Red Meat"
"1374","Jul-1991",1991,7,"Pork",312.25,"Red Meat"
"1375","Jun-1991",1991,6,"Pork",333.33,"Red Meat"
"1376","May-1991",1991,5,"Pork",340.04,"Red Meat"
"1377","Apr-1991",1991,4,"Pork",288.98,"Red Meat"
"1378","Mar-1991",1991,3,"Pork",281.23,"Red Meat"
"1379","Feb-1991",1991,2,"Pork",247.01,"Red Meat"
"1380","Jan-1991",1991,1,"Pork",233.57,"Red Meat"
"1381","Dec-1990",1990,12,"Pork",221.47,"Red Meat"
"1382","Nov-1990",1990,11,"Pork",231.88,"Red Meat"
"1383","Oct-1990",1990,10,"Pork",225.8,"Red Meat"
"1384","Sep-1990",1990,9,"Pork",224.75,"Red Meat"
"1385","Aug-1990",1990,8,"Pork",256.44,"Red Meat"
"1386","Jul-1990",1990,7,"Pork",292.6,"Red Meat"
"1387","Jun-1990",1990,6,"Pork",320.25,"Red Meat"
